census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2021,12,103998,103998,452-470 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),"Shop 3-4, Ground 452 Flinders Street MELBOURNE VIC 3000",Upstanding Citizens Flinders,4511,Cafes and Restaurants,Seats - Indoor,40,144.9586,-37.81947,"{'lon': 144.9586, 'lat': -37.81947}"
2021,12,105399,105399,26-32 King Street MELBOURNE VIC 3000,Melbourne (CBD),Part Ground 26 King Street MELBOURNE VIC 3000,Queen's Kebabs,4512,Takeaway Food Services,Seats - Indoor,22,144.95747,-37.81953,"{'lon': 144.95747, 'lat': -37.81953}"
2021,12,110091,110091,15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),"Shop 3-4, 15 William Street MELBOURNE VIC 3000",Hudson's Coffee,4511,Cafes and Restaurants,Seats - Indoor,26,144.9592,-37.81929,"{'lon': 144.9592, 'lat': -37.81929}"
2021,13,103954,103954,381-387 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),"Shop 3, 387 Flinders Lane MELBOURNE VIC 3000",Tavistock House Cafe,4511,Cafes and Restaurants,Seats - Indoor,35,144.96139,-37.81825,"{'lon': 144.96139, 'lat': -37.81825}"
2021,14,103166,103166,7-9 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),7 Elizabeth Street MELBOURNE VIC 3000,Hella Good,4512,Takeaway Food Services,Seats - Indoor,7,144.96455,-37.81793,"{'lon': 144.96455, 'lat': -37.81793}"
2021,14,103172,103172,31-39 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Level 1-2 35 Elizabeth Street MELBOURNE VIC 3000,The Joint Bar,4520,"Pubs, Taverns and Bars",Seats - Outdoor,46,144.96433,-37.81742,"{'lon': 144.96433, 'lat': -37.81742}"
2021,14,103172,103172,31-39 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),"Shop 5, 35 Elizabeth Street MELBOURNE VIC 3000",Mad Mex Flinders Lane,4511,Cafes and Restaurants,Seats - Indoor,45,144.96433,-37.81742,"{'lon': 144.96433, 'lat': -37.81742}"
2021,14,103950,103950,335-339 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Part Ground 335 Flinders Lane MELBOURNE VIC 3000,Pho Kingdom And Cafe,4511,Cafes and Restaurants,Seats - Indoor,60,144.96323,-37.81785,"{'lon': 144.96323, 'lat': -37.81785}"
2021,14,103953,103953,353-355 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Ground 353 Flinders Lane MELBOURNE VIC 3000,Cafe Del Corso,4511,Cafes and Restaurants,Seats - Indoor,53,144.96274,-37.81786,"{'lon': 144.96274, 'lat': -37.81786}"
2021,14,108114,108114,28-38 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),"Shop 2, Ground 34 Queen Street MELBOURNE VIC 3000",Cafe 34,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96244,-37.81799,"{'lon': 144.96244, 'lat': -37.81799}"
