census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_anzsic4_code,industry_anzsic4_description,seating_type,number_of_seats,longitude,latitude,location
2021,2524,615952,615952,506 Macaulay Road KENSINGTON VIC 3031,Kensington,506 Macaulay Road KENSINGTON VIC 3031,New Bakehouse and Coffee,1174,Bakery Product Manufacturing (Non-factory based),Seats - Outdoor,6,144.92931,-37.79409,"{'lon': 144.92931, 'lat': -37.79409}"
2021,2524,616022,616022,198-204 Bellair Street KENSINGTON VIC 3031,Kensington,202 Bellair Street KENSINGTON VIC 3031,The Premises Espresso,4511,Cafes and Restaurants,Seats - Outdoor,12,144.93018,-37.79426,"{'lon': 144.93018, 'lat': -37.79426}"
2021,2524,616022,616022,198-204 Bellair Street KENSINGTON VIC 3031,Kensington,202 Bellair Street KENSINGTON VIC 3031,The Premises Espresso,4511,Cafes and Restaurants,Seats - Indoor,50,144.93018,-37.79426,"{'lon': 144.93018, 'lat': -37.79426}"
2021,2524,616034,616034,188 Bellair Street KENSINGTON VIC 3031,Kensington,188 Bellair Street KENSINGTON VIC 3031,Fruits of Passion,4511,Cafes and Restaurants,Seats - Outdoor,33,144.92999,-37.79393,"{'lon': 144.92999, 'lat': -37.79393}"
2021,2524,616045,616045,174 Bellair Street KENSINGTON VIC 3031,Kensington,174 Bellair Street KENSINGTON VIC 3031,Kazbah Egyptian Street Food,4511,Cafes and Restaurants,Seats - Indoor,18,144.92993,-37.79361,"{'lon': 144.92993, 'lat': -37.79361}"
2021,2524,616049,616049,170 Bellair Street KENSINGTON VIC 3031,Kensington,170 Bellair Street KENSINGTON VIC 3031,Pimm Thai Cafe,4511,Cafes and Restaurants,Seats - Indoor,20,144.92992,-37.79354,"{'lon': 144.92992, 'lat': -37.79354}"
2021,2533,615050,615050,75-103 Parsons Street KENSINGTON VIC 3031,Kensington,36 Stubbs Street KENSINGTON VIC 3031,Brewtech / Colab Espresso,4511,Cafes and Restaurants,Seats - Indoor,24,144.93528,-37.79,"{'lon': 144.93528, 'lat': -37.79}"
2021,2539,614669,614669,72 Stubbs Street KENSINGTON VIC 3031,Kensington,72 Stubbs Street KENSINGTON VIC 3031,La Tortilleria,4511,Cafes and Restaurants,Seats - Outdoor,10,144.9353,-37.79142,"{'lon': 144.9353, 'lat': -37.79142}"
2021,2539,614669,614669,72 Stubbs Street KENSINGTON VIC 3031,Kensington,72 Stubbs Street KENSINGTON VIC 3031,La Tortilleria,4511,Cafes and Restaurants,Seats - Indoor,30,144.9353,-37.79142,"{'lon': 144.9353, 'lat': -37.79142}"
2021,2540,617955,617955,25-77 Stubbs Street KENSINGTON VIC 3031,Kensington,61 Stubbs Street KENSINGTON VIC 3031,Cheeky Brothers,4511,Cafes and Restaurants,Seats - Indoor,24,144.93592,-37.79107,"{'lon': 144.93592, 'lat': -37.79107}"
2021,547,103380,103380,43 Epsom Road KENSINGTON VIC 3031,Kensington,43 Epsom Road KENSINGTON VIC 3031,Local Folk Cafe,4511,Cafes and Restaurants,Seats - Indoor,45,144.9256,-37.79224,"{'lon': 144.9256, 'lat': -37.79224}"
2021,559,108812,108812,291-309 Smithfield Road KENSINGTON VIC 3031,Kensington,"Tenancy 2, 301 Smithfield Road KENSINGTON VIC 3031",Hungry Jack's,4511,Cafes and Restaurants,Seats - Indoor,40,144.91879,-37.79213,"{'lon': 144.91879, 'lat': -37.79213}"
2021,570,108810,108810,Flemington Racecourse 428-514 Epsom Road FLEMINGTON VIC 3031,Kensington,Part 500 Epsom Road FLEMINGTON VIC 3031,Headquarters Tavern,9209,Other Gambling Activities,Seats - Indoor,100,144.9127,-37.78907,"{'lon': 144.9127, 'lat': -37.78907}"
2021,571,602256,602256,Showgrounds Village 320-386 Epsom Road FLEMINGTON VIC 3031,Kensington,"Shop 28, 320-380 Epsom Road FLEMINGTON VIC 3031",Pacinos Italian Restaurant,4511,Cafes and Restaurants,Seats - Outdoor,34,144.91512,-37.78227,"{'lon': 144.91512, 'lat': -37.78227}"
