,Suburb,Predicted Rent in 3 Years,Growth Rate
Caulfield,Caulfield,596.7054212869857,0.06426944763937059
South Yarra,South Yarra,488.2292138067974,0.005682381193910624
Fitzroy,Fitzroy,633.4042553191493,0.023944273916763237
Brunswick,Brunswick,541.3449662096393,0.03731531059934934
Brighton,Brighton,779.255319148936,0.024347368952011728
