Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($)
66,"24 Toulouse Crescent, 
HOPPERS CROSSING VIC 3029",HOPPERS CROSSING,480.0,37666.0,4420.4,74.1,25272.0,0.0,0.0,193.0,157.0,63.0,174.0,47.0,96.0,17.0,18.0,11732.0,1105.0,1123.0,681.0,3309.0,228.0,884.0,1866.0
67,"6/94 St Elmo Road, 
IVANHOE VIC 3079",IVANHOE,480.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,1510.0
68,"4/88 Marshall Street, 
IVANHOE VIC 3079",IVANHOE,480.0,12561.0,2487.4,40.9,8357.0,0.0,0.0,27.0,190.0,68.0,41.0,28.0,68.0,3.0,35.0,2911.0,1189.0,1529.0,440.0,1505.0,16.0,343.0,1510.0
69,"316/80 Ormond Street, 
KENSINGTON VIC 3031",KENSINGTON,480.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,1608.0
70,"506/70 Speakmen Street, 
KENSINGTON VIC 3031",KENSINGTON,480.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,1608.0
71,"53 Bundeena Avenue, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,480.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,2072.0
72,"4 Somerset Drive, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,480.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,2072.0
73,"7 Louise Street, 
LALOR VIC 3075",LALOR,480.0,23663.0,4579.1,75.1,15020.0,0.0,0.0,121.0,74.0,31.0,96.0,17.0,79.0,7.0,42.0,7707.0,515.0,572.0,716.0,2182.0,154.0,648.0,1535.0
74,"6/27 Malvern Grove, 
CAULFIELD VIC 3162",CAULFIELD,640.0,40971.0,7386.8,76.8,25978.0,0.0,0.0,49.0,627.0,536.0,223.0,109.0,173.0,19.0,408.0,7171.0,4995.0,5734.0,909.0,5319.0,186.0,1183.0,2941.0
75,"2/101 Point Nepean Road, 
DROMANA VIC 3936",DROMANA,640.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,931.0
76,"2 Lee Street, 
FLEMINGTON VIC 3031",FLEMINGTON,640.0,9190.0,5813.5,34.2,6950.0,0.0,0.0,44.0,62.0,32.0,28.0,13.0,46.0,3.0,17.0,926.0,940.0,3285.0,324.0,2456.0,56.0,579.0,1183.0
77,"8 Derby Street, 
KENSINGTON VIC 3031",KENSINGTON,640.0,10874.0,5064.7,35.4,8210.0,0.0,0.0,34.0,94.0,37.0,50.0,14.0,60.0,4.0,38.0,907.0,2851.0,1781.0,416.0,2323.0,49.0,576.0,1608.0
78,"109A Hansworth Street, 
MULGRAVE VIC 3170",MULGRAVE,640.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,1065.0
79,"C706/111 Canning Street, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,640.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,1281.0
80,"1/73 Winifred Street, 
OAK PARK VIC 3046",OAK PARK,640.0,7976.0,3389.3,35.8,5661.0,0.0,0.0,17.0,33.0,17.0,26.0,6.0,25.0,0.0,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,1371.0
81,"4/8 Gregory St, 
OAK PARK VIC 3046",OAK PARK,640.0,7976.0,3389.3,35.8,5661.0,0.0,0.0,17.0,33.0,17.0,26.0,6.0,25.0,0.0,22.0,1783.0,1425.0,230.0,401.0,985.0,18.0,370.0,1371.0
82,"19 Mcivor Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,677.0
83,"3/3 Gerbert Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,677.0
84,"1/20 Walsh Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,490.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,677.0
