Address,Prices,Bedroom,Bathroom,Parking,Type_Apartment,Type_House,Type_Townhouse
"2109/120 A'Beckett St, 
MELBOURNE VIC 3000",690.0,2,2, ,1,0,0
"1502/483 Swanston Street, 
MELBOURNE VIC 3000",690.0,2,1, ,1,0,0
"2610/80 A'Beckett Street, 
MELBOURNE VIC 3000",690.0,2,2, ,1,0,0
"37 Albion Street, 
BRUNSWICK EAST VIC 3057",700.0,3,2,2,0,0,1
"20 Melville Road, 
BRUNSWICK WEST VIC 3055",700.0,3,1,1,0,1,0
"2/218 Union Street, 
BRUNSWICK WEST VIC 3055",695.0,2,2,1,0,0,1
"16 Roycroft Avenue, 
BURNSIDE VIC 3023",700.0,6,3,2,0,1,0
"1/56 Station Street, 
BURWOOD VIC 3125",700.0,4,3,4,0,0,1
"9/13-29 University Street, 
CARLTON VIC 3053",700.0,2,1,1,1,0,0
"1204/139-145 Queensberry Street, 
CARLTON VIC 3053",700.0,2,2,1,1,0,0
"279 Drummond Street, 
CARLTON VIC 3053",700.0,3,1, ,0,1,0
"1709/28-44 Bouverie Street, 
CARLTON VIC 3053",700.0,2,2, ,1,0,0
"381 Nicholson Street, 
CARLTON NORTH VIC 3054",700.0,3,1, ,0,1,0
"1/6 Carnarvon Road, 
CAULFIELD NORTH VIC 3161",695.0,3,2,1,0,0,1
"1/8 Kelly Street, 
CHADSTONE VIC 3148",750.0,3,2,1,0,0,1
"29 Heather Grove, 
CHELTENHAM VIC 3192",700.0,4,1,2,0,1,0
"29 Browns Road, 
CLAYTON VIC 3168",700.0,3,3,2,0,0,1
"G05/2-8 Murray Street, 
CLAYTON VIC 3168",700.0,3,2,1,1,0,0
"12A McBean Street, 
CLAYTON VIC 3168",700.0,3,2,2,0,0,1
"56B Bevan Avenue, 
CLAYTON SOUTH VIC 3169",695.0,3,2,2,0,0,1
"203/139 Noone Street, 
CLIFTON HILL VIC 3068",700.0,2,2,1,1,0,0
"14 Inclusion Road, 
CLYDE NORTH VIC 3978",700.0,5,2,2,0,1,0
"15 Moorside Cres, 
CLYDE NORTH VIC 3978",700.0,4,2,2,0,1,0
"1/162 Gillies Street, 
FAIRFIELD VIC 3078",330.0,1,1,1,1,0,0
GLENROY VIC 3046,330.0,2,1,1,1,0,0
"4/23 Cavendish Drive, 
HEATHERTON VIC 3202",330.0,2,1,1,1,0,0
"1/6 Bruce Street, 
LAVERTON VIC 3028",330.0,1,1,1,1,0,0
"1/3A Kinloch Road, 
MELTON VIC 3337",330.0,2,1,1,0,1,0
"6 Exford Road, 
MELTON SOUTH VIC 3338",330.0,3,1,2,0,1,0
"1/30 Wisteria Grove, 
NORLANE VIC 3214",330.0,2,1,2,0,1,0
"109 Princes Highway, 
NORLANE VIC 3214",330.0,3,1, ,0,1,0
"1 O'Connell Street, 
NORTH MELBOURNE VIC 3051",330.0, ,1, ,1,0,0
"219/3-11 High Street, 
NORTH MELBOURNE VIC 3051",330.0,1,1, ,1,0,0
"1/30 Aberdeen Grove, 
NORTHCOTE VIC 3070",330.0,1,1,1,1,0,0
"3/18 Quick Street, 
PASCOE VALE VIC 3044",330.0,2,1,1,1,0,0
"317/42 Porter St, 
PRAHRAN VIC 3181",330.0,1,1, ,1,0,0
"5/90 Roseberry Avenue, 
PRESTON VIC 3072",1434.0,1,1, ,1,0,0
"2/5 Furzer Street, 
PRESTON VIC 3072",330.0,1,1,2,1,0,0
"6/99 Barton Street, 
RESERVOIR VIC 3073",330.0,1,1,1,1,0,0
"8/164 Leamington Street, 
RESERVOIR VIC 3073",330.0,1,1,1,1,0,0
"11/77 Hotham Street, 
BALACLAVA VIC 3183",370.0,1,1,1,1,0,0
"9/100 Grosvenor St, 
BALACLAVA VIC 3183",370.0,1,1,1,1,0,0
"1B Maple Crescent, 
BELL PARK VIC 3215",370.0,2,1,1,0,1,0
"48 Thorburn Street, 
BELL PARK VIC 3215",370.0,3,1,2,0,1,0
"5/27 Geach Street, 
BROADMEADOWS VIC 3047",370.0,2,1,1,1,0,0
"110B/1091 Plenty Road, 
BUNDOORA VIC 3083",370.0,1,1,1,1,0,0
"2/34 Tranmere Avenue, 
CARNEGIE VIC 3163",370.0,1,1,1,1,0,0
"4/9 Rosstown Road, 
CARNEGIE VIC 3163",370.0,1,1,1,1,0,0
"14/6 Tattenham Street, 
CAULFIELD EAST VIC 3145",370.0,1,1,1,1,0,0
"3A Dumburra Avenue, 
CLIFTON SPRINGS VIC 3222",370.0,3,1,2,1,0,0
"5/27 Geach Street, 
DALLAS VIC 3047",370.0,2,1,1,1,0,0
"1/32 Clarence Street, 
ELSTERNWICK VIC 3185",370.0,1,1,1,1,0,0
"4/11 Downshire Road, 
ELSTERNWICK VIC 3185",370.0,1,1,1,1,0,0
"111/110 Keilor Road, 
ESSENDON NORTH VIC 3041",370.0,1,1,1,1,0,0
"20/57 Dover Street, 
FLEMINGTON VIC 3031",370.0,1,1,1,1,0,0
"1/37 Heatherhill Road, 
FRANKSTON VIC 3199",370.0,2,1,1,1,0,0
"53 West St, 
GLENROY VIC 3046",370.0,2,1,1,0,1,0
"38 Vermont Parade, 
GREENSBOROUGH VIC 3088",400.0,2,1,2,0,1,0
"5/25-29 Kays Avenue, 
HALLAM VIC 3803",370.0,2,1,1,1,0,0
"24 Robertson Crescent, 
LAVERTON VIC 3028",370.0,3,1,1,0,1,0
"39B Hampshire Rd, 
GLEN WAVERLEY VIC 3150",480.0,3,2,1,0,0,1
"20 Fluent Lane,, 
GREENVALE VIC 3059",480.0,3,3,2,0,0,1
"8 Fitzgerald Road, 
HALLAM VIC 3803",480.0,3,2,4,0,1,0
"94 Ballarat Road, 
HAMLYN HEIGHTS VIC 3215",500.0,3,2,3,0,1,0
"1 Gamston Court, 
HIGHTON VIC 3216",480.0,3,2,1,0,0,1
"17 Gwyther Road, 
HIGHTON VIC 3216",480.0,3,1,4,0,1,0
"50 Wattle Valley Drive, 
HILLSIDE VIC 3037",500.0,4,2,2,0,1,0
