Address,Prices,Bedroom,Bathroom,Parking,Type_Apartment,Type_House,Type_Townhouse
"1213/81 City Road, 
SOUTHBANK VIC 3006",715.0,2,2, ,1,0,0
"17 McNamara Ave, 
AIRPORT WEST VIC 3042",720.0,4,3,2,0,0,1
"14 Werona Street, 
BENTLEIGH VIC 3204",720.0,2,2,1,0,0,1
"1A Wright Street, 
BENTLEIGH VIC 3204",720.0,3,2,2,0,0,1
"22 Breeze Street, 
BONBEACH VIC 3196",720.0,4,3,2,0,1,0
"527 Sydney Road, 
BRUNSWICK VIC 3056",720.0,1,2,1,0,1,0
"17 Brickworks Drive, 
BRUNSWICK VIC 3056",720.0,3,1,1,0,1,0
"59b Blyth Street, 
BRUNSWICK VIC 3056",720.0,3,1, ,0,1,0
"4 Greene Lane, 
CARRUM VIC 3197",720.0,3,2,2,0,0,1
"4 Lavender Avenue, 
CHELTENHAM VIC 3192",720.0,3,2,2,0,1,0
"1/30 Francis, 
CLAYTON VIC 3168",720.0,5,3,1,0,0,1
"1A/9 Eva Street, 
CLAYTON VIC 3168",720.0,3,3,2,0,0,1
"14 Playwright Street, 
CLYDE NORTH VIC 3978",720.0,4,2,1,0,1,0
"27 Higinbotham Street, 
COBURG VIC 3058",720.0,4,2,1,0,1,0
"89 Queen Street, 
COBURG VIC 3058",720.0,3,1, ,0,1,0
"3912/628 Flinders Street, 
DOCKLANDS VIC 3008",720.0,2,1, ,1,0,0
"3211E/888 Collins Street, 
DOCKLANDS VIC 3008",750.0,2,2,1,1,0,0
"5/312 Pascoe Vale Road, 
ESSENDON VIC 3040",720.0,3,3,2,0,0,1
"60 Links Street, 
LARA VIC 3212",750.0,3,2,2,0,1,0
"Rear 21 Glenferrie Road, 
MALVERN VIC 3144",750.0,3,1,1,0,1,0
"2/17-19 Repton Road, 
MALVERN EAST VIC 3145",750.0,3,2,2,0,0,1
"5 James Parade, 
MALVERN EAST VIC 3145",750.0,3,1,2,0,1,0
"5813/228 La Trobe St, 
MELBOURNE VIC 3000",750.0,2,1, ,1,0,0
"2006/25 Therry Street, 
MELBOURNE VIC 3000",750.0,2,2, ,1,0,0
"5E/635 St Kilda Rd, 
MELBOURNE VIC 3004",750.0,2,2,1,1,0,0
"134-160 Spencer Street, 
MELBOURNE VIC 3000",750.0,2,1, ,1,0,0
"602/539 St Kilda Road, 
MELBOURNE VIC 3004",750.0,2,2,1,1,0,0
"1307/155 Franklin Street, 
MELBOURNE VIC 3000",750.0,2,1, ,1,0,0
"2509/155 Franklin Street, 
MELBOURNE VIC 3000",750.0,2,1, ,1,0,0
"2810/560 Lonsdale Street, 
MELBOURNE VIC 3000",750.0,2,2, ,1,0,0
"4508/80 A'beckett Street, 
MELBOURNE VIC 3000",750.0,2,2,1,1,0,0
"1004/8 Bowen Crescent, 
MELBOURNE VIC 3004",750.0,2,2,1,1,0,0
"4909c/633 Little Lonsdale Street, 
MELBOURNE VIC 3000",800.0,2,2, ,1,0,0
"1902/462 Elizabeth Street, 
MELBOURNE VIC 3000",750.0,2,2, ,1,0,0
"2310/350 William Street, 
MELBOURNE VIC 3000",750.0,2,2, ,1,0,0
"1606/605 St Kilda Road, 
MELBOURNE VIC 3004",750.0,2,1,1,1,0,0
"2308/87 Franklin Street, 
MELBOURNE VIC 3000",750.0,2,1,1,1,0,0
"13A Coolabah Street, 
MENTONE VIC 3194",945.0,4,2,1,0,0,1
"16 Lexton Grove, 
PRAHRAN VIC 3181",945.0,3,1,1,1,0,0
"3/151 Victoria Avenue, 
ALBERT PARK VIC 3206",950.0,2,1,1,1,0,0
"1/19 Willis St, 
ARMADALE VIC 3143",950.0,3,3,1,0,0,1
"52 Middle Street, 
ASCOT VALE VIC 3032",950.0,4,3,4,0,1,0
"7 Carinya Ave, 
ASPENDALE VIC 3195",950.0,5,2,2,0,1,0
"4 Towers Street, 
BEAUMARIS VIC 3193",950.0,3,1,4,0,1,0
"14 Yawla Street, 
BENTLEIGH VIC 3204",950.0,3,2,2,0,1,0
"10B Thomasina Street, 
BENTLEIGH EAST VIC 3165",950.0,4,2,1,0,1,0
"1/2843 Point Nepean Road, 
BLAIRGOWRIE VIC 3942",950.0,3,2,1,1,0,0
"578 Nepean Highway, 
BONBEACH VIC 3196",950.0,4,3,2,0,1,0
"909 Hampton Street, 
BRIGHTON VIC 3186",950.0,4,2,2,0,0,1
"1A Carr Street, 
BRIGHTON EAST VIC 3187",945.0,3,2,2,0,0,1
"16B Hardy Street, 
BRUNSWICK VIC 3056",950.0,3,3,1,0,0,1
"14/791-793 Park Street, 
BRUNSWICK VIC 3056",945.0,3,1, ,1,0,0
"100/466 Dandenong Road, 
CAULFIELD NORTH VIC 3161",950.0,2,2,1,1,0,0
"36 Omar St, 
CAULFIELD SOUTH VIC 3162",950.0,4,2,2,0,1,0
"48 Vision Street, 
CHADSTONE VIC 3148",950.0,4,4,3,0,1,0
"16 Holohan Place, 
DANDENONG NORTH VIC 3175",950.0,5,4,10,0,1,0
"713/60 Siddeley Street, 
DOCKLANDS VIC 3008",950.0,3,2,1,1,0,0
"3707/442 Elizabeth St, 
MELBOURNE VIC 3000",1.0,3,2,1,1,0,0
"305/543 Elizabeth Street, 
MELBOURNE VIC 3000",1100.0,2,2,1,1,0,0
"4008/27 Therry Street, 
MELBOURNE VIC 3000",1100.0,3,2,1,1,0,0
"1/8 Collins Street, 
MENTONE VIC 3194",1.0,3,2,1,0,1,0
"15 Cook Street, 
MORNINGTON VIC 3931",1100.0,4,2,2,0,1,0
"17 Cameron Way, 
MOUNT ELIZA VIC 3930",1100.0,5,5,2,0,1,0
"4 Moondah Drive, 
MOUNT ELIZA VIC 3930",1100.0,4,3,4,0,1,0
"15 Lothian street, 
NORTH MELBOURNE VIC 3051",1.0,3,2,2,0,1,0
"24A McKay Street, 
PARKDALE VIC 3195",1.0,4,3,2,0,0,1
"1-3 Magdalen Street, 
PASCOE VALE VIC 3044",1.0,5,2,2,0,1,0
"56 Beacon Vista, 
PORT MELBOURNE VIC 3207",1100.0,3,2,2,0,1,0
"8 Janet Court, 
PORTSEA VIC 3944",1100.0,4,2,3,0,1,0
"15 Lang Street, 
PRINCES HILL VIC 3054",1.0,4,2, ,0,1,0
"11 Hunter St, 
RICHMOND VIC 3121",1.0,3,2,2,0,1,0
"3/27 Rotherwood Street, 
RICHMOND VIC 3121",1.0,3,2,1,0,1,0
"103 Vincent Street, 
SANDRINGHAM VIC 3191",1.0,4,3,2,0,1,0
"5c/18 Albert Road, 
SOUTH MELBOURNE VIC 3205",1.0,3,2,1,0,1,0
"402/138 Ferrars Street, 
SOUTH MELBOURNE VIC 3205",1.0,3,2,1,1,0,0
"47 Cromwell Road, 
SOUTH YARRA VIC 3141",1.0,3,1, ,0,1,0
"101/101 River Street, 
SOUTH YARRA VIC 3141",1100.0,3,2,2,1,0,0
"Thomas Street, 
DANDENONG VIC 3175",1.0,3,1, ,1,0,0
"25 South Wharf Drive, 
DOCKLANDS VIC 3008",1.0,3,2,2,0,0,1
"65 Rose Street, 
FITZROY VIC 3065",1.0,3,3,3,0,0,1
"Address on Chetwyn Court, 
FRANKSTON SOUTH VIC 3199",1.0,4,2,4,0,1,0
"317B Gallaghers Road, 
GLEN WAVERLEY VIC 3150",1.0,4,2,2,0,0,1
"17 Katoomba Street, 
HAMPTON EAST VIC 3188",1.0,5,3,4,0,1,0
"11 Sweetbox Walk, 
MALVERN EAST VIC 3145",1.0,4,3,2,0,1,0
"8 Sunset Place, 
MARIBYRNONG VIC 3032",1.0,5,3,2,0,1,0
"2/2 Shanahan Crescent, 
MCKINNON VIC 3204",1.0,3,2,2,0,0,1
"8010/228 La Trobe Street, 
MELBOURNE VIC 3000",1.0,3,2, ,1,0,0
"5907/442 Elizabeth Street, 
MELBOURNE VIC 3000",1100.0,3,2,1,1,0,0
"3B2B/250 Spencer Street, 
MELBOURNE VIC 3000",1.0,3,2, ,1,0,0
"3113/639 Lonsdale Street, 
MELBOURNE VIC 3000",1.0,3,2,1,1,0,0
"5005/500 Elizabeth Street, 
MELBOURNE VIC 3000",1100.0,3,2, ,1,0,0
"4708/560 Lonsdale Street, 
MELBOURNE VIC 3000",1.0,3,2,1,1,0,0
"3303/500 Elizabeth Street, 
MELBOURNE VIC 3000",1100.0,3,2,1,1,0,0
"Level 10, 1012/576 St Kilda Road, 
MELBOURNE VIC 3004",1.0,2,2,2,1,0,0
"3B2B/624 Lonsdale Street, 
MELBOURNE VIC 3000",1150.0,3,2, ,1,0,0
"3205/28 Timothy Lane, 
MELBOURNE VIC 3000",1.0,3,2,1,1,0,0
"501/639 Little Bourke St, 
MELBOURNE VIC 3000",925.0,2,2, ,1,0,0
"1803/318 Little Lonsdale Street, 
MELBOURNE VIC 3000",925.0,3,2,1,1,0,0
"3505/601 Little Lonsdale Street, 
MELBOURNE VIC 3000",925.0,3,2,1,1,0,0
"16 Arden Street, 
NORTH MELBOURNE VIC 3051",925.0,4,2, ,0,1,0
"2/56 Chatsworth Road, 
PRAHRAN VIC 3181",925.0,3,1,1,1,0,0
"3/233 Alma Road, 
ST KILDA EAST VIC 3183",925.0,3,1, ,1,0,0
"3/34 Tennyson Street, 
HIGHETT VIC 3190",930.0,3,2,2,0,0,1
"1707/620 Collins St, 
MELBOURNE VIC 3000",930.0,2,1,1,1,0,0
"3201/483 Swanston Street, 
MELBOURNE VIC 3000",930.0,3,2, ,1,0,0
"38A Sussex Street, 
SEAHOLME VIC 3018",930.0,5,3,3,0,1,0
"80/183 City Road, 
SOUTHBANK VIC 3006",930.0,3,2,2,1,0,0
"9 Vernon Street, 
STRATHMORE VIC 3041",930.0,4,4,2,0,1,0
"1/4 Banksia Road, 
CAULFIELD SOUTH VIC 3162",940.0,3,2,2,0,1,0
"16 Kingsley Street, 
ELWOOD VIC 3184",940.0,2,2,1,0,1,0
"1904/63 La Trobe Street, 
MELBOURNE VIC 3000",940.0,2,2, ,1,0,0
"1604/63 La Trobe Street, 
MELBOURNE VIC 3000",940.0,2,2, ,1,0,0
"3/5 Howe Street, 
MURRUMBEENA VIC 3163",940.0,3,2,2,0,0,1
"2301/260 City Rd, 
SOUTHBANK VIC 3006",940.0,2,2, ,1,0,0
"42 Gourlay Street, 
BALACLAVA VIC 3183",945.0,3,1, ,1,0,0
"5/12 Southey Street, 
ELWOOD VIC 3184",945.0,3,1,1,1,0,0
"85 Allison Rd, 
ELSTERNWICK VIC 3185",750.0,3,1,1,0,1,0
"2/467 Kooyong Road, 
ELSTERNWICK VIC 3185",750.0,3,2,1,0,1,0
"90A Denys Street, 
FAWKNER VIC 3060",750.0,4,3,2,0,0,1
"30 The Ridge Rd, 
FINGAL VIC 3939",750.0,3,2,2,0,1,0
"201/338 Gore Street, 
FITZROY VIC 3065",750.0,2,2,1,1,0,0
"505/81 Argyle Street, 
FITZROY VIC 3065",750.0,2,1,1,1,0,0
"144 Clauscen Street, 
FITZROY NORTH VIC 3068",750.0,3,1,1,0,1,0
"101/896 Nicholson Street, 
FITZROY NORTH VIC 3068",750.0,2,2,1,1,0,0
"103/3 York Street, 
FITZROY NORTH VIC 3068",750.0,2,2,1,1,0,0
"115 Princes Street, 
FLEMINGTON VIC 3031",750.0,3,1, ,0,1,0
"40 Brighton St, 
FLEMINGTON VIC 3031",750.0,3,1, ,0,1,0
"11 Leonard Street, 
FRANKSTON VIC 3199",750.0,4,2,2,0,1,0
"2/3 Kilgour Court, 
GEELONG VIC 3220",750.0,3,2,2,0,0,1
"20 Manchester Grove, 
GLEN HUNTLY VIC 3163",750.0,3,2,2,0,0,1
"4 Crestmont Drive, 
GLEN WAVERLEY VIC 3150",750.0,4,2,2,0,1,0
"3/3 Bronte Court, 
HAMPTON VIC 3188",750.0,3,2,1,0,0,1
"67 Darebin St, 
HEIDELBERG VIC 3084",750.0,3,2,2,0,1,0
"29 Ironbark Crescent, 
IVANHOE VIC 3079",750.0,3,2,2,0,0,1
"143 Empress Avenue, 
KINGSVILLE VIC 3012",750.0,3,2, ,0,1,0
"1706N/883 Collins Street, 
DOCKLANDS VIC 3008",710.0,2,1,1,1,0,0
"3617/628 Flinders Street, 
DOCKLANDS VIC 3008",710.0,2,2, ,1,0,0
"2/5 Gilbertson Street, 
ESSENDON VIC 3040",710.0,3,2,2,1,0,0
"104 Elizabeth St, 
GEELONG WEST VIC 3218",710.0,4,2,1,0,1,0
"2809/138 Spencer Street, 
MELBOURNE VIC 3000",710.0,2,1, ,1,0,0
"3703/318 Russell Street, 
MELBOURNE VIC 3000",710.0,2,1, ,1,0,0
"1604/560 Lonsdale Street, 
MELBOURNE VIC 3000",710.0,2,2, ,1,0,0
"10/53 Gadd Street, 
NORTHCOTE VIC 3070",710.0,3,3,1,0,0,1
"91 Lincoln Heath Boulevard, 
POINT COOK VIC 3030",710.0,4,2,2,0,1,0
"21 Paywit Street, 
PRESTON VIC 3072",710.0,4,2,1,0,1,0
"24 Pole Street, 
SEDDON VIC 3011",710.0,3,1, ,0,1,0
"2/28 Arthur Street, 
SOUTH YARRA VIC 3141",710.0,3,1,1,1,0,0
"3211/1 Balston Street, 
SOUTHBANK VIC 3006",710.0,2,2,1,1,0,0
"4/19 Mitford Street, 
ST KILDA VIC 3182",710.0,2,1,1,1,0,0
"4/4 Hamilton Street, 
BENTLEIGH VIC 3204",750.0,3,2, ,1,0,0
"11 Barrington Street, 
BENTLEIGH EAST VIC 3165",750.0,3,1,3,0,1,0
"19 Monash St, 
ASCOT VALE VIC 3032",715.0,4,1,7,0,1,0
"55 Castlewood Street, 
BENTLEIGH EAST VIC 3165",715.0,4,2,1,0,1,0
"38 Bowman Dr, 
MORNINGTON VIC 3931",715.0,4,2,4,0,1,0
"52 Criterion Way, 
CRANBOURNE EAST VIC 3977",485.0,3,2,2,0,1,0
"4/21 Olive Street, 
DANDENONG VIC 3175",485.0,3,2,1,0,0,1
"13/23 Hotham St, 
EAST MELBOURNE VIC 3002",485.0,1,1,1,1,0,0
"2 Dorgan Court, 
ENDEAVOUR HILLS VIC 3802",485.0,3,2,1,0,1,0
"86/100 Keilor Rd, 
ESSENDON NORTH VIC 3041",485.0,2,2,1,1,0,0
"4/29 Royal Avenue, 
ESSENDON NORTH VIC 3041",485.0,2,1,1,1,0,0
"208/38 Playne Street, 
FRANKSTON VIC 3199",485.0,2,2,1,1,0,0
"10/96 Mercer Street, 
GEELONG VIC 3220",485.0,2,2,1,1,0,0
"2/17 Eileen Street, 
HADFIELD VIC 3046",485.0,2,1,2,0,0,1
"2/1 Turner Road, 
HIGHETT VIC 3190",485.0,2,1,2,1,0,0
"306/14 Elizabeth Street, 
MALVERN VIC 3144",485.0,1,1,1,1,0,0
"607/585 La Trobe Street, 
MELBOURNE VIC 3000",485.0,2,1, ,0,1,0
"1072 Nepean Highway, 
MORNINGTON VIC 3931",485.0,3,1,2,0,1,0
"26 Whites Road, 
MOUNT DUNEED VIC 3217",485.0,4,2,2,0,1,0
"25 Vimini Drive, 
NARRE WARREN VIC 3805",485.0,3,2, ,0,1,0
"3/106 Bailey Road, 
NARRE WARREN NORTH VIC 3804",485.0,4,3,4,0,1,0
"66 River Street, 
NEWPORT VIC 3015",485.0,2,1,2,0,1,0
"9/7 Coombs Av, 
OAKLEIGH VIC 3166",485.0,2,1,2,1,0,0
"1/16 Stewart Road, 
OAKLEIGH EAST VIC 3166",485.0,2,1,2,1,0,0
"3/5 Bristol Road, 
PASCOE VALE VIC 3044",485.0,2,1,1,0,0,1
"84 Galloway Drive, 
MERNDA VIC 3754",495.0,3,2,2,0,1,0
"6 Korong Court, 
MORNINGTON VIC 3931",495.0,3,1,1,0,1,0
"7 Motion Drive, 
MOUNT DUNEED VIC 3217",495.0,4,2,4,0,1,0
"3/29 Arena Square, 
NOBLE PARK VIC 3174",495.0,2,1,1,1,0,0
"18 Wall Street, 
NOBLE PARK VIC 3174",495.0,3,1,1,0,1,0
"5/34 Mitchell Street, 
NORTHCOTE VIC 3070",495.0,2,1,1,1,0,0
"4/16 Westgarth Street, 
NORTHCOTE VIC 3070",495.0,2,1,1,1,0,0
"1 Chelsea Ave, 
OCEAN GROVE VIC 3226",495.0,3,2,2,0,1,0
"10/22 Warrigal Road, 
PARKDALE VIC 3195",495.0,2,1,2,1,0,0
"6/84 Warrigal Road, 
PARKDALE VIC 3195",495.0,2,1,1,1,0,0
"3/17 Hazel Grove, 
PASCOE VALE VIC 3044",2153.0,2,2,1,0,0,1
"2/10 Joffre Road, 
PASCOE VALE VIC 3044",495.0,2,1,1,1,0,0
"209 Saltwater Promenade, 
POINT COOK VIC 3030",495.0,3,2,2,0,1,0
"28 Lockheed Parade, 
POINT COOK VIC 3030",495.0,4,2,2,0,1,0
"22/K1-K5 Raleigh Street, 
PRAHRAN VIC 3181",495.0,2,1,1,1,0,0
"106/388 Murray Road, 
PRESTON VIC 3072",495.0,2,2,1,1,0,0
"306A/51 Johnson Street, 
RESERVOIR VIC 3073",495.0,2,2,1,1,0,0
"1/17 Summerhill Road, 
RESERVOIR VIC 3073",495.0,2,1,1,0,0,1
"606/30 Burnley Street, 
RICHMOND VIC 3121",495.0,1,1,1,1,0,0
"49 Fifth Avenue, 
ROSEBUD VIC 3939",495.0,3,2,2,0,1,0
"57 Vautier Avenue, 
MICKLEHAM VIC 3064",490.0,3,2,2,0,1,0
"2 Freeman Crescent, 
MILL PARK VIC 3082",490.0,4,2, ,0,1,0
"4/10 James Street, 
MORDIALLOC VIC 3195",490.0,2,1,1,1,0,0
"7/761-763 Esplanade, 
MORNINGTON VIC 3931",490.0,2,1, ,1,0,0
"88 Armstrong Boulevard, 
MOUNT DUNEED VIC 3217",490.0,4,2,2,0,1,0
"18 Monavale Drive, 
MOUNT DUNEED VIC 3217",490.0,3,2,2,0,1,0
"6 Anna Court, 
NARRE WARREN VIC 3805",490.0,3,2,2,0,1,0
"2/94-96 Blackshaws Road, 
NEWPORT VIC 3015",490.0,2,1,2,0,0,1
"1/29 Baldwin Avenue, 
NOBLE PARK VIC 3174",490.0,3,1,1,0,1,0
"5 Penola Court, 
NOBLE PARK NORTH VIC 3174",490.0,3,1,1,0,1,0
"2/34 Tallis Street, 
NORLANE VIC 3214",490.0,3,2,1,0,0,1
"98 Melrose Street, 
NORTH MELBOURNE VIC 3051",490.0,2,1, ,0,1,0
"2/127 Bonnyvale Road, 
OCEAN GROVE VIC 3226",490.0,2,1,1,0,0,1
"4 Arlington Crescent, 
OCEAN GROVE VIC 3226",490.0,3,2,1,0,1,0
"5/86-90 The Terrace, 
OCEAN GROVE VIC 3226",490.0,2,2,1,1,0,0
"11/273 Grange Road, 
ORMOND VIC 3204",490.0,2,1,1,1,0,0
"2/5 Pardy Street, 
PASCOE VALE VIC 3044",490.0,2,1,1,0,0,1
"86 Flatbush Avenue, 
POINT COOK VIC 3030",490.0,4,3,2,0,1,0
"16 Suttie Street, 
POINT COOK VIC 3030",490.0,4,2,2,0,1,0
"212/127 Nicholson Street, 
BRUNSWICK EAST VIC 3057",630.0,2,2,1,1,0,0
"16 Coronation Street, 
BRUNSWICK WEST VIC 3055",630.0,2,2, ,0,1,0
"33 Daly Street, 
BRUNSWICK WEST VIC 3055",630.0,2,1,1,0,1,0
"214/123 Pelham Street, 
CARLTON VIC 3053",630.0,2,1, ,1,0,0
"805/28 Bouverie Street, 
CARLTON VIC 3053",630.0,2,2, ,1,0,0
"L4/11 Bond Street, 
CAULFIELD NORTH VIC 3161",630.0,2,1, ,1,0,0
"6 Narrumburn Rd, 
CLAYTON SOUTH VIC 3169",630.0,4,1,1,0,1,0
"10/165 Noone Street, 
CLIFTON HILL VIC 3068",630.0,2,2,1,1,0,0
"33 Grande Belmond Avenue, 
CLYDE VIC 3978",630.0,4,2,4,0,1,0
"304T/70 Stanley Street, 
COLLINGWOOD VIC 3066",630.0,2,2,1,1,0,0
"711/8 Pearl River Road, 
DOCKLANDS VIC 3008",630.0,2,1,1,1,0,0
"416B/455 Glen Huntly Road, 
ELSTERNWICK VIC 3185",630.0,2,2,1,1,0,0
"85 King Arthur Drive, 
GLEN WAVERLEY VIC 3150",630.0,4,2,2,0,1,0
"60 Avendon Boulevard, 
GLEN WAVERLEY VIC 3150",630.0,3,2,2,1,0,0
"81 Southern Road, 
HEIDELBERG HEIGHTS VIC 3081",630.0,3,3,2,0,1,0
"2/39 Marie Avenue, 
HEIDELBERG HEIGHTS VIC 3081",630.0,3,2,2,0,0,1
"120A Edwin Street, 
HEIDELBERG HEIGHTS VIC 3081",630.0,3,2,3,0,0,1
"1907/483 Swanston Street, 
MELBOURNE VIC 3000",700.0,2,2,1,1,0,0
"4410/442 Elizabeth Street, 
MELBOURNE VIC 3000",700.0,2,1, ,1,0,0
"3508/135 Abeckett Street, 
MELBOURNE VIC 3000",700.0,2,2, ,1,0,0
"3011/618 Lonsdale Street, 
MELBOURNE VIC 3000",700.0,2,2,1,1,0,0
"2/53 Royal Avenue, 
SPRINGVALE VIC 3171",320.0,2,1, ,1,0,0
"6/128 East Esplanade, 
ST ALBANS VIC 3021",320.0,2,1,1,1,0,0
"5/110 Station Street, 
THOMASTOWN VIC 3074",320.0,2,1,1,1,0,0
"9/50 Normanby Avenue, 
THORNBURY VIC 3071",320.0,1,1,1,1,0,0
"6/42-48 Cottrell Street, 
WERRIBEE VIC 3030",320.0,2,1,1,1,0,0
"1/4 Nebo Court, 
WERRIBEE VIC 3030",320.0,2,1,1,1,0,0
"13 Austin, 
WERRIBEE VIC 3030",320.0, ,1, ,1,0,0
"23/132 Rupert Street, 
WEST FOOTSCRAY VIC 3012",320.0,1,1,1,1,0,0
"2/85 Henry Street, 
WINDSOR VIC 3181",320.0,1,1,1,1,0,0
"702/59 Paisley Street, 
FOOTSCRAY VIC 3011",323.0,2,2,1,1,0,0
"2/204 High Street, 
BELMONT VIC 3216",325.0,1,1,1,1,0,0
"4/548 Moreland Road, 
BRUNSWICK WEST VIC 3055",325.0,1,1, ,1,0,0
"611/127 Leicester Street, 
CARLTON VIC 3053",325.0,1,1, ,1,0,0
"504/50 Barry Street, 
CARLTON VIC 3053",325.0,1,1, ,1,0,0
"111/50 Barry Street, 
CARLTON VIC 3053",325.0,1,1, ,1,0,0
"502/50 Barry Street, 
CARLTON VIC 3053",325.0,1,1, ,1,0,0
"607/50 Barry Street, 
CARLTON VIC 3053",325.0,1,1, ,1,0,0
"5 Dudley Street, 
CAULFIELD EAST VIC 3145",325.0, , , ,1,0,0
"5/1 Park St, 
PASCOE VALE VIC 3044",355.0,1,1,1,1,0,0
"8a Station Street, 
SEAFORD VIC 3198",355.0,1,1,1,1,0,0
"10/1 Clearwater Rise Parade, 
TRUGANINA VIC 3029",355.0,2,1,1,0,0,1
"10 Julian Street, 
WERRIBEE VIC 3030",370.0,3,1,1,0,1,0
"45 Oakwood Road, 
ALBANVALE VIC 3021",360.0,3,1,2,0,1,0
"72 Myrtle Street, 
ALEXANDRA VIC 3714",360.0,3,1,2,0,1,0
"8 Suspension Street, 
ARDEER VIC 3022",360.0,2,1,1,0,1,0
"71 Nicholson Crescent, 
BELL PARK VIC 3215",360.0,2,1,2,0,1,0
"300 High Street, 
BELMONT VIC 3216",360.0,2,1, ,0,1,0
"2/22 Hancock Crescent, 
BRAYBROOK VIC 3019",360.0,2,1,2,0,1,0
"45 Black Dog Drive, 
BROOKFIELD VIC 3338",360.0,3,1,2,0,1,0
"1-5 Grantham street, 
BRUNSWICK WEST VIC 3055",360.0,1,1, ,1,0,0
"3/173 Union Street, 
BRUNSWICK WEST VIC 3055",360.0,1,1,1,1,0,0
"14/912 Drummond Street, 
CARLTON NORTH VIC 3054",360.0,1,1,1,1,0,0
"REAR/785 Glenhuntly Road, 
CAULFIELD VIC 3162",360.0,1,1,1,1,0,0
"Rm 1/10 - 12 Florence Ave, 
CLAYTON VIC 3168",360.0,1,1,1,1,0,0
"405M/60 Stanley Street, 
COLLINGWOOD VIC 3066",360.0, ,1, ,1,0,0
"8/45 Lygon Drive, 
CRAIGIEBURN VIC 3064",360.0,1,1,1,0,0,1
"19/71 Allison Road, 
ELSTERNWICK VIC 3185",360.0,1,1,1,1,0,0
"2/68 Queen Street, 
ALTONA VIC 3018",350.0,2,1,1,1,0,0
"20B Sovereign Way, 
AVONDALE HEIGHTS VIC 3034",350.0,2,1,2,1,0,0
"63 Skyline Road, 
BEND OF ISLANDS VIC 3097",350.0,1,1,1,1,0,0
"9/37 Jane Street, 
BERWICK VIC 3806",350.0,1,1, ,1,0,0
"64 Dimboola Road, 
BROADMEADOWS VIC 3047",350.0,3,1,1,0,1,0
BRUNSWICK VIC 3056,350.0,2,1,1,1,0,0
"5/556 Moreland Road, 
BRUNSWICK WEST VIC 3055",350.0,1,1,1,1,0,0
"10/193 Union Street, 
BRUNSWICK WEST VIC 3055",350.0,1,1,1,1,0,0
"206/1320 Plenty Road, 
BUNDOORA VIC 3083",350.0, ,1,1,1,0,0
"59/1251 Plenty Road, 
BUNDOORA VIC 3083",350.0,2,1,1,1,0,0
"202/26 Copernicus Crescent, 
BUNDOORA VIC 3083",350.0,1,1, ,1,0,0
"10/77 Elgar Road, 
BURWOOD VIC 3125",350.0,1,1, ,1,0,0
"151 Cape Schanck Road, 
CAPE SCHANCK VIC 3939",350.0,3,1,3,0,1,0
"517/131 Pelham Street, 
CARLTON VIC 3053",350.0,1,1, ,1,0,0
"503/139 Bouverie Street, 
CARLTON VIC 3053",349.0,1,1, ,1,0,0
"9/373 Neerim Road, 
CARNEGIE VIC 3163",350.0,1,1,1,1,0,0
"58/167 Hawthorn Road, 
CAULFIELD NORTH VIC 3161",350.0,1,1, ,0,1,0
"5/55 Filbert Street, 
CAULFIELD SOUTH VIC 3162",350.0,1,1,1,1,0,0
"3/57 Rayhur St, 
CLAYTON SOUTH VIC 3169",350.0, ,1, ,1,0,0
"1/15 Church Street, 
BELMONT VIC 3216",525.0,3,2,2,0,0,1
"26 Michigan Road, 
CLYDE VIC 3978",525.0,4,2,1,0,1,0
"4 Citrinus Street, 
MOUNT DUNEED VIC 3217",525.0,4,2,2,0,1,0
"Lonsdale, 
MELBOURNE VIC 3000",505.0,2,1, ,1,0,0
"109G/631 Victoria Street, 
ABBOTSFORD VIC 3067",510.0,1,1,1,1,0,0
"7/25 Gladstone Avenue, 
ARMADALE VIC 3143",510.0,2,1,1,1,0,0
"6 Whitehaven Chase, 
ARMSTRONG CREEK VIC 3217",510.0,4,2,2,0,1,0
"24 Peaceful Way, 
ARMSTRONG CREEK VIC 3217",510.0,4,2,2,0,1,0
"65 Coastside Drive, 
ARMSTRONG CREEK VIC 3217",510.0,4,2,2,0,1,0
"13 Cassava Street, 
ARMSTRONG CREEK VIC 3217",510.0,4,2,2,0,1,0
"4 Palms Avenue, 
BERWICK VIC 3806",510.0,3,2,1,0,1,0
"1/35 Manuka Road, 
BERWICK VIC 3806",510.0,4,2,2,0,1,0
"208/611 Sydney Road, 
BRUNSWICK VIC 3056",510.0,2,1,1,1,0,0
"203/42-44 Harrison Street, 
BRUNSWICK EAST VIC 3057",510.0,2,2,1,1,0,0
"1/999 Rathdowne Street, 
CARLTON NORTH VIC 3054",510.0,1,1,1,1,0,0
"3/48 Woodbine Grove, 
CHELSEA VIC 3196",510.0,2,2,1,0,0,1
"27 Pasadena Boulevard, 
CLYDE VIC 3978",510.0,3,2,1,0,1,0
"17 Opportunity Circuit, 
CLYDE NORTH VIC 3978",510.0,4,2,2,0,1,0
"21 Swallowtail Avenue, 
CLYDE NORTH VIC 3978",510.0,4,2,1,0,1,0
"125/22 Kavanagh Street, 
SOUTHBANK VIC 3006",620.0,2,1,1,1,0,0
"83/183 City Road, 
SOUTHBANK VIC 3006",620.0,2,1,1,1,0,0
"2 Lewis Street, 
SPRINGVALE VIC 3171",620.0,3,2,2,0,0,1
