STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP,geometry
19955,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237,1,Sandringham,POINT (144.99524284431203 -37.87589283999402)
19956,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1,Sandringham,POINT (144.9935180853116 -37.86947484983616)
19957,Windsor Railway Station (Windsor),-37.856053,144.992035,1,Sandringham,POINT (144.99204100703216 -37.85603982965183)
19958,Prahran Railway Station (Prahran),-37.849518,144.98986,1,Sandringham,POINT (144.98986588812198 -37.84950483946243)
19959,South Yarra Railway Station (South Yarra),-37.838449,144.992342,1,"Frankston,Pakenham,Sandringham,Cranbourne",POINT (144.99234808889568 -37.83843582956381)
19960,Upfield Railway Station (Coolaroo),-37.666078,144.94674,2,Upfield,POINT (144.9467458354902 -37.66606485537552)
19961,Gowrie Railway Station (Glenroy),-37.700678,144.958874,2,Upfield,POINT (144.95887998965182 -37.70066481641951)
19962,Fawkner Railway Station (Fawkner),-37.714621,144.960545,"1,2",Upfield,POINT (144.96055110785332 -37.71460779662037)
19963,Merlynston Railway Station (Coburg North),-37.720934,144.961314,"1,2",Upfield,POINT (144.9613200670366 -37.72092084671213)
19964,Batman Railway Station (Coburg North),-37.733523,144.962841,"1,2",Upfield,POINT (144.96284682540855 -37.73350986689469)
19965,Coburg Railway Station (Coburg),-37.742345,144.963336,1,Upfield,POINT (144.9633418243668 -37.742331846983326)
19966,Moreland Railway Station (Coburg),-37.754485,144.961823,1,Upfield,POINT (144.96182910331285 -37.75447185695532)
19967,Anstey Railway Station (Brunswick),-37.761242,144.960684,1,Upfield,POINT (144.96069006277764 -37.761228876919425)
19968,Brunswick Railway Station (Brunswick),-37.767721,144.959587,1,Upfield,POINT (144.9595927822653 -37.767707796884636)
19969,Jewell Railway Station (Brunswick),-37.774987,144.958717,1,Upfield,POINT (144.95872302162815 -37.77497385687031)
