Unnamed: 0,Address,Suburb,Prices,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Longitude,Latitude
530,"409N/883 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,500.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
531,"6/445 St Kilda Street, 
ELWOOD VIC 3184",ELWOOD,500.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.992348,37.882829
532,"13/1044 Mt Alexander Road, 
ESSENDON VIC 3040",ESSENDON,500.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,,
533,"50 Wattle Valley Drive, 
HILLSIDE VIC 3037",HILLSIDE,500.0,16335.0,2089.8,36.3,11585.0,0.0,0.0,20.0,64.0,30.0,56.0,15.0,47.0,6.0,10.0,4657.0,506.0,108.0,380.0,689.0,11.0,257.0,144.739835,37.686284
534,"204/33 Racecourse Road, 
NORTH MELBOURNE VIC 3051",NORTH MELBOURNE,500.0,15998.0,6597.7,31.3,12916.0,0.0,0.0,59.0,175.0,120.0,100.0,46.0,168.0,9.0,29.0,323.0,2056.0,6849.0,381.0,4386.0,253.0,1051.0,144.937787,37.788856
535,"3 Bevan Court, 
POINT COOK VIC 3030",POINT COOK,500.0,62990.0,8965.2,136.60000000000002,41810.0,0.0,0.0,239.0,398.0,229.0,317.0,109.0,283.0,29.0,89.0,18237.0,2054.0,590.0,1601.0,5811.0,96.0,1469.0,144.719997,37.89474
536,"304A/6 CLINCH AVENUE, 
PRESTON VIC 3072",PRESTON,500.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,,
537,"7/49-55 Rosella Avenue, 
WERRIBEE VIC 3030",WERRIBEE,370.0,58887.0,2806.9,105.5,39418.0,0.0,0.0,501.0,249.0,121.0,206.0,60.0,171.0,19.0,462.0,19321.0,3015.0,506.0,1026.0,6808.0,220.0,1363.0,,
538,"33 Chaparral St, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,370.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,144.615798,37.863781
539,"2/5-7 Princes St, 
ABBOTSFORD VIC 3067",ABBOTSFORD,375.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,144.99974,37.809517
540,"4/17 Norman Court, 
DANDENONG VIC 3175",DANDENONG,375.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,145.209199,38.001568
541,"6 Beachurst Avenue, 
DROMANA VIC 3936",DROMANA,400.0,13460.0,298.7,51.4,7548.0,0.0,0.0,53.0,52.0,44.0,62.0,23.0,66.0,3.0,95.0,7246.0,1339.0,224.0,405.0,1276.0,10.0,58.0,144.979594,38.333773
542,"6/98 Nicholson Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,375.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.898966,37.803157
543,"14/1-3 McGrath Court, 
RICHMOND VIC 3121",RICHMOND,375.0,14083.0,7322.3,34.3,11182.0,0.0,0.0,48.0,325.0,111.0,82.0,40.0,136.0,0.0,22.0,800.0,1760.0,5641.0,400.0,4011.0,80.0,872.0,144.999223,37.823681
544,"8/60 Arthur Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,375.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.994842,37.841841
545,"1305E/888 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,700.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
546,"REAR/112 Bell Street, 
COBURG VIC 3058",COBURG,700.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,,
547,"11 Gavinton Place, 
BERWICK VIC 3806",BERWICK,700.0,23187.0,1174.1,43.3,14432.0,0.0,0.0,36.0,206.0,115.0,98.0,42.0,73.0,5.0,33.0,7430.0,1728.0,20.0,380.0,1533.0,140.0,241.0,145.365861,38.0273
548,"11 William Street, 
BRUNSWICK VIC 3056",BRUNSWICK,700.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,144.962999,37.761329
549,"401/9 Florence Street, 
BRUNSWICK VIC 3056",BRUNSWICK,700.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,144.961207,37.76154
550,"102s/883 Collins Street, 
DOCKLANDS VIC 3008",DOCKLANDS,700.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
551,"25 Van Ness Avenue, 
MARIBYRNONG VIC 3032",MARIBYRNONG,700.0,12715.0,2314.6,35.8,9554.0,0.0,0.0,41.0,112.0,45.0,68.0,26.0,83.0,3.0,39.0,1893.0,1801.0,2334.0,396.0,1913.0,51.0,452.0,144.895689,37.771346
552,"137 Mansfield Street, 
THORNBURY VIC 3071",THORNBURY,700.0,19152.0,3832.5,37.2,13743.0,0.0,0.0,115.0,140.0,50.0,68.0,23.0,90.0,3.0,51.0,4470.0,2170.0,2366.0,396.0,3299.0,98.0,734.0,145.022483,37.75867
553,"203/56 Nicholson Street, 
ABBOTSFORD VIC 3067",ABBOTSFORD,695.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,144.996942,37.804233
554,"83/80 Trenerry Cres, 
ABBOTSFORD VIC 3067",ABBOTSFORD,700.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,145.000037,37.800038
555,"1503/245 City Road, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
556,"3305/45 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
557,"1902/118 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
558,"2211/1 Balston Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.962071,37.825883
559,"905/11 Bale Circuit, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.96317,37.826073
560,"4111/35 Queens Bridge Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
561,"3412/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
562,"Level 7/60 Dorcas Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
563,"2807/45 Clarke Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
564,"1504/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
565,"303/152 Sturt Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
566,"1101/118 Kavanagh Street, 
SOUTHBANK VIC 3006",SOUTHBANK,680.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,,
567,"4 Finn Street, 
ST ALBANS VIC 3021",ST ALBANS,680.0,38516.0,6016.5,73.30000000000001,25443.0,0.0,0.0,85.0,119.0,44.0,202.0,19.0,122.0,14.0,40.0,10617.0,2344.0,1412.0,653.0,4479.0,399.0,1399.0,144.800733,37.748719
568,"39 Pomodorao Road, 
TARNEIT VIC 3029",TARNEIT,680.0,18637.0,4123.0,60.2,12389.0,0.0,0.0,52.0,60.0,31.0,102.0,29.0,58.0,9.0,236.0,4934.0,813.0,30.0,760.0,1481.0,44.0,569.0,,
569,"15 Laurimar Grove, 
WYNDHAM VALE VIC 3024",WYNDHAM VALE,680.0,22858.0,2941.3,63.400000000000006,15428.0,0.0,0.0,244.0,50.0,8.0,77.0,17.0,46.0,3.0,219.0,7493.0,345.0,20.0,686.0,2192.0,101.0,651.0,144.615129,37.871641
570,"28 Windy Hill Drive, 
MULGRAVE VIC 3170",MULGRAVE,610.0,20078.0,1873.1,39.7,12646.0,0.0,0.0,23.0,148.0,124.0,138.0,37.0,93.0,7.0,53.0,6123.0,1229.0,25.0,430.0,1530.0,93.0,366.0,145.187847,37.93065
571,"7/1 Lunette Avenue, 
PRESTON VIC 3072",PRESTON,610.0,33825.0,6306.200000000001,75.0,24317.0,0.0,0.0,241.0,228.0,152.0,149.0,49.0,205.0,16.0,110.0,8290.0,3818.0,3159.0,791.0,5381.0,273.0,1434.0,145.00603,37.73284
572,"24 Portland Parade, 
SEAFORD VIC 3198",SEAFORD,610.0,17359.0,1396.3,40.4,11240.0,0.0,0.0,138.0,59.0,41.0,80.0,26.0,52.0,3.0,32.0,5983.0,1939.0,250.0,351.0,2368.0,41.0,264.0,145.130544,38.098489
573,"706/43 Hancock Street, 
SOUTHBANK VIC 3006",SOUTHBANK,610.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.959522,37.827642
574,"48 Curlew Avenue, 
ALTONA VIC 3018",ALTONA,615.0,28738.0,1704.2,78.8,18016.0,0.0,0.0,102.0,140.0,99.0,124.0,27.0,119.0,9.0,196.0,8125.0,3695.0,818.0,790.0,3440.0,108.0,600.0,144.811044,37.867654
575,"2/14 Brickwood Street, 
BRIGHTON VIC 3186",BRIGHTON,615.0,39748.0,5788.0,92.0,23818.0,0.0,0.0,32.0,588.0,514.0,206.0,116.0,186.0,6.0,360.0,10160.0,3920.0,2609.0,1202.0,3251.0,28.0,665.0,144.998746,37.889732
576,"606M/60 Stanley Street, 
COLLINGWOOD VIC 3066",COLLINGWOOD,615.0,9348.0,7378.6,33.2,7787.0,0.0,0.0,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,,
577,"90A Wheatsheaf Road, 
GLENROY VIC 3046",GLENROY,615.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.920098,37.706809
578,"21 Hardy Loop, 
KEYSBOROUGH VIC 3173",KEYSBOROUGH,615.0,30488.0,2947.4,74.1,20238.0,0.0,0.0,51.0,133.0,81.0,156.0,21.0,142.0,11.0,76.0,8714.0,955.0,113.0,901.0,1710.0,176.0,468.0,145.149823,37.992186
579,"8/145 Walsh Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,615.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.986577,37.829511
580,"119 Belleview Drive, 
SUNBURY VIC 3429",SUNBURY,615.0,40147.0,768.7,113.3,26471.0,0.0,0.0,178.0,150.0,85.0,103.0,43.0,113.0,6.0,97.0,13737.0,704.0,1191.0,1098.0,2915.0,65.0,611.0,144.72471,37.597891
581,"508/32 Bray Street, 
SOUTH YARRA VIC 3141",SOUTH YARRA,650.0,28123.0,21662.2,106.5,22280.0,0.0,0.0,76.0,497.0,622.0,236.0,87.0,356.0,6.0,79.0,1181.0,2094.0,15905.0,1278.0,8671.0,64.0,1947.0,144.99538,37.843754
582,"622/4 Acacia Place, 
ABBOTSFORD VIC 3067",ABBOTSFORD,620.0,9262.0,5321.5,33.7,7675.0,0.0,0.0,39.0,100.0,101.0,44.0,28.0,95.0,5.0,10.0,501.0,1234.0,3901.0,425.0,2436.0,114.0,617.0,145.013818,37.811612
583,"97 Punchbowl Road, 
FLINDERS VIC 3929",FLINDERS,3200.0,6021.0,21.0,56.2,3295.0,0.0,0.0,3.0,46.0,44.0,35.0,18.0,59.0,0.0,79.0,3864.0,25.0,30.0,424.0,246.0,13.0,12.0,144.977517,38.466025
584,"10 Margarita St, 
HAMPTON VIC 3188",HAMPTON,3200.0,18406.0,3237.8,43.6,11941.0,0.0,0.0,38.0,201.0,125.0,88.0,58.0,88.0,8.0,91.0,4586.0,1710.0,1546.0,471.0,1776.0,64.0,347.0,145.000083,37.930247
585,"2/3 Gerbert Street, 
BROADMEADOWS VIC 3047",BROADMEADOWS,470.0,14071.0,1594.1,32.9,9589.0,0.0,0.0,104.0,55.0,22.0,101.0,20.0,44.0,14.0,27.0,3623.0,1013.0,646.0,331.0,2094.0,206.0,514.0,144.933099,37.687862
586,"3/116 Tinning Street, 
BRUNSWICK VIC 3056",BRUNSWICK,470.0,53768.0,20807.5,136.6,42314.0,0.0,0.0,299.0,431.0,183.0,197.0,120.0,360.0,16.0,215.0,8601.0,7170.0,12379.0,1667.0,11861.0,278.0,3124.0,144.951696,37.758255
587,"604/21 Plenty Road, 
BUNDOORA VIC 3083",BUNDOORA,470.0,16164.0,4872.6,79.4,10317.0,0.0,0.0,73.0,124.0,41.0,71.0,14.0,67.0,3.0,26.0,5611.0,730.0,188.0,765.0,1484.0,120.0,407.0,145.05453,37.70494
588,"27 Klippel Way, 
CAROLINE SPRINGS VIC 3023",CAROLINE SPRINGS,470.0,20643.0,2969.1,35.4,14190.0,0.0,0.0,44.0,126.0,58.0,87.0,24.0,74.0,9.0,5.0,5975.0,526.0,341.0,401.0,1361.0,51.0,330.0,144.733083,37.706472
589,"22 Monterey Loop, 
CLYDE VIC 3978",CLYDE,470.0,25665.0,2310.5,61.8,16978.0,0.0,0.0,51.0,73.0,56.0,126.0,12.0,69.0,6.0,383.0,7644.0,171.0,0.0,831.0,1459.0,54.0,404.0,,
590,"403a/41-43 Stockade Avenue, 
COBURG VIC 3058",COBURG,470.0,35372.0,9577.7,112.0,24819.0,0.0,0.0,134.0,266.0,114.0,138.0,53.0,174.0,11.0,70.0,9813.0,3556.0,1545.0,1267.0,4343.0,144.0,1461.0,,
591,"267 Windrock Avenue, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,470.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.931846,37.575792
592,"6 Langdon Crescent, 
CRAIGIEBURN VIC 3064",CRAIGIEBURN,470.0,57607.0,11196.5,125.9,38853.0,0.0,0.0,161.0,196.0,94.0,272.0,53.0,158.0,19.0,220.0,15458.0,2030.0,204.0,1523.0,4657.0,129.0,1266.0,144.932914,37.604605
593,"23 Codrington Street, 
CRANBOURNE VIC 3977",CRANBOURNE,470.0,122174.0,12938.6,225.6,80567.0,0.0,0.0,535.0,302.0,154.0,481.0,67.0,305.0,25.0,625.0,35593.0,4164.0,409.0,2687.0,9314.0,602.0,2037.0,145.285336,38.110175
594,"19 Stirling Street, 
FOOTSCRAY VIC 3011",FOOTSCRAY,450.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,144.904847,37.79606
595,"G07/26 Beaurepaire Parade, 
FOOTSCRAY VIC 3011",FOOTSCRAY,450.0,17420.0,3507.1,34.1,13694.0,0.0,0.0,82.0,200.0,91.0,138.0,41.0,190.0,5.0,248.0,2695.0,1326.0,5031.0,355.0,4123.0,278.0,1360.0,,
596,"11 Addicott Street, 
FRANKSTON VIC 3199",FRANKSTON,450.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.137727,38.144038
597,"1/21 Lardner Road, 
FRANKSTON VIC 3199",FRANKSTON,450.0,62521.0,4843.5,121.2,39777.0,0.0,0.0,455.0,371.0,155.0,218.0,76.0,176.0,12.0,68.0,21147.0,4743.0,1416.0,1096.0,8000.0,650.0,751.0,145.13756,38.15533
598,"6/5 Murrell Street, 
GLENROY VIC 3046",GLENROY,450.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.919763,37.704225
599,"2/18 Josephine St, 
GLENROY VIC 3046",GLENROY,450.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,,
600,"3/40 Kennedy Street, 
GLENROY VIC 3046",GLENROY,450.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.914588,37.710196
601,"34 Valencia Street, 
GLENROY VIC 3046",GLENROY,450.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.936322,37.704616
602,"7A Truscott Street, 
GLENROY VIC 3046",GLENROY,450.0,23965.0,5837.200000000001,68.1,16418.0,0.0,0.0,72.0,102.0,35.0,114.0,30.0,71.0,29.0,56.0,5727.0,3314.0,909.0,738.0,3218.0,129.0,1254.0,144.937498,37.711071
603,"5/9 McDowell St, 
GREENSBOROUGH VIC 3088",GREENSBOROUGH,450.0,20997.0,2079.4,41.7,12959.0,0.0,0.0,49.0,110.0,89.0,51.0,30.0,60.0,5.0,31.0,6857.0,1184.0,212.0,400.0,1385.0,41.0,399.0,145.096642,37.705827
604,"166 Grimshaw Street, 
GREENSBOROUGH VIC 3088",GREENSBOROUGH,450.0,20997.0,2079.4,41.7,12959.0,0.0,0.0,49.0,110.0,89.0,51.0,30.0,60.0,5.0,31.0,6857.0,1184.0,212.0,400.0,1385.0,41.0,399.0,145.096682,37.703825
605,"1/5 Robert Street, 
DANDENONG VIC 3175",DANDENONG,460.0,54169.0,5306.299999999999,105.8,35871.0,0.0,0.0,207.0,259.0,263.0,438.0,69.0,331.0,24.0,110.0,12152.0,5534.0,2756.0,992.0,7356.0,1157.0,1364.0,145.219775,37.980438
606,"82 Lennon Park Way, 
DERRIMUT VIC 3026",DERRIMUT,460.0,8751.0,660.1,32.0,5829.0,0.0,0.0,14.0,27.0,38.0,46.0,6.0,43.0,6.0,2.0,2393.0,83.0,0.0,400.0,504.0,54.0,184.0,,
607,"133 Calder Hwy, 
DIGGERS REST VIC 3427",DIGGERS REST,460.0,5297.0,102.1,32.7,3732.0,0.0,0.0,37.0,5.0,10.0,14.0,3.0,4.0,0.0,61.0,1950.0,161.0,0.0,396.0,402.0,0.0,145.0,144.717815,37.62422
608,"916/677 La Trobe Street, 
DOCKLANDS VIC 3008",DOCKLANDS,460.0,15942.0,6522.9,32.5,13715.0,0.0,0.0,45.0,116.0,313.0,135.0,55.0,251.0,3.0,2.0,59.0,152.0,10602.0,411.0,5056.0,18.0,1602.0,,
609,"39 Tata Way, 
DOREEN VIC 3754",DOREEN,460.0,27064.0,3853.6,66.6,17539.0,0.0,0.0,144.0,81.0,38.0,83.0,13.0,42.0,9.0,93.0,8611.0,492.0,32.0,786.0,1856.0,37.0,446.0,145.124971,37.615156
610,"3/62 Simpson Street, 
EAST MELBOURNE VIC 3002",EAST MELBOURNE,460.0,4962.0,1711.2,41.8,3592.0,0.0,0.0,6.0,424.0,149.0,70.0,35.0,48.0,0.0,7.0,112.0,696.0,2640.0,480.0,1264.0,52.0,217.0,144.988957,37.810428
611,"3/123 Tennyson Street, 
ELWOOD VIC 3184",ELWOOD,460.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.992313,37.882305
612,"5/2 Dickens Street, 
ELWOOD VIC 3184",ELWOOD,460.0,15041.0,5891.5,37.9,11480.0,0.0,0.0,40.0,144.0,79.0,80.0,44.0,51.0,3.0,77.0,1129.0,1169.0,6576.0,415.0,3639.0,66.0,530.0,144.982324,37.873259
613,"2/6 Sherbourne Street, 
ESSENDON VIC 3040",ESSENDON,460.0,12313.0,3464.3,37.4,8783.0,0.0,0.0,43.0,160.0,107.0,53.0,23.0,100.0,4.0,52.0,2256.0,1311.0,2670.0,371.0,2156.0,42.0,625.0,144.915884,37.756934
614,"9 Esther Court, 
FAWKNER VIC 3060",FAWKNER,460.0,14193.0,2791.3,34.8,8969.0,0.0,0.0,36.0,63.0,14.0,63.0,17.0,47.0,6.0,26.0,4386.0,861.0,25.0,380.0,1410.0,69.0,460.0,144.967698,37.715538
615,"6 Marsala Way, 
MERNDA VIC 3754",MERNDA,450.0,23634.0,2160.9,65.69999999999999,15485.0,0.0,0.0,178.0,94.0,35.0,95.0,15.0,53.0,3.0,58.0,7183.0,755.0,130.0,768.0,2055.0,33.0,552.0,145.072198,37.602583
616,"9 Appletree Drive, 
MILL PARK VIC 3082",MILL PARK,450.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,145.051768,37.671356
617,"4 Holly Close, 
MILL PARK VIC 3082",MILL PARK,450.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,145.051583,37.67361
618,"21 Stillman Drive, 
MILL PARK VIC 3082",MILL PARK,450.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,145.071519,37.655386
619,"103/24 Oleander Drive, 
MILL PARK VIC 3082",MILL PARK,450.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,145.079904,37.652717
620,"261 Betula Avenue, 
MILL PARK VIC 3082",MILL PARK,450.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,145.060724,37.667874
621,"7801/7 Riverside Quay, 
SOUTHBANK VIC 3006",SOUTHBANK,1800.0,16538.0,20569.7,30.9,14882.0,0.0,0.0,48.0,84.0,112.0,76.0,26.0,73.0,0.0,69.0,5.0,199.0,12174.0,408.0,5855.0,30.0,1844.0,144.96454,37.821256
622,"22 Friendship Avenue, 
MILL PARK VIC 3082",MILL PARK,620.0,28989.0,4469.6,79.5,19968.0,0.0,0.0,194.0,139.0,60.0,110.0,33.0,115.0,6.0,14.0,9397.0,1082.0,289.0,734.0,2288.0,128.0,524.0,145.04946,37.655242
623,"2/25 Seaton Road, 
MORNINGTON VIC 3931",MORNINGTON,620.0,25909.0,2700.5,102.5,14008.0,0.0,0.0,107.0,242.0,136.0,139.0,59.0,127.0,3.0,71.0,9339.0,1511.0,946.0,810.0,2225.0,58.0,130.0,145.031377,38.240003
624,"7A Monica Close, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,620.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,145.120928,37.861256
625,"2/2 Carrol Grove, 
MOUNT WAVERLEY VIC 3149",MOUNT WAVERLEY,620.0,35716.0,4743.200000000001,80.3,23090.0,0.0,0.0,39.0,350.0,290.0,247.0,72.0,218.0,14.0,114.0,9457.0,1385.0,3011.0,955.0,3026.0,135.0,861.0,145.11128,37.892069
