,Estimated resident population (no.),Population density (persons/km2),Median age - persons (years),Working age population (aged 15-64 years) (no.),Employed (no.),Unemployed (no.),Renter (no.),Health care and social assistance (no.),Financial and insurance services (no.),Administrative and support services (no.),Education and training (no.),Accommodation and food services (no.),Public administration and safety (no.),Value of residential building ($m),Houses - total (no.),Townhouses - total (no.),Apartments - total (no.),Median weekly household rental payment ($),Rented (no.),Count of homeless persons (no.),"Used at least one form of public transport (train, tram, bus, ferry) (no.)",Median equivalised total household income (weekly) ($),SA2 Area Name
118,5855.0,2294.3,37.3,3726.0,,,0.0,10.0,13.0,22.0,3.0,11.0,,20.0,1561.0,309.0,15.0,400.0,173.0,4.0,99.0,944.0,Region summary_ Burnside SA2 213041461.csv
119,11603.0,1440.2,36.2,7445.0,,,22.0,47.0,63.0,70.0,17.0,61.0,5.0,6.0,3000.0,836.0,50.0,361.0,918.0,121.0,192.0,844.0,Region summary_ Hallam SA2 212021297.csv
120,22391.0,233.5,35.1,15258.0,,,28.0,105.0,80.0,114.0,16.0,66.0,9.0,206.0,6784.0,224.0,5.0,430.0,803.0,47.0,251.0,1161.0,Region summary_ Greenvale - Bulla SA2 210051246.csv
121,9348.0,7378.6,33.2,7787.0,,,51.0,99.0,88.0,102.0,45.0,134.0,5.0,42.0,290.0,1377.0,3948.0,425.0,2888.0,28.0,492.0,1693.0,Region summary_ Collingwood SA2 206071141.csv
122,4936.0,1728.3,38.5,3144.0,,,14.0,23.0,25.0,16.0,3.0,26.0,3.0,13.0,1783.0,145.0,10.0,410.0,345.0,21.0,75.0,1108.0,Region summary_ Croydon South SA2 211031452.csv
123,9726.0,2055.9,42.7,6039.0,,,12.0,45.0,43.0,34.0,10.0,28.0,,16.0,3448.0,36.0,32.0,436.0,403.0,,135.0,1278.0,Region summary_ Ringwood North SA2 211031268.csv
124,13193.0,1722.4,41.8,8377.0,,,32.0,37.0,35.0,37.0,16.0,45.0,5.0,12.0,4275.0,589.0,54.0,360.0,820.0,40.0,207.0,891.0,Region summary_ Keilor Downs SA2 213011332.csv
125,11725.0,2711.9,41.5,7619.0,,,24.0,317.0,179.0,77.0,31.0,76.0,,88.0,2523.0,1382.0,1047.0,501.0,1058.0,46.0,273.0,1700.0,Region summary_ Kew - South SA2 207011521.csv
126,10587.0,2108.0,32.5,6966.0,,,58.0,18.0,15.0,32.0,5.0,23.0,4.0,49.0,3351.0,320.0,,386.0,804.0,12.0,204.0,1171.0,Region summary_ Doreen - South SA2 209041528.csv
127,11860.0,6276.1,39.5,8599.0,,,51.0,275.0,441.0,202.0,76.0,258.0,8.0,138.0,309.0,2393.0,4713.0,421.0,3064.0,123.0,554.0,1626.0,Region summary_ South Melbourne SA2 206051512.csv
