Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2022,June,1 North West Metro, Melbourne,"34,886","21,829.3"
2022,June,1 North West Metro, Melton,"12,091","6,269.2"
2022,June,1 North West Metro, Merri-bek,"11,366","6,513.4"
2022,June,1 North West Metro, Moonee Valley,"7,818","6,358.1"
2022,June,1 North West Metro, Nillumbik,"1,833","2,908.1"
2022,June,1 North West Metro, Whittlesea,"11,964","5,053.1"
2022,June,1 North West Metro, Wyndham,"16,297","5,280.6"
2022,June,1 North West Metro, Yarra,"12,423","13,486.0"
2022,June,1 North West Metro,Total,"176,902","7,850.9"
2022,June,2 Eastern, Alpine,546,"4,144.2"
2022,June,2 Eastern, Bass Coast,"2,962","7,096.1"
2022,June,2 Eastern, Baw Baw,"4,171","7,047.8"
2022,June,2 Eastern, Benalla,"1,319","9,128.0"
2022,June,2 Eastern, Boroondara,"7,050","4,161.5"
2022,June,2 Eastern, East Gippsland,"4,916","10,055.8"
2022,June,2 Eastern, Greater Shepparton,"8,265","12,000.3"
2022,June,2 Eastern, Indigo,666,"3,826.0"
2022,June,2 Eastern, Knox,"9,096","5,706.3"
2022,June,2 Eastern, Latrobe,"10,735","13,832.7"
2022,June,2 Eastern, Manningham,"3,767","2,980.9"
2022,June,2 Eastern, Mansfield,420,"4,070.6"
2022,June,2 Eastern, Maroondah,"7,195","6,221.6"
2022,June,2 Eastern, Mitchell,"3,593","6,967.4"
2022,June,2 Eastern, Moira,"1,972","6,457.1"
2022,June,2 Eastern, Monash,"11,275","5,790.8"
2022,June,2 Eastern, Murrindindi,746,"4,861.5"
2022,June,2 Eastern, South Gippsland,"1,704","5,554.1"
2022,June,2 Eastern, Strathbogie,660,"5,740.1"
2022,June,2 Eastern, Towong,154,"2,489.1"
2022,June,2 Eastern, Wangaratta,"2,264","7,576.5"
2022,June,2 Eastern, Wellington,"4,455","9,736.9"
2022,June,2 Eastern, Whitehorse,"7,446","4,321.1"
2022,June,2 Eastern, Wodonga,"3,542","8,117.3"
2022,June,2 Eastern, Yarra Ranges,"7,000","4,449.0"
2022,June,2 Eastern,Total,"105,919","6,187.1"
2022,June,3 Southern Metro, Bayside,"4,548","4,454.4"
2022,June,3 Southern Metro, Cardinia,"6,287","5,110.6"
2022,June,3 Southern Metro, Casey,"19,405","5,127.2"
2022,June,3 Southern Metro, Frankston,"11,715","8,308.4"
2022,June,3 Southern Metro, Glen Eira,"6,648","4,386.7"
2022,June,3 Southern Metro, Greater Dandenong,"15,609","9,815.7"
2022,June,3 Southern Metro, Kingston,"9,712","6,073.5"
2022,June,3 Southern Metro, Mornington Peninsula,"9,107","5,369.7"
2022,June,3 Southern Metro, Port Phillip,"12,051","11,605.8"
2022,June,3 Southern Metro, Stonnington,"10,468","9,846.7"
2022,June,3 Southern Metro,Total,"105,550","6,618.3"
2022,June,4 Western, Ararat,"1,252","10,663.5"
2022,June,4 Western, Ballarat,"10,463","9,031.7"
2022,June,4 Western, Buloke,311,"5,090.0"
2022,June,4 Western, Campaspe,"3,285","8,531.1"
2022,June,4 Western, Central Goldfields,"1,160","8,592.0"
2022,June,4 Western, Colac-Otway,"1,584","7,142.5"
2022,June,4 Western, Corangamite,818,"5,119.9"
2022,June,4 Western, Gannawarra,777,"7,380.3"
2022,June,4 Western, Glenelg,"1,830","9,142.7"
2022,June,4 Western, Golden Plains,620,"2,451.0"
2022,June,4 Western, Greater Bendigo,"10,006","8,164.8"
2022,June,4 Western, Greater Geelong,"20,148","7,296.9"
2022,June,4 Western, Hepburn,561,"3,388.7"
2022,June,4 Western, Hindmarsh,378,"6,747.6"
2022,June,4 Western, Horsham,"2,404","11,826.6"
2022,June,4 Western, Loddon,504,"6,520.9"
2022,June,4 Western, Macedon Ranges,"1,943","3,727.1"
2022,June,4 Western, Mildura,"7,256","12,695.1"
2022,June,4 Western, Moorabool,"1,939","5,038.5"
2022,June,4 Western, Mount Alexander,986,"4,859.1"
2022,June,4 Western, Moyne,770,"4,410.6"
2022,June,4 Western, Northern Grampians,"1,041","8,774.4"
2022,June,4 Western, Pyrenees,422,"5,519.9"
2022,June,4 Western, Queenscliffe,130,"4,054.9"
2022,June,4 Western, Southern Grampians,"1,120","6,840.1"
2022,June,4 Western, Surf Coast,"1,231","3,188.3"
2022,June,4 Western, Swan Hill,"2,314","10,911.5"
2022,June,4 Western, Warrnambool,"2,987","8,409.3"
