,School_Name,Address_Postcode,X,Y
923,Andersons Creek Primary School,3113,145.20768,-37.74822
924,Waverley Meadows Primary School,3150,145.184278,-37.914752
925,Kingswood Primary School,3172,145.123796,-37.982996
926,Ascot Vale Heights School,3032,144.932355,-37.776821
927,Camelot Rise Primary School,3150,145.187775,-37.865278
928,Livingstone Primary School,3133,145.18067,-37.85289
930,St Albans Meadows Primary School,3021,144.817775,-37.753367
931,Silverton Primary School,3174,145.192882,-37.949229
932,Kalinda Primary School,3134,145.254827,-37.7893
935,Templestowe Park Primary School,3106,145.143259,-37.756273
937,Regency Park Primary School,3152,145.236165,-37.854873
938,Dorset Primary School,3136,145.285748,-37.810084
940,Thomastown Meadows Primary School,3074,144.993096,-37.682589
941,Kingsley Park Primary School,3199,145.155704,-38.16808
943,Movelle Primary School,3021,144.775361,-37.737711
946,Yarrabah School,3195,145.096687,-38.013994
947,Frankston Special Developmental School,3199,145.170197,-38.143298
948,Waratah Special Developmental School,3081,145.040741,-37.756289
951,Monash Special Developmental School,3150,145.1657962,-37.9069788
952,Iramoo Primary School,3024,144.628567,-37.895871
954,Weeden Heights Primary School,3133,145.177637,-37.85916
955,Mill Park Primary School,3082,145.0658816,-37.6746058
956,Diamond Valley Special Developmental School,3088,145.1116531,-37.68675447
958,Springvale Park Special Developmental School,3171,145.1543122,-37.94935521
959,Warringa Park School,3029,144.687587,-37.884042
960,Serpell Primary School,3106,145.155574,-37.769901
962,Altona Meadows Primary School,3028,144.779729,-37.868687
965,Jells Park Primary School,3150,145.192851,-37.902837
966,Albanvale Primary School,3021,144.774419,-37.744023
970,Apollo Parkways Primary School,3088,145.1098731,-37.68739459
972,Bethal Primary School,3048,144.917819,-37.659196
974,Patterson Lakes Primary School,3197,145.144792,-38.069838
975,Seaford Park Primary School,3198,145.15444,-38.105038
977,Chirnside Park Primary School,3116,145.311342,-37.750071
979,Templeton Primary School,3152,145.232288,-37.860941
987,Croydon Special Developmental School,3136,145.280781,-37.815627
988,Milgate Primary School,3109,145.175188,-37.773798
990,Furlong Park School For Deaf Children,3020,144.8271,-37.761437
991,Jennings Street School,3028,144.773634,-37.85635
993,Northern School For Autism,3073,145.0299342,-37.70058524
997,Burwood East Special Developmental School,3151,145.142122,-37.857201
999,Meadow Heights Primary School,3048,144.923844,-37.650423
1004,Knox Gardens Primary School,3152,145.229582,-37.882282
1006,Kings Park Primary School,3021,144.767544,-37.733151
1009,Bayside Special Developmental School,3189,145.056804,-37.943358
1010,Rolling Hills Primary School,3138,145.32684,-37.766514
1011,Craigieburn South Primary School,3064,144.935852,-37.608753
1012,Findon Primary School,3082,145.0510724,-37.66649725
1018,Southern Autistic School,3165,145.0620819,-37.92671866
1019,Bellbridge Primary School,3029,144.71078,-37.871082
1020,Croydon Hills Primary School,3136,145.272045,-37.776679
1023,Taylors Lakes Primary School,3038,144.793766,-37.709651
1024,Glen Katherine Primary School,3095,145.139837,-37.689982
1025,Coburg Special Developmental School,3058,144.951739,-37.732916
1026,Broadmeadows Special Developmental School,3047,144.914104,-37.68164744
1027,Sunshine Special Developmental School,3020,144.819889,-37.80343497
1029,Richmond Primary School,3121,144.9990734,-37.82956905
1030,Yarra Primary School,3121,145.007482,-37.814639
1035,Yarraville Special Developmental School,3013,144.883653,-37.817905
1037,Park Ridge Primary School,3178,145.262461,-37.918414
1040,Merriang Special Developmental School,3075,145.0150833,-37.66723751
1041,Orchard Grove Primary School,3130,145.146528,-37.84023
1042,Meadowglen Primary School,3076,145.0530862,-37.64274926
1043,Altona Green Primary School,3028,144.784916,-37.886773
1044,Boroondara Park Primary School,3104,145.087893,-37.789437
1046,Western Autistic School,3028,144.7780691,-37.85078167
1051,Karoo Primary School,3178,145.263279,-37.905324
1052,Mackellar Primary School,3037,144.777528,-37.717234
1055,Aspendale Gardens Primary School,3195,145.116796,-38.022512
1058,Eastern Ranges School,3156,145.2849193,-37.88042006
1061,Cambridge Primary School,3029,144.675695,-37.867389
1063,Baden Powell P-9 College,3029,144.691019,-37.859838
1065,Mill Park Heights Primary School,3082,145.051747,-37.657331
1066,Monmia Primary School,3038,144.79205,-37.717269
1067,Seabrook Primary School,3028,144.757899,-37.878842
1068,Willmott Park Primary School,3064,144.922592,-37.591778
1069,Thomas Chirnside Primary School,3030,144.637883,-37.903205
1070,Heany Park Primary School,3178,145.24288,-37.933923
1076,Riverwalk Primary School,3030,144.639329,-37.921032
1077,Niddrie Autistic School (interim name),3042,144.887062,-37.743926
1079,Westgrove Primary School,3030,144.659529,-37.878502
1110,Niddrie Primary School,3042,144.878433,-37.7308455
1111,Keelonith Primary School,3059,144.878837,-37.623205
1114,Parkhill Primary School,3147,145.106871,-37.86288
1115,Kananook Primary School,3198,145.131738,-38.125159
1116,Roberts McCubbin Primary School,3128,145.125206,-37.834767
1119,Le Page Primary School,3192,145.0681429,-37.95926069
1121,Glen Waverley Primary School,3150,145.167589,-37.874716
1122,Carrington Primary School,3180,145.246491,-37.891476
1123,Albany Rise Primary School,3170,145.172891,-37.928122
1124,Amsleigh Park Primary School,3166,145.108784,-37.900321
1125,Knox Central Primary School,3155,145.254975,-37.86116
1126,Mount Waverley North Primary School,3149,145.141352,-37.868017
1127,Rangeview Primary School,3132,145.206302,-37.829577
1131,Carwatha College P-12,3174,145.188726,-37.942845
1132,Glen Waverley South Primary School,3150,145.1676109,-37.89685885
1133,Streeton Primary School,3085,145.102224,-37.721556
1138,Roxburgh Homestead Primary School,3064,144.916279,-37.632064
1140,Dinjerra Primary School,3019,144.856117,-37.791693
1141,Belle Vue Park Primary School,3046,144.943937,-37.701198
1142,Doncaster Gardens Primary School,3109,145.1479,-37.781607
1146,Great Ryrie Primary School,3135,145.237626,-37.823797
1148,Parkwood Green Primary School,3037,144.74446,-37.699206
1150,Roxburgh Park Primary School,3064,144.931401,-37.634239
1151,Carranballac P-9 College,3030,144.743132,-37.884736
1153,Caulfield Primary School,3162,145.0200308,-37.888054
1155,Roxburgh Rise Primary School,3064,144.923504,-37.616207
1159,Truganina South Primary School,3029,144.725651,-37.86453
1160,Kororoit Creek Primary School,3023,144.754581,-37.735031
1161,Harvest Home Primary School,3076,145.00226,-37.622078
1162,Truganina P-9 College,3029,144.7190874,-37.83876718
1163,Burnside Primary School,3023,144.75289,-37.74566
1166,Davis Creek Primary School,3029,144.660236,-37.855876
1168,Taylors Hill Primary School,3037,144.7599018,-37.71669468
1170,Aurora School,3130,145.1507912,-37.84017872
1171,Derrimut Primary School,3026,144.7632008,-37.78926806
1172,Epping Views Primary School,3076,145.024015,-37.628439
1177,Aitken Creek Primary School,3064,144.905568,-37.58175
1178,Reservoir Views Primary School,3073,145.022725,-37.705518
1179,Meadows Primary School,3047,144.92956,-37.687539
1181,Sunshine Harvester Primary School,3020,144.845687,-37.782934
1183,Alamanda K-9 College,3030,144.741329,-37.908238
1184,Whitehorse Primary School,3130,145.1669863,-37.80746673
1186,Lalor Gardens Primary School,3075,145.0013492,-37.66369312
1187,Chandler Park Primary School,3173,145.180477,-37.992396
1188,Keysborough Primary School,3172,145.152418,-37.982629
1189,Lyndale Greens Primary School,3175,145.204651,-37.965052
1190,Athol Road Primary School,3172,145.149968,-37.971049
1191,Springvale Rise Primary School,3171,145.159045,-37.939258
1192,Spring Parks Primary School,3171,145.139507,-37.958843
1193,Keilor Views Primary School,3038,144.809188,-37.717649
1194,Wyndham Park Primary School,3030,144.67655,-37.884867
1196,Glenroy Central Primary School,3046,144.925037,-37.704276
1197,William Ruthven Primary School,3073,145.0027816,-37.69666885
1198,Newbury Primary School,3064,144.909548,-37.570989
1199,Dallas Brooks Community Primary School,3047,144.941852,-37.670302
1201,Wyndham Vale Primary School,3024,144.609606,-37.895558
1203,Epping Primary School,3076,145.0255944,-37.64485061
1206,Coolaroo South Primary School,3048,144.930905,-37.66206
1207,Jacana School for Autism,3047,144.913093,-37.687625
1211,South Melbourne Primary School,3006,144.9535,-37.829347
1219,Aitken Hill Primary School,3064,144.905558,-37.601714
