Address,Prices,Bedroom,Bathroom,Parking,Type
"1209/601 Little Lonsdale Street, 
MELBOURNE VIC 3000",$530.00,1,1, ,Apartment / Unit / Flat
"1903/462 Elizabeth St, 
MELBOURNE VIC 3000",$530,1,1, ,Apartment / Unit / Flat
"203/155 Bourke Street, 
MELBOURNE VIC 3000",$530 pw,2,1, ,Apartment / Unit / Flat
"76 Trillium Boulevard, 
MICKLEHAM VIC 3064",$530.00 Per Week,4,2,2,House
"23 Silver Wattle Road, 
MOUNT DUNEED VIC 3217",$530 per week,4,2,3,House
"100 Flourish Drive, 
MOUNT DUNEED VIC 3217",$530 weekly,4,2,2,House
"2/8 Bennett Avenue, 
MOUNT WAVERLEY VIC 3149",$530,3,1,2,Apartment / Unit / Flat
"74 Bertrand Avenue, 
MULGRAVE VIC 3170",$530 pw,3,2,1,House
"1/4 Melbourne Street, 
MURRUMBEENA VIC 3163",$530 per week,2,2,1,Apartment / Unit / Flat
"9 Nantes Street, 
NEWTOWN VIC 3220",$530 p/week,3,2,2,House
"406/5 Beavers Road, 
NORTHCOTE VIC 3070",$530 per week,2,1,2,Apartment / Unit / Flat
"3/402 High Street, 
NORTHCOTE VIC 3070",$530.00 Per Week,2,1,1,Townhouse
"3/28 Murphy Street, 
OAK PARK VIC 3046",$530,3,2,1,Apartment / Unit / Flat
"266 Cumberland Road, 
PASCOE VALE VIC 3044",$530pw/ $2303pcm,3,1,1,House
"26 Ironwood Drive, 
POINT COOK VIC 3030",$530,4,2, ,House
"12 Grangemouth Drive, 
POINT COOK VIC 3030",$530.00 per week,3,2,2,House
"33 Bliss Street, 
POINT COOK VIC 3030",$530,3,2,2,House
"35 Tamar Avenue, 
POINT COOK VIC 3030",$530.00 per week,4,2,2,House
"7 Tamar Avenue, 
POINT COOK VIC 3030",$530.00 per week,4,2,2,House
"23 Point Boulevard, 
POINT LONSDALE VIC 3225",$530 per week,4,2,2,House
