Address,Prices,Bedroom,Bathroom,Parking,Type
"2/10 Day Street, 
DANDENONG VIC 3175",$ 380 PER WEEK,2,1,1,Townhouse
"2/947 Ballarat Road, 
DEER PARK VIC 3023",400,3,1,1,Apartment / Unit / Flat
"32 Welwyn Parade, 
DEER PARK VIC 3023",$380,3,1, ,House
"25 Ferris Avenue, 
DEER PARK VIC 3023",$380 pw,3,1, ,House
"1/1 Shakespeare Drive, 
DELAHEY VIC 3037",$380,3,1,2,Apartment / Unit / Flat
"17 Boobyalla Street, 
DOVETON VIC 3177",$380,3,1,2,House
"27 Tristania Street, 
DOVETON VIC 3177","$380 pw / $1,651 pcm",3,1,1,House
"2/16 Boundary Road, 
EAST GEELONG VIC 3219",$380,2,1,1,House
"6/8 Austin Avenue, 
ELWOOD VIC 3184",$380 weekly,2,1, ,Apartment / Unit / Flat
"3/14 Hampton Road, 
ESSENDON VIC 3040",$380.00 pw,2,1,1,Villa
"2/17 Royal Ave, 
ESSENDON NORTH VIC 3041",$380.00,2,1,1,Apartment / Unit / Flat
"14/53-55 Napier Street, 
FITZROY VIC 3065",$380pw / $1651pcm,1,1, ,Apartment / Unit / Flat
"7/48 Farnham Street, 
FLEMINGTON VIC 3031",$380 pw,2,1,1,Apartment / Unit / Flat
"9/7 Empire Street, 
FOOTSCRAY VIC 3011",$380 per week,2,1,1,Apartment / Unit / Flat
"4/24 Whitehall Street, 
FOOTSCRAY VIC 3011",$380 P/W,1,1,2,Apartment / Unit / Flat
"301/55 Hopkins Street, 
FOOTSCRAY VIC 3011",$380,1,1,1,Apartment / Unit / Flat
"4/90 Mckillop Street, 
GEELONG VIC 3220",$380,1,1,1,Apartment / Unit / Flat
"12/77 Chapman Avenue, 
GLENROY VIC 3046",$380.00,2,1,1,Apartment / Unit / Flat
"5/17 Hansen Drive, 
GROVEDALE VIC 3216",$380 per week,2,1, ,Apartment / Unit / Flat
"9 Connata Place, 
HARKNESS VIC 3337",$380,3,1,2,House
