Address,Prices,Bedroom,Bathroom,Parking,Type
"174 Errol Street, 
NORTH MELBOURNE VIC 3051",$750,3,1, ,House
"1/3 Curie Avenue, 
OAK PARK VIC 3046",$750 PW / $3259 PCM,3,2,1,Townhouse
"Lot 10/10 Alvina Street, 
OAKLEIGH SOUTH VIC 3167",$750,3,2,2,Townhouse
"5 Bewdley Street, 
ORMOND VIC 3204",$750.00,3,1,1,House
"14A Morris Street, 
PARKDALE VIC 3195",$750.00,3,2,3,House
"27A White Street, 
PARKDALE VIC 3195",$750.00,2,1,6,Apartment / Unit / Flat
"10 Ievers Street, 
PARKVILLE VIC 3052",$750.00,3,2,1,House
"351 Reynard Street, 
PASCOE VALE SOUTH VIC 3044",$750 PER WEEK,4,1,1,House
"1C Bischoff Street, 
PRESTON VIC 3072",$750.00,3,2,2,Townhouse
"3 Mount Street, 
PRESTON VIC 3072",$750 per week,4,2, ,House
"1B Bischoff Street, 
PRESTON VIC 3072",$750 Per Week,3,2,2,Townhouse
"20 Baynes Road, 
RED HILL VIC 3937",$750 Per Week,3,2,2,House
"9/74 Tyler Street, 
RESERVOIR VIC 3073",$750 PW / $3259 PCM,4,2,1,Townhouse
"2/3 Dumbarton Street, 
RESERVOIR VIC 3073",$750,4,3,2,House
"UNIT 6/63 ELIZABETH STREET, 
RICHMOND VIC 3121",$750 per week,2,1,1,Apartment / Unit / Flat
"73 Mary Street, 
RICHMOND VIC 3121",$750 weekly,2,1, ,House
"1 Bellevue Street, 
RICHMOND VIC 3121",$745 weekly,3,1,1,House
"76 Stawell St, 
RICHMOND VIC 3121",$750,2,1, ,House
"C402/169 Buckingham Street, 
RICHMOND VIC 3121",$750.00,2,2,1,Apartment / Unit / Flat
"11C Grace street, 
RYE VIC 3941",$750,3,2,2,House
