Address,Prices,Bedroom,Bathroom,Parking,Type
"11 Little Gold Street, 
BRUNSWICK VIC 3056",$900.00,3,2, ,House
"633 Park Street, 
BRUNSWICK VIC 3056",$900.00,3,1,2,House
"46 Montpellier Road, 
BURWOOD VIC 3125",$900 per week,4,2,2,House
"3 Curtain Street, 
CARLTON NORTH VIC 3054",$900.00,3,1,2,Townhouse
"18 Leila Road, 
CARNEGIE VIC 3163",$900.00,3,2,2,House
"2 Wedd Street, 
CHELTENHAM VIC 3192",$900 Per Week,4,2,2,House
"1303/2 New Quay Promenade, 
DOCKLANDS VIC 3008",$900,2,2,2,Apartment / Unit / Flat
"1/80 Waterfront Way, 
DOCKLANDS VIC 3008",$900 PW - Bills Included - Short term leases,1,1, ,Apartment / Unit / Flat
"2404/1 Point Park Crescent, 
DOCKLANDS VIC 3008",$900 Per Week,2,2,1,Apartment / Unit / Flat
"913/60 Siddeley Street, 
DOCKLANDS VIC 3008",$900pw/$3911pcm,3,2,1,Apartment / Unit / Flat
"230 Cookes Road, 
DOREEN VIC 3754",$895 Per Week,4,2,2,House
"22 Hayes Lane, 
EAST MELBOURNE VIC 3002",$895 per week,3,1,2,House
"502/150 Clarendon Street, 
EAST MELBOURNE VIC 3002",$900 per week,1,1,1,Apartment / Unit / Flat
"1/208 Station Street, 
EDITHVALE VIC 3196",$900.00,4,2,1,Townhouse
"204 Glen Eira Road, 
ELSTERNWICK VIC 3185",$895 per week,3,2,1,House
"1/16 Blanche Street, 
ELSTERNWICK VIC 3185",$900 per week,3,2,2,Apartment / Unit / Flat
"7/231 Glen Huntly Road, 
ELSTERNWICK VIC 3185",$900,3,2,2,Townhouse
"232 Darebin Road, 
FAIRFIELD VIC 3078",$900.00,4,2,3,House
"10 Watsons Bend, 
FINGAL VIC 3939",Fully furnished $900 per week,4,4,2,House
"431 Napier Street, 
FITZROY VIC 3065",$895pw / $3889pcm,3,1, ,House
