Address,Prices,Bedroom,Bathroom,Parking,Type
"1/1002 Mt Alexander Road, 
ESSENDON VIC 3040",$480 weekly,2,1,2,Villa
"2 Dudley Street, 
ESSENDON NORTH VIC 3041",$480 per week,2,1,1,House
"240B McBryde Street, 
FAWKNER VIC 3060",$480 Per Week,2,1,1,Townhouse
"67/50 King William Street, 
FITZROY VIC 3065",$480.00,1,1,1,Apartment / Unit / Flat
"2601/8 Hallenstein Street, 
FOOTSCRAY VIC 3011",480.00,2,1, ,Apartment / Unit / Flat
"1504/8 Hallenstein Street, 
FOOTSCRAY VIC 3011",$480.00,2,2, ,Apartment / Unit / Flat
"1001D/4 Tannery Walk, 
FOOTSCRAY VIC 3011",$480,2,2, ,Apartment / Unit / Flat
"103A/48 Cowper Street, 
FOOTSCRAY VIC 3011",$480.00,1,1, ,Apartment / Unit / Flat
"36 Lucerne Crescent, 
FRANKSTON VIC 3199",$480 per week,4,1,2,House
"2 Foot Street, 
FRANKSTON VIC 3199",$480 pw,3,1,3,House
"32 Milford Crescent, 
FRANKSTON VIC 3199",$480,3,1,2,House
"8 Bursaria Crescent, 
FRANKSTON NORTH VIC 3200",$480 pw,3,1,2,House
"1/5 Tallowwood Street, 
FRANKSTON NORTH VIC 3200",$480 pw,3,2,2,Apartment / Unit / Flat
"4/19 Jasper Terrace, 
FRANKSTON SOUTH VIC 3199",$480,2,1,1,Apartment / Unit / Flat
"13 Hector strret, 
FRASER RISE VIC 3336",$480,4,2,1,House
"39 Galveston Avenue, 
FRASER RISE VIC 3336",UNDER APPLICATION,4,2,2,House
"18 Lavant Road, 
FRASER RISE VIC 3336",$500,3,2,2,Townhouse
"1/75 Swanston Street, 
GEELONG VIC 3220",$480,3,1,1,Apartment / Unit / Flat
"606/53 Mercer Street, 
GEELONG VIC 3220",$480/w,1,1,1,House
"3/48 Gordon Avenue, 
GEELONG WEST VIC 3218",$480.00,2,1,1,Apartment / Unit / Flat
