Address,Prices,Bedroom,Bathroom,Parking,Type
"20 Metro Avenue, 
KALKALLO VIC 3064",$470 per week,4,2,2,House
"4 Peck Place, 
KALKALLO VIC 3064",$470,3,2,2,House
"73 David Avenue, 
KEILOR EAST VIC 3033",$470,3,1,4,House
"215/80 Ormond Street, 
KENSINGTON VIC 3031",$470/wk,2,1,1,Apartment / Unit / Flat
"14/1031 Plenty Road, 
KINGSBURY VIC 3083",$470 PER WEEK,2,1,1,Apartment / Unit / Flat
"11 Paschke Crescent, 
LALOR VIC 3075",$470,2,1,1,House
"14 Hinterland Close, 
LYNBROOK VIC 3975",$470,2,2,1,Townhouse
"6/50 Eucalyptus Drive, 
MAIDSTONE VIC 3012",$470.00 per week,2,2,1,Apartment / Unit / Flat
"304/36 Shaftesbury Avenue, 
MALVERN VIC 3144",$470 per week,1,1,1,Apartment / Unit / Flat
"8 Palette Street, 
MAMBOURIN VIC 3024",Application Approved!!,4,2,2,House
"15 Glover Street, 
MAMBOURIN VIC 3024",$470,4,2,2,House
"22 Rosewater Street, 
MANOR LAKES VIC 3024",$470,4,2,2,House
"416A St. Kilda Road, 
MELBOURNE VIC 3004",$470 per week,1,1,1,Apartment / Unit / Flat
"618/17 Singers Lane, 
MELBOURNE VIC 3000",$470 weekly,1,1, ,Apartment / Unit / Flat
"9/349 Flinders Lane, 
MELBOURNE VIC 3000",$470 per week,1,1, ,Apartment / Unit / Flat
"208/610 St Kilda Road, 
MELBOURNE VIC 3004",$470.00,1,1,1,Apartment / Unit / Flat
"811/601 Little Collins Street, 
MELBOURNE VIC 3000",$470 per week,1,1, ,Apartment / Unit / Flat
"301/499 St Kilda Road, 
MELBOURNE VIC 3000",$470,1,1, ,Apartment / Unit / Flat
"1301/81 A'beckett Street, 
MELBOURNE VIC 3000",$470,1,1, ,Apartment / Unit / Flat
"9 Horan Way, 
MELTON SOUTH VIC 3338",$470,4,2,2,House
