Address,Prices,Bedroom,Bathroom,Parking,Type
"213/251 Johnston Street, 
ABBOTSFORD VIC 3067",$650.00,2,2,1,Apartment / Unit / Flat
"145 Yarra St, 
ABBOTSFORD VIC 3067",$650 weekly,2,1,1,House
"604/4 Acacia Place, 
ABBOTSFORD VIC 3067",$650.00 per week,2,2,1,Apartment / Unit / Flat
"B524/8 Grosvenor Street, 
ABBOTSFORD VIC 3067",$650 weekly,2,2,1,Apartment / Unit / Flat
"218/56 Nicholson Street,, 
ABBOTSFORD VIC 3067",$650 weekly,2,2,2,Apartment / Unit / Flat
"219/631 Victoria Street, 
ABBOTSFORD VIC 3067",$650,2,1,1,Apartment / Unit / Flat
"2/125 Bowes Avenue, 
AIRPORT WEST VIC 3042",$650 Per Week,3,2,2,Townhouse
"3/125 Bowes Avenue, 
AIRPORT WEST VIC 3042",$650 Per Week,3,3,1,Townhouse
"16 Langs Road, 
ASCOT VALE VIC 3032",$650.00 per week,3,2,2,House
"40 Epsom Road, 
ASCOT VALE VIC 3032",$650 per week,3,1, ,House
"6 Pacific Drive, 
ASPENDALE GARDENS VIC 3195",Under Application,3,2,2,House
"2/77 Hitchcock Ave, 
BARWON HEADS VIC 3227",$650 weekly,2,2,1,Apartment / Unit / Flat
"Golflinks Road, 
BARWON HEADS VIC 3227",$650,2,1,1,House
"1/18 Bridge Road, 
BARWON HEADS VIC 3227",LEASED,3,2,1,Townhouse
"100 Settlement Road, 
BELMONT VIC 3216",$650.00,2,1,1,Apartment / Unit / Flat
"4/138 Tucker Road, 
BENTLEIGH VIC 3204",$650 per week,2,2,1,Apartment / Unit / Flat
"1E Tovan Akas Avenue, 
BENTLEIGH VIC 3204",$650.00,2,1,1,Townhouse
"1C Bendigo Avenue, 
BENTLEIGH VIC 3204",$650 per week,2,2,1,Townhouse
"105/650 Centre Road, 
BENTLEIGH VIC 3204",$650.00,2,1,1,Apartment / Unit / Flat
"10/39 Mavho Street, 
BENTLEIGH VIC 3204",$650,2,2,1,Apartment / Unit / Flat
