Address,Prices,Bedroom,Bathroom,Parking,Type
"1010/283 City Road, 
SOUTHBANK VIC 3006",$585 per week,2,1, ,Apartment / Unit / Flat
"G04/40-44 Pakington Street, 
ST KILDA VIC 3182",$585 pw,2,1,1,Apartment / Unit / Flat
"353 Rathmines Street, 
THORNBURY VIC 3071",$585 per week,3,1,3,House
"79 Albert Street, 
WINDSOR VIC 3181",$585,2,1, ,House
"558 Swanston St, 
CARLTON VIC 3053",$587,2,2,1,Studio
"C309/609 Victoria Street, 
ABBOTSFORD VIC 3067",$590 per week,2,1,1,Apartment / Unit / Flat
"332/20 Shamrock Street, 
ABBOTSFORD VIC 3067",$590 per week,1,1, ,Apartment / Unit / Flat
"1/151 Victoria Avenue, 
ALBERT PARK VIC 3206",$590 per week,3,1,1,Apartment / Unit / Flat
"31 First Avenue, 
ALTONA NORTH VIC 3025",$590 per week,2,1,2,House
"4 Sandown Road, 
ASCOT VALE VIC 3032",$590pw/ $2564pcm,4,2,1,House
"18 Newbay Close, 
BARWON HEADS VIC 3227",Under application,3,1,2,House
"14 Fairbrae Avenue, 
BELMONT VIC 3216",$590,2,2,1,House
"304/15 Vickery Street, 
BENTLEIGH VIC 3204",$590 per week,4,2,2,Apartment / Unit / Flat
"28 Marlesford Crescent, 
BERWICK VIC 3806",$590 per week,2,1,1,House
"101/7-9 Cowra Street, 
BRIGHTON VIC 3186",$590 per week,2,1,1,Apartment / Unit / Flat
"7A Warne Street, 
BRUNSWICK VIC 3056",$590pw / $2564pcm,3,1,1,Townhouse
"8 Zeal Street, 
BRUNSWICK WEST VIC 3055",$590 per week,2,1,1,House
"4/355 Rathdowne Street, 
CARLTON VIC 3053",$590 pw,2,2,1,Apartment / Unit / Flat
"203/3 Elliott Avenue, 
CARNEGIE VIC 3163",$590 per week,2,1,1,Apartment / Unit / Flat
"408C/58 Kambrook Road, 
CAULFIELD NORTH VIC 3161",$590 per week, , , ,Apartment / Unit / Flat
