Address,Prices,Bedroom,Bathroom,Parking,Type
"12/24-28 Yarraman Road, 
NOBLE PARK VIC 3174",$435.00 per week,2,1,2,Apartment / Unit / Flat
"3/82 Lower Dandenong Road, 
PARKDALE VIC 3195",$435.00,2,1,1,Apartment / Unit / Flat
"116/20 Burnley Street, 
RICHMOND VIC 3121",$435.00 per week,1,1,1,Apartment / Unit / Flat
"2/81 Truman Street, 
SOUTH KINGSVILLE VIC 3015",$435 per week,2,1,1,Apartment / Unit / Flat
"20/11 Balaclava Road, 
ST KILDA EAST VIC 3183",$435 Per Week,1,1,1,Apartment / Unit / Flat
"10/94-100 Nepean Street, 
WATSONIA VIC 3087",$435 pw,2,1,1,Apartment / Unit / Flat
"3 Oradala Rise, 
WYNDHAM VALE VIC 3024",$435 per Week,3,2,1,House
"Multishare/480 Elizabeth Street, 
MELBOURNE VIC 3000",$436,1,1, ,Apartment / Unit / Flat
"620/1 Acacia Place, 
ABBOTSFORD VIC 3067",$440 per week,1,1, ,Apartment / Unit / Flat
"5/53-55 Finlay Street, 
ALBERT PARK VIC 3206",$440 per week,1,1,1,Apartment / Unit / Flat
"G1/111 Parkview Rd, 
ALPHINGTON VIC 3078",$440 Per Week,1,1,1,Apartment / Unit / Flat
"3/124-125 Station Street, 
ASPENDALE VIC 3195",$440,2,1,1,Apartment / Unit / Flat
"44 Ernest Street, 
BELL POST HILL VIC 3215",$440 pw,3,2, ,House
"16 Mernda Parade, 
BELMONT VIC 3216",$440 Per Week,3,2, ,House
"5 Charles Street, 
BELMONT VIC 3216",$440,3,1,3,House
"52 Bailey Street, 
BELMONT VIC 3216",$440,3,1, ,House
"202 Francis Street, 
BELMONT VIC 3216",$440,3,1,1,House
"415/300 Victoria Street, 
BRUNSWICK VIC 3056",$440 PW / $1912 PCM,2,1, ,Apartment / Unit / Flat
"202/6-8 Gamble Street, 
BRUNSWICK EAST VIC 3057",$440 per week,1,1,1,Apartment / Unit / Flat
"202/304 Lygon Street, 
BRUNSWICK EAST VIC 3057",Contact Agent,1,1, ,Apartment / Unit / Flat
