Address,Prices,Bedroom,Bathroom,Parking,Type
"1/17 Granby Crescent, 
HIGHTON VIC 3216",$425 pw,3,2,1,Apartment / Unit / Flat
"9 Drury Lane, 
HOPPERS CROSSING VIC 3029",$425.00 per week,3,2,1,House
"23 Monarma Walk, 
KEALBA VIC 3021",$425 weekly,2,2,1,Townhouse
"6/65 Bayswater Road, 
KENSINGTON VIC 3031",$425 PW / $1847 PCM,2,1,1,Apartment / Unit / Flat
"12/65 Paxton Street, 
MALVERN EAST VIC 3145",$425.00,2,1,1,Apartment / Unit / Flat
"12/65 Paxton Street, 
MALVERN EAST VIC 3145",$425.00,2,1,1,Apartment / Unit / Flat
"2/800-802 Warrigal Road, 
MALVERN EAST VIC 3145",$425,2,1,1,Apartment / Unit / Flat
"507/68 Wests Road, 
MARIBYRNONG VIC 3032",$425 weekly,1,1,1,Apartment / Unit / Flat
"758/139 Lonsdale Street, 
MELBOURNE VIC 3000",$450,2,1, ,Apartment / Unit / Flat
"293 La Trobe Street, 
MELBOURNE VIC 3000",$425,1,1, ,Apartment / Unit / Flat
"607/243 Franklin Street, 
MELBOURNE VIC 3000",$425 weekly,1,1, ,Apartment / Unit / Flat
"408/547 Flinders Lane, 
MELBOURNE VIC 3000",$425 per week,1,1, ,Apartment / Unit / Flat
"111/243 Franklin Street, 
MELBOURNE VIC 3000",$425 weekly,1,1, ,Apartment / Unit / Flat
"310/253 Franklin Street, 
MELBOURNE VIC 3000",$425 weekly,1,1, ,Apartment / Unit / Flat
"108/565 Flinders Street, 
MELBOURNE VIC 3000",$425 pw,1,1, ,Apartment / Unit / Flat
"1/21 Ranfurlie Circuit, 
MELTON WEST VIC 3337",$425,3,2,2,House
"6/30 Collins Street, 
MENTONE VIC 3194",$425 Per Week,2,1,1,Apartment / Unit / Flat
"2 Nireeda Close, 
MOOLAP VIC 3224",$425,3,1,1,House
"704/40 Hall Street, 
MOONEE PONDS VIC 3039",$425.00,1,1, ,Apartment / Unit / Flat
"2/1217-1219 Centre Road, 
OAKLEIGH SOUTH VIC 3167",$425.00,1,1,1,Apartment / Unit / Flat
