Address,Prices,Bedroom,Bathroom,Parking,Type
"3/33 Peppercorn Parade, 
EPPING VIC 3076",$325 Per Week,1,1, ,Studio
"4/6 Ashleigh Avenue, 
FRANKSTON VIC 3199",$325 / WK,1,1,1,House
"10/12 Rosedale Avenue, 
GLEN HUNTLY VIC 3163",$325 pw,1,1,1,Apartment / Unit / Flat
"2/18 Gerald Street, 
MURRUMBEENA VIC 3163",$325 weekly,1,1,1,Apartment / Unit / Flat
"2/138 Spray Street, 
ROSEBUD VIC 3939",$350 pw,1,1, ,Apartment / Unit / Flat
"5/23 Broadmeadows Rd, 
TULLAMARINE VIC 3043",$325,2,1,1,Apartment / Unit / Flat
"2/90 Yarralea Street, 
ALPHINGTON VIC 3078",$330pw/$1434pcm,1,1,1,Apartment / Unit / Flat
"22/39 Kent Street, 
ASCOT VALE VIC 3032",$330 per week,1,1,1,Apartment / Unit / Flat
"8/16 De Carle Street, 
BRUNSWICK VIC 3056",$330 per week,1,1,1,Apartment / Unit / Flat
"10/556 Moreland Road, 
BRUNSWICK VIC 3056",$330,2,1,1,Apartment / Unit / Flat
"9/48 Boadle Road, 
BUNDOORA VIC 3083",$330PW/$1434PCM,1,1,1,Apartment / Unit / Flat
"325/51 Rathdowne Street, 
CARLTON VIC 3053",$330 pw,1,1, ,Apartment / Unit / Flat
"4/55 Mimosa Road, 
CARNEGIE VIC 3163",$330,1,1,1,Apartment / Unit / Flat
"4/36 Woornack Road, 
CARNEGIE VIC 3163",$330.00,1,1,1,Apartment / Unit / Flat
"13 Payne Street, 
CAULFIELD NORTH VIC 3161",$330 per week,1,1,1,Apartment / Unit / Flat
"7/107 Rose Street, 
COBURG VIC 3058",$330.00 Per Week,1,1,1,Apartment / Unit / Flat
"3/107 Rose Street, 
COBURG VIC 3058",$330.00 Per Week,1,1,1,Apartment / Unit / Flat
"3/1 Tinto Close, 
DEER PARK VIC 3023",$330 pw,3,1,1,Apartment / Unit / Flat
"2/220 Pascoe Vale Road, 
ESSENDON VIC 3040","$330 PER WEEK | $1,430 P.C.M",1,1,1,Apartment / Unit / Flat
"1/48 Scott St, 
ESSENDON VIC 3040",$330 weekly,1,1,1,Apartment / Unit / Flat
