Address,Prices,Bedroom,Bathroom,Parking,Type
"409/528 Swanston Street, 
CARLTON VIC 3053",$400 pw,1,1, ,Apartment / Unit / Flat
"6/130 Queensberry Street, 
CARLTON VIC 3053",$400 Per Week,1,1, ,Apartment / Unit / Flat
"209/6 Leicester Street, 
CARLTON VIC 3053",$400 with City Views,1,1, ,Apartment / Unit / Flat
"10/830 Drummond Street, 
CARLTON NORTH VIC 3054",$400pw / $1738pcm,1,1,1,Apartment / Unit / Flat
"9/4 Landers Court, 
CAROLINE SPRINGS VIC 3023",$400.00 Per Week,2,2,1,House
"6 Gairdners Pass, 
CAROLINE SPRINGS VIC 3023",$400 per week,3,1,1,House
"5/13 Churchill Avenue, 
CHADSTONE VIC 3148",$400,2,1,1,Apartment / Unit / Flat
"25 Pace Crescent, 
CHELSEA VIC 3196",$400.00,2,1,1,Apartment / Unit / Flat
"6/1383 Nepean Highway, 
CHELTENHAM VIC 3192",$400.00,2,1,1,Apartment / Unit / Flat
"(Leased)1.1B/29 Browns Road, 
CLAYTON VIC 3168",$400,1,1,1,Apartment / Unit / Flat
"8 Kanyanya Avenue, 
CLIFTON SPRINGS VIC 3222",$400 weekly,3,1,2,House
"13 Rodborough Crescent, 
CORIO VIC 3214",$400 per week,3,1,2,House
"14 Dearborn Parade, 
CORIO VIC 3214",$400 per week,3,1,2,House
"26 Granault Parade, 
CORIO VIC 3214",$400.00,3,1,2,House
"8 Kiewa Street, 
CORIO VIC 3214",$400,3,1,3,House
"103/2 Fortitude Drive, 
CRAIGIEBURN VIC 3064",$399 per week,2,1,1,Apartment / Unit / Flat
"26 Damian Court, 
CRANBOURNE VIC 3977",$ 400 PER WEEK,3,1, ,House
"214 Evans Road, 
CRANBOURNE WEST VIC 3977",$400 Per week/$1738 PCM,3,2,2,House
"66 Geach Street, 
DALLAS VIC 3047",$400 pw,3,1,1,House
"9 Janice Grove, 
DANDENONG VIC 3175",$400,2,1,1,House
