Address,Prices,Bedroom,Bathroom,Parking,Type
"7 Stump Jump Lane, 
ARMSTRONG CREEK VIC 3217",$460.00 per week,3,2,2,House
"18 Flanagan Close, 
ARMSTRONG CREEK VIC 3217",$480.00 per week,4,2,2,House
"3/165 Kent Street, 
ASCOT VALE VIC 3032",$460 per week,3,1,1,Apartment / Unit / Flat
"9 St Agnes Court, 
AVONDALE HEIGHTS VIC 3034",$480,3,2,1,House
"41 Iona Avenue, 
BELMONT VIC 3216",$480,3,1,3,House
"75 Oberon Dr, 
BELMONT VIC 3216",$460 weekly,3,2,2,House
"37 Gamut Crescent, 
BONNIE BROOK VIC 3335",$460,4,2,2,House
"3/8 Lord Place, 
BRAYBROOK VIC 3019",$460,2,1,1,Townhouse
"202/81 Asling Street, 
BRIGHTON VIC 3186",$460 per week,1,1,1,Apartment / Unit / Flat
"5/160 Sydney Road, 
BRUNSWICK VIC 3056",$460.00,1,1, ,Apartment / Unit / Flat
"5/27 Stewart Street, 
BRUNSWICK VIC 3056",$460 Weekly,2,1,1,Apartment / Unit / Flat
"256 Station Road, 
CAIRNLEA VIC 3023",$480.00 per week,3,2,2,Townhouse
"1310/28-44 Bouverie Street, 
CARLTON VIC 3053",$480 pw partly furnished with white goods,1,1, ,Apartment / Unit / Flat
"Level 9, 902/528 Swanston Street Street, 
CARLTON VIC 3053",$460 pw,1,1, ,Apartment / Unit / Flat
"3/151 Princes Street, 
CARLTON VIC 3053",$460.00,1,1,1,Apartment / Unit / Flat
"6/7 Judd Street, 
CARNEGIE VIC 3163",$460 weekly,2,1,1,Apartment / Unit / Flat
"6/13 Greville Street, 
CAROLINE SPRINGS VIC 3023",$460 Per Week,3,3,1,House
"12 Barringo Way, 
CAROLINE SPRINGS VIC 3023",$460 PW Enquire Now!!,3,2,2,House
"213/9 Commercial Road, 
CAROLINE SPRINGS VIC 3023",$460 Per Week,2,2,1,Apartment / Unit / Flat
"3/21 Grnja Way, 
CARRUM DOWNS VIC 3201",$480,2,2,1,Apartment / Unit / Flat
