Address,Prices,Bedroom,Bathroom,Parking,Type
"Thomas Street, 
DANDENONG VIC 3175","$1,100",3,1, ,Apartment / Unit / Flat
"182/8 Waterside Pl, 
DOCKLANDS VIC 3008",UNDER APPLICATION,3,2,2,Apartment / Unit / Flat
"25 South Wharf Drive, 
DOCKLANDS VIC 3008","$1,100.00",3,2,2,Townhouse
"65 Rose Street, 
FITZROY VIC 3065","$1,100.00",3,3,3,Townhouse
"Address on Chetwyn Court, 
FRANKSTON SOUTH VIC 3199","$1,100 per week",4,2,4,House
"317B Gallaghers Road, 
GLEN WAVERLEY VIC 3150","$1,100 pw",4,2,2,Townhouse
"17 Katoomba Street, 
HAMPTON EAST VIC 3188","$1,100.00",5,3,4,House
"11 Sweetbox Walk, 
MALVERN EAST VIC 3145","$1,100.00",4,3,2,House
"8 Sunset Place, 
MARIBYRNONG VIC 3032","$1,100",5,3,2,House
"2/2 Shanahan Crescent, 
MCKINNON VIC 3204","$1,100",3,2,2,Townhouse
"8010/228 La Trobe Street, 
MELBOURNE VIC 3000","$1,100",3,2, ,Apartment / Unit / Flat
"5907/442 Elizabeth Street, 
MELBOURNE VIC 3000",$1100 Per Week includes Washer Dryer,3,2,1,Apartment / Unit / Flat
"3B2B/250 Spencer Street, 
MELBOURNE VIC 3000","$1,100",3,2, ,Apartment / Unit / Flat
"3113/639 Lonsdale Street, 
MELBOURNE VIC 3000","$1,100.00",3,2,1,Apartment / Unit / Flat
"5005/500 Elizabeth Street, 
MELBOURNE VIC 3000",$1100 per week,3,2, ,Apartment / Unit / Flat
"4708/560 Lonsdale Street, 
MELBOURNE VIC 3000","$1,100.00",3,2,1,Apartment / Unit / Flat
"3303/500 Elizabeth Street, 
MELBOURNE VIC 3000",$1100 Per Week,3,2,1,Apartment / Unit / Flat
"Level 10, 1012/576 St Kilda Road, 
MELBOURNE VIC 3004","$1,100 pw",2,2,2,Apartment / Unit / Flat
"3B2B/624 Lonsdale Street, 
MELBOURNE VIC 3000",$1150 Per Week,3,2, ,Apartment / Unit / Flat
"3205/28 Timothy Lane, 
MELBOURNE VIC 3000","$1,100",3,2,1,Apartment / Unit / Flat
