Address,Prices,Bedroom,Bathroom,Parking,Type
"243a Melville Road, 
BRUNSWICK WEST VIC 3055",$480pw,2,1, ,Apartment / Unit / Flat
"2A Yarrabin Street, 
BRUNSWICK WEST VIC 3055",$480 Weekly,2,1,1,House
"8/70 Greenhills Road, 
BUNDOORA VIC 3083",$480 per week,3,1,1,Townhouse
"16 Walden Court, 
BUNDOORA VIC 3083",$480pw/$2086pcm,4,2,2,House
"70 Cootamundra Avenue, 
CAPEL SOUND VIC 3940",Leased for $480 per week,3,1, ,House
"43 Wingara Drive, 
CAPEL SOUND VIC 3940",$480 pw,3,1,2,House
"105/488 SWANSTON STREET, 
CARLTON VIC 3053",$500,2,1,1,Apartment / Unit / Flat
"101/81 Cemetery Road, 
CARLTON VIC 3053",$480 per week,1,1,1,Apartment / Unit / Flat
"1306/551 Swanston Street, 
CARLTON VIC 3053",$480,1,1, ,Apartment / Unit / Flat
"G06/525 Rathdowne Street, 
CARLTON VIC 3053",$480.00,1,1, ,Apartment / Unit / Flat
"28/121 Rathdowne Street, 
CARLTON VIC 3053",$480.00,1,1,1,Apartment / Unit / Flat
"1210/6 Leicester Street, 
CARLTON VIC 3053",$480 weekly,1,1, ,Apartment / Unit / Flat
"507/6 Leicester Street, 
CARLTON VIC 3053",$480 per week,1,1, ,Apartment / Unit / Flat
"205/16 Woorayl Street, 
CARNEGIE VIC 3163",$480.00,1,1,1,Apartment / Unit / Flat
"2/1271 Glenhuntly Road, 
CARNEGIE VIC 3163",$480,2,1,1,Villa
"44 Greyjoy Road, 
CHARLEMONT VIC 3217",APPLICATIONS CLOSED,4,2,2,House
"24 Yildiz Street, 
CHARLEMONT VIC 3217",$500.00 per week,4,2,2,House
"3/10 Dennis Street, 
CLAYTON VIC 3168",$480,2,1,1,Apartment / Unit / Flat
"2/70 Wellington Road, 
CLAYTON VIC 3168",$ 480 Per Week,3,1,1,Townhouse
"303/60 Autumn Terrace, 
CLAYTON SOUTH VIC 3169",$480.00,2,2,1,Apartment / Unit / Flat
