Address,Prices,Bedroom,Bathroom,Parking,Type
"127 Torbay Street, 
MACLEOD VIC 3085",ON HOLD UNTIL FURTHER NOTICE,4,1,4,House
"1/6 Ferguson Street, 
MACLEOD VIC 3085",$475pw / $2064pcm,3,2, ,House
"G05/1131 Dandenong Road, 
MALVERN EAST VIC 3145",$475.00,1,1,1,Apartment / Unit / Flat
"G05/1131 Dandenong Road, 
MALVERN EAST VIC 3145",$475.00,1,1,1,Apartment / Unit / Flat
"415/803 Dandenong Rd, 
MALVERN EAST VIC 3145",$475 weekly,1,1,1,Apartment / Unit / Flat
"1108/31 A'Beckett Street, 
MELBOURNE VIC 3000",$475.00 per week,1,1, ,Apartment / Unit / Flat
"1511/27 Little Collins Street, 
MELBOURNE VIC 3000",$475 per week,1,1, ,Apartment / Unit / Flat
"306/400 St Kilda Road, 
MELBOURNE VIC 3004",$475 per week,1,1,1,Apartment / Unit / Flat
"2607/181 ABeckett Street, 
MELBOURNE VIC 3000",$475.00,1,1, ,Studio
"1304/565 Flinders Street, 
MELBOURNE VIC 3000",$475pw/ $2064pcm,1,1,1,Apartment / Unit / Flat
"13/392 Little Collins Street, 
MELBOURNE VIC 3000",$475,1,1, ,Apartment / Unit / Flat
"611/233-239 Collins Street, 
MELBOURNE VIC 3000",$475 per week,1,1, ,Apartment / Unit / Flat
"1806/243 Franklin Street, 
MELBOURNE VIC 3000",$475 weekly,1,1, ,Apartment / Unit / Flat
"801/253 Franklin Street, 
MELBOURNE VIC 3000",$475 weekly,1,1, ,Apartment / Unit / Flat
"13 Godwin Street, 
MERNDA VIC 3754",$475 Per Week/$ 2064 Per Calendar Month,4,2,2,House
"12 Cuthbert Drive, 
MILL PARK VIC 3082",$475.00,3,1,1,House
"11 Phar Lap Close, 
MILL PARK VIC 3082",$475,4,2,2,House
"15/115-117 Mcdonald Street, 
MORDIALLOC VIC 3195",$475.00 per week,2,1,2,Townhouse
"3/2 Acton Court, 
NEWCOMB VIC 3219",$475 weekly,2,1,1,Apartment / Unit / Flat
"4/8 Laburnum Street, 
PARKDALE VIC 3195",$475.00,2,1,1,Townhouse
