Address,Prices,Bedroom,Bathroom,Parking,Type
"13/5 Thompsons Road, 
PATTERSON LAKES VIC 3197",$485,2,2,1,House
"16 Ocean Road, 
POINT LONSDALE VIC 3225",$485 per week,3,1, ,House
"213/100 Plenty Road, 
PRESTON VIC 3072",$485 per week,2,1,1,Apartment / Unit / Flat
"2/123 Cheddar Road, 
RESERVOIR VIC 3073",$485.00,2,1,1,Apartment / Unit / Flat
"203A/59 Johnson Street, 
RESERVOIR VIC 3073",$485 PER WEEK,2,2,1,Apartment / Unit / Flat
"12 Dandelion Crescent, 
ROCKBANK VIC 3335",$485,4,2,2,House
"6/19 Kensington Road, 
SOUTH YARRA VIC 3141",$485 pw,1,1,2,Apartment / Unit / Flat
"1104/50 Haig Street, 
SOUTHBANK VIC 3006",$485 per week,1,1, ,Apartment / Unit / Flat
"9 Bakanovi Drive, 
TRUGANINA VIC 3029",$485,4,2,2,House
"25 Eshal Cres, 
WYNDHAM VALE VIC 3024",$485,4,2,2,House
"50 Forrest Green Drive, 
MOUNT DUNEED VIC 3217",UNDER APPLICATION,4,2,2,House
"8 Locust Rd, 
AINTREE VIC 3336",$490 per week,4,2,2,House
"9 Meytan Way, 
ALBANVALE VIC 3021",$490,4,2,3,House
"2151 Warralily Boulevard, 
ARMSTRONG CREEK VIC 3217",$490.00 per week,4,2,2,House
"9 Holst Street, 
ARMSTRONG CREEK VIC 3217",$490pw,3,2,1,House
"158 Batten Road, 
ARMSTRONG CREEK VIC 3217",$490,3,2,2,House
"14 Thompson Street, 
AVONDALE HEIGHTS VIC 3034",$490 Per Week,3,1,1,House
"2 Maple Crescent, 
BELL PARK VIC 3215",$490 pw,4,1,1,House
"16 Fordview Crescent, 
BELL POST HILL VIC 3215",$490.00,3,2,4,House
"102/322-328A Centre Rd, 
BENTLEIGH EAST VIC 3165",$490 weekly,1,1,1,Apartment / Unit / Flat
