Address,Prices,Bedroom,Bathroom,Parking,Type
"Room 8/1 Sandgate Avenue, 
FRANKSTON VIC 3199",$320.00,1,1, ,New house and land
"4/82 Augustine Terrace, 
GLENROY VIC 3046",$320,2,1, ,Apartment / Unit / Flat
"3/14 Caringa Street, 
HADFIELD VIC 3046","$320PW $1,390PCM",1,1,1,House
"32 Coomalie Cr, 
HEIDELBERG WEST VIC 3081",$320 per week,1,1,1,Apartment / Unit / Flat
"3/2 Everett Close, 
HERNE HILL VIC 3218",$320,1,1,1,Apartment / Unit / Flat
"911/500 Flinders Street, 
MELBOURNE VIC 3000",Contact Agent, ,1, ,Apartment / Unit / Flat
"593 Elizabeth Street, 
MELBOURNE VIC 3000",From $320.00 per week,1,1, ,Apartment / Unit / Flat
"14 Bennett Street, 
MELTON SOUTH VIC 3338",$320,3,1,2,House
"5 BRIDGEFORD CRESCENT, 
MELTON SOUTH VIC 3338",$320,3,1,2,House
"17/108-110 Maribyrnong Road, 
MOONEE PONDS VIC 3039",$320.00,1,1,1,Apartment / Unit / Flat
"16/226 Maribyrnong Road, 
MOONEE PONDS VIC 3039",$320pw/ $1390pcm,1,1,1,Apartment / Unit / Flat
"1/11 Adelaide Street, 
MURRUMBEENA VIC 3163",$320,1,1,1,Apartment / Unit / Flat
"3/10-12 Lindsay Street, 
NEWCOMB VIC 3219",$320 per week,1,1,1,Apartment / Unit / Flat
"5/5 Raglan Street, 
NEWTOWN VIC 3220",$320,1,1,1,Apartment / Unit / Flat
"50 Alkira Avenue, 
NORLANE VIC 3214",$320 per week,2,1,3,House
"74 Eagle Parade, 
NORLANE VIC 3214",$320 pw,2,1,3,House
"3/435 Flemington Road, 
NORTH MELBOURNE VIC 3051",Under Application,2,1, ,Apartment / Unit / Flat
"106/9 High Street, 
NORTH MELBOURNE VIC 3051",$320/w & Furnished,1,1, ,Apartment / Unit / Flat
"1/1067 High Street, 
RESERVOIR VIC 3073",$320 Per Week,2,1,1,Apartment / Unit / Flat
"5/2-6 Caroline Street South, 
SOUTH YARRA VIC 3141",$320.00 per week,1,1, ,Apartment / Unit / Flat
