Address,Prices,Bedroom,Bathroom,Parking,Type
"6 Marks Avenue, 
HEIDELBERG HEIGHTS VIC 3081",$380,2,1,1,House
"21 Penlow Court, 
HILLSIDE VIC 3037",$380 per week,3,1,1,House
"3 Victor Court, 
HOPPERS CROSSING VIC 3029",$380 per week,3,1,2,House
"4 Warner Street, 
INDENTED HEAD VIC 3223",$380 Per Week,2,1, ,House
"30 Valewood Dr, 
KEALBA VIC 3021",$380,3,1,2,House
"1 Lancelot Court, 
KINGS PARK VIC 3021",$400,3,1,1,House
"5/59 Edgar Street, 
KINGSVILLE VIC 3012",$380.00,2,1,1,Villa
"17 Light Fingers Street, 
KURUNJANG VIC 3337",$380 pw,3,2,2,House
"104/19 Positano Way, 
LALOR VIC 3075",$380 PER WEEK,2,1,1,Townhouse
"35 Whittaker Avenue, 
LAVERTON VIC 3028",$380,3,1,2,House
MEADOW HEIGHTS VIC 3048,$380,3,1,2,House
"504/408 Lonsdale Street, 
MELBOURNE VIC 3000",$380,1,1, ,Studio
"408 Lonsdale Street, 
MELBOURNE VIC 3000",$380,1,1, ,Studio
"202/302-304 Little Lonsdale Street, 
MELBOURNE VIC 3000",$380 Per Week,1,1, ,Apartment / Unit / Flat
"205/302-304 Little Lonsdale Street, 
MELBOURNE VIC 3000",$380 Per Week,1,1, ,Apartment / Unit / Flat
"24 Norma Street, 
MELTON VIC 3337",$380 Per Week,3,2,2,House
"60 Manson Drive, 
MELTON SOUTH VIC 3338",$380 per week,3,1,1,House
"26 Second Avenue, 
MELTON SOUTH VIC 3338",$380 per week / $1651 per month,3,1,2,House
"4 Findon Way, 
MELTON WEST VIC 3337",$380,3,2,4,House
"1/8 Melbourne Street, 
MURRUMBEENA VIC 3163",$380.00,1,1,1,Apartment / Unit / Flat
