Address,Prices,Bedroom,Bathroom,Parking,Type
"12 Wimble Street, 
NORTHCOTE VIC 3070",$500 Per Week,2,1, ,House
"21/200 Westgarth Street, 
NORTHCOTE VIC 3070",$500.00,2,1,1,Apartment / Unit / Flat
"312/662 Blackburn Road, 
NOTTING HILL VIC 3168",$500,2,2,1,Apartment / Unit / Flat
"8 Wooral Court, 
NOTTING HILL VIC 3168",$500,3,1,1,House
OAK PARK VIC 3046,$500,3,2,3,Townhouse
"28 Abbeygate Street, 
OAKLEIGH VIC 3166",$500 weekly,2,1,2,House
"10 Trader Street, 
OCEAN GROVE VIC 3226",$500 Per Week,4,2,2,House
"2/3 Petras Place, 
OCEAN GROVE VIC 3226",$500 per week,2,2,2,House
"19 Ashwood Close, 
OCEAN GROVE VIC 3226",APPLICATION APPROVED,3,2,2,House
"7/86-90 The Terrace, 
OCEAN GROVE VIC 3226",UNDER APPLICATION,3,2,2,Townhouse
"14/122 Beach Road, 
PARKDALE VIC 3195",$499 Per Week,2,1,1,Apartment / Unit / Flat
"21/212 The Avenue, 
PARKVILLE VIC 3052",$500.00,2,1,1,Apartment / Unit / Flat
"G10/77 Galada Avenue, 
PARKVILLE VIC 3052",$500 per week,2,1,1,Apartment / Unit / Flat
"77 Bolingbroke Street, 
PASCOE VALE VIC 3044","$500 PW / $2,173 PCM",3,1,3,House
"3/6 Bothwell Street, 
PASCOE VALE VIC 3044",$500.00,3,2,2,Apartment / Unit / Flat
"2/4 Herbert Street, 
PASCOE VALE VIC 3044",$500 weekly,2,1,1,Townhouse
"2B Downs Street, 
PASCOE VALE VIC 3044",$500 per week,2,1,2,Townhouse
"1 Hatch Street, 
PEARCEDALE VIC 3912",$500,3,2,3,House
"54 Spectacle Crescent, 
POINT COOK VIC 3030",$500 Per Week,4,2,2,House
"7 Covent Gardens, 
POINT COOK VIC 3030",$500 per week,3,2,2,House
