Address,Prices,Bedroom,Bathroom,Parking,Type
"3/26 Hopetoun Street, 
MOONEE PONDS VIC 3039",$535 Per Week,2,1,1,Apartment / Unit / Flat
"18 Heathcote Street, 
MOUNT DUNEED VIC 3217",$535 per week,4,2, ,House
"311/1525 Dandenong Road, 
OAKLEIGH VIC 3166",$535,2,2,1,Apartment / Unit / Flat
"111/232-242 Rouse Street, 
PORT MELBOURNE VIC 3207",$535 pw Fully Furnished,1,1,1,Apartment / Unit / Flat
"706/9 High Street, 
PRESTON VIC 3072",$535.00,2,2,1,Apartment / Unit / Flat
"6/36 Kensington Road, 
SOUTH YARRA VIC 3141",$535.00 per week,2,1,1,Apartment / Unit / Flat
"48 Montia Street, 
TARNEIT VIC 3029",$535 per week,4,2,2,House
"3/17 Hazel Grove, 
PASCOE VALE VIC 3044",$2153,2,2,1,Townhouse
"34/2 fastline rd, 
TRUGANINA VIC 3029",contact 0477796377,1,1, ,House
"29 Highlands Avenue, 
AIRPORT WEST VIC 3042",$540 Per Week,3,1,1,House
"3/56 Walter Street, 
ASCOT VALE VIC 3032",$540pw/$2346pcm,2,1,1,Apartment / Unit / Flat
"4/130 Boundary Road, 
BENTLEIGH EAST VIC 3165",$540,2,1,1,Villa
"36 Caravan Parade, 
BERWICK VIC 3806",$540,3,2,1,House
"4 Tenandra Court, 
BERWICK VIC 3806",$540,4,2,4,House
"19 Bishopgate Boulevard, 
BONNIE BROOK VIC 3335",$540 Per Week,4,2,2,House
"136 Gold Street, 
BRUNSWICK VIC 3056",$540.00,2,1,1,House
"228/94-98 Nicholson Street, 
BRUNSWICK EAST VIC 3057",$540.00 per week,2,1,1,Apartment / Unit / Flat
"7/5 Barkly Street, 
BRUNSWICK EAST VIC 3057","$540 per week / $2,346 pcm",2,1,1,Apartment / Unit / Flat
"82 Nickson Street, 
BUNDOORA VIC 3083",$ 540 PER WEEK,3,2,1,Townhouse
"16/169 Newry Street, 
CARLTON NORTH VIC 3054",$540.00,2,1,1,Apartment / Unit / Flat
