Address,Prices,Bedroom,Bathroom,Parking,Type
"2802/250 City Road, 
SOUTHBANK VIC 3006",$475 pw,1,1, ,Apartment / Unit / Flat
"404/144-150 Clarendon Street, 
SOUTHBANK VIC 3006",$475 weekly,1,1,1,Apartment / Unit / Flat
"3102/250 City Road, 
SOUTHBANK VIC 3006",$475 pw,1,1, ,Apartment / Unit / Flat
"714/70 Dorcas Street, 
SOUTHBANK VIC 3006",$475 per week,1,1, ,Apartment / Unit / Flat
"1512/33 City Road, 
SOUTHBANK VIC 3006",$475 pw,1,1,1,Apartment / Unit / Flat
"2703/250 City Road, 
SOUTHBANK VIC 3006",$475 pw,1,1, ,Apartment / Unit / Flat
"402/10 Martin Street, 
ST KILDA VIC 3182",$475 pw Fully Furnished,1,1, ,Apartment / Unit / Flat
"606/6 St Kilda Road, 
ST KILDA VIC 3182",$475 per week,1,1,1,Apartment / Unit / Flat
"3c/21 The Esplanade, 
ST KILDA VIC 3182",$475.00,1,1,1,Apartment / Unit / Flat
"25/5-9 Fulton Street, 
ST KILDA EAST VIC 3183",$475 pw,1,1,1,Apartment / Unit / Flat
"3/73 Westbury Street, 
ST KILDA EAST VIC 3183",$475 Per Week,1,1,1,Apartment / Unit / Flat
"44 Eloura Circuit, 
TAYLORS HILL VIC 3037",$475.00 per week,3,2,2,House
"16/14 May Rd, 
TOORAK VIC 3142",$475.00,2,1,1,Apartment / Unit / Flat
"16/14 May Rd, 
TOORAK VIC 3142",$475.00,2,1,1,Apartment / Unit / Flat
"66 Kuringai Road, 
TOOTGAROOK VIC 3941",$475,3,2,1,House
"1001/18 Mt Alexander Road, 
TRAVANCORE VIC 3032",$475 per week,2,1,1,Apartment / Unit / Flat
"11 Colachi Road, 
TRUGANINA VIC 3029",$475 Per Week,3,2,1,House
"10 Natura Avenue, 
WERRIBEE VIC 3030",$500 per week,4,2,2,House
"609/55 Jeffcott Street, 
WEST MELBOURNE VIC 3003",$475.00,1,1, ,Apartment / Unit / Flat
"1204/53 Batman Street, 
WEST MELBOURNE VIC 3003",$475,1,1, ,Apartment / Unit / Flat
