Address,Prices,Bedroom,Bathroom,Parking,Type
"1207C/2 Tannery, 
FOOTSCRAY VIC 3011",$650,3,2,2,Apartment / Unit / Flat
"722/1 Moreland Street, 
FOOTSCRAY VIC 3011",$650 weekly,2,2,1,House
"31 Naranga Crescent, 
FRANKSTON VIC 3199",$650 pw,5,2,2,House
"135 Aquarius Drive, 
FRANKSTON VIC 3199",$650,4,2,2,House
"22 Yuille Street, 
FRANKSTON VIC 3199",$650.00 per week,4,2,2,House
"32 Campbell Street, 
FRANKSTON VIC 3199",$650 / Wk,4,2,2,House
"13 Sarah Place, 
FRANKSTON SOUTH VIC 3199",$650 per week,4,2,2,House
"16 Hamilton Grove, 
FRANKSTON SOUTH VIC 3199",$650 pw,3,2,2,House
"2/142 Booran Road, 
GLEN HUNTLY VIC 3163",$650.00,2,2,1,Apartment / Unit / Flat
"6 Clitus Street, 
GLEN WAVERLEY VIC 3150",$650,4,2,3,House
"24 George Street, 
GLENROY VIC 3046",$650 PW / $2824 PCM,3,2,1,House
"17 Lancaster Court, 
GREENVALE VIC 3059",$650,4,2,5,House
"21 Honey Flower Way, 
GREENVALE VIC 3059",$650 per week,4,2,2,House
"6 St James Road, 
HEIDELBERG VIC 3084",$650 per week,3,2,2,House
"1/51 Yarra Street, 
HEIDELBERG VIC 3084",$650.00,3,1,2,Townhouse
"1/161 Porter Road, 
HEIDELBERG HEIGHTS VIC 3081",$650.00,4,3,2,Townhouse
"11 Monamie Avenue, 
HIGHETT VIC 3190",$650.00,3,1,3,House
"1/6 Bletchley Road, 
HUGHESDALE VIC 3166",$650.00,3,1,2,Penthouse
"311/59-63 Warrigal Road, 
HUGHESDALE VIC 3166",$650.00,2,2,1,Apartment / Unit / Flat
"8/465 Macaulay Road, 
KENSINGTON VIC 3031",$650pw/$2824pcm,2,1, ,Apartment / Unit / Flat
