Address,Prices,Bedroom,Bathroom,Parking,Type
"5/21D Riviera Road, 
AVONDALE HEIGHTS VIC 3034",$500.00 per week,2,1,2,Apartment / Unit / Flat
"5 Rhonda Avenue, 
AVONDALE HEIGHTS VIC 3034",$500,3,1,3,House
"44 Military Road, 
AVONDALE HEIGHTS VIC 3034",$500 per week,3,2,1,House
"24 Brentwood Dr, 
AVONDALE HEIGHTS VIC 3034",$500 per week,3,1,2,House
"7/19 Gourlay Street, 
BALACLAVA VIC 3183",$500,1,1,1,Apartment / Unit / Flat
"1/41 Leila Crescent, 
BELL POST HILL VIC 3215",$500 per week,3,2,1,Apartment / Unit / Flat
"7 Allitt Avenue, 
BELMONT VIC 3216",$500 per week,3,2,2,House
"1/221 Roslyn Road, 
BELMONT VIC 3216",$500,3,2,2,House
"65 Iona Avenue, 
BELMONT VIC 3216",$500.00 per week,4,2,4,House
"9 Travertine Loop, 
BERWICK VIC 3806",$500 Per Week,3,2,2,Townhouse
"15 Bounty Way, 
BERWICK VIC 3806",$500 per week,4,2,2,House
"6 Octagonal Street, 
BONNIE BROOK VIC 3335",$500 per week,4,2,2,House
"3/15 Myamyn Street, 
BRAYBROOK VIC 3019",$500pw/ $2173pcm,2,1,1,Townhouse
"27 Sorrento Street, 
BROADMEADOWS VIC 3047",$500,3,1,2,House
"20 Cushen Place, 
BROADMEADOWS VIC 3047",$500 Per Week,2,2,1,Townhouse
"15/67 Nicholson Street, 
BRUNSWICK EAST VIC 3057",$500 PW / $2173 PCM,2,1,1,Apartment / Unit / Flat
"G10/3 Olive York Way, 
BRUNSWICK WEST VIC 3055",$500.00 per week,2,1,1,Apartment / Unit / Flat
"2/137-139 Melville Road, 
BRUNSWICK WEST VIC 3055",$500.00,2,1,1,Apartment / Unit / Flat
"225 Union Street, 
BRUNSWICK WEST VIC 3055",$500,3,1, ,House
"1/10 Gillard Street, 
BURWOOD VIC 3125",$500.00,2,1,2,House
