Address,Prices,Bedroom,Bathroom,Parking,Type
"2503/33 Mackenzie Street, 
MELBOURNE VIC 3000",$680.00,2,2,1,Apartment / Unit / Flat
"3309/31 A'Beckett Street, 
MELBOURNE VIC 3000",$680 Per Week,2,1,1,Apartment / Unit / Flat
"2210C/633 Little Lonsdale Street, 
MELBOURNE VIC 3000",$680 per week,2,1, ,Apartment / Unit / Flat
"2909/639 Lonsdale St, 
MELBOURNE VIC 3000",$680 weekly,2,1, ,Apartment / Unit / Flat
"1502/462 Elizabeth Street, 
MELBOURNE VIC 3000",$680 Per Week,2,2, ,Apartment / Unit / Flat
"3406/500 Elizabeth Street, 
MELBOURNE VIC 3000",$680 per week,2,2, ,Apartment / Unit / Flat
"713/77 Queens Road, 
MELBOURNE VIC 3004",$780 / Week ( Fully Furnished ),2,2,1,Apartment / Unit / Flat
"1602/7 Katherine Place, 
MELBOURNE VIC 3000",$680pw furnished w/carpark,2,2,1,Apartment / Unit / Flat
"37/20 Bank Place, 
MELBOURNE VIC 3000",$680pw/ $2955pcm,2,2, ,Apartment / Unit / Flat
"Level55/442 Elizabeth Street, 
MELBOURNE VIC 3000",$680 per week,2,1, ,Apartment / Unit / Flat
"1204/601 Little Lonsdale Street, 
MELBOURNE VIC 3000",$680.00,2,2,1,Apartment / Unit / Flat
"1202/228 La Trobe Street, 
MELBOURNE VIC 3000",$680 per week,2,1, ,Apartment / Unit / Flat
"517/555 St Kilda Road, 
MELBOURNE VIC 3004",$680 weekly,2,2,1,Apartment / Unit / Flat
"2302/560 Lonsdale Street, 
MELBOURNE VIC 3000",$680.00,2,1, ,Apartment / Unit / Flat
"6 EDDY STREET, 
MOONEE PONDS VIC 3039",$680,2,1,2,Townhouse
"15 Tintagel Way, 
MORNINGTON VIC 3931",$680 per week,4,2,2,House
"13 Wendover Court, 
MOUNT WAVERLEY VIC 3149",$680,4,2,2,House
"3/49-51 Larch Crescent, 
MOUNT WAVERLEY VIC 3149",$680,3,2,2,Townhouse
"1/4 Elcho Street, 
NEWTOWN VIC 3220",$680 per week,3,3,2,Townhouse
"30 Curran Street, 
NORTH MELBOURNE VIC 3051",$680pw/ $2955pcm,3,1, ,House
