Address,Prices,Bedroom,Bathroom,Parking,Type
"4 Lucerne Avenue, 
MORNINGTON VIC 3931",$715 per week,3,2,2,House
"1213/81 City Road, 
SOUTHBANK VIC 3006",$715.00,2,2, ,Apartment / Unit / Flat
"17 McNamara Ave, 
AIRPORT WEST VIC 3042",$720.00,4,3,2,Townhouse
"14 Werona Street, 
BENTLEIGH VIC 3204",$720.00,2,2,1,Townhouse
"1A Wright Street, 
BENTLEIGH VIC 3204",$720 weekly,3,2,2,Townhouse
"22 Breeze Street, 
BONBEACH VIC 3196",$720.00 pw,4,3,2,House
"527 Sydney Road, 
BRUNSWICK VIC 3056",$720 Per Week,1,2,1,House
"17 Brickworks Drive, 
BRUNSWICK VIC 3056",$720 pw,3,1,1,House
"59b Blyth Street, 
BRUNSWICK VIC 3056",$720,3,1, ,House
"4 Greene Lane, 
CARRUM VIC 3197",$720 per week,3,2,2,Townhouse
"4 Lavender Avenue, 
CHELTENHAM VIC 3192",$720 per week,3,2,2,House
"1/30 Francis, 
CLAYTON VIC 3168",$720,5,3,1,Townhouse
"APF2.1 29 Browns Road, 
CLAYTON VIC 3168",720 per week,2,1,1,New apartments / off the plan
"1A/9 Eva Street, 
CLAYTON VIC 3168",$720,3,3,2,Townhouse
"14 Playwright Street, 
CLYDE NORTH VIC 3978",$720 Per Week,4,2,1,House
"27 Higinbotham Street, 
COBURG VIC 3058",$720 Per Week,4,2,1,House
"89 Queen Street, 
COBURG VIC 3058",$720,3,1, ,House
"3912/628 Flinders Street, 
DOCKLANDS VIC 3008",$720 Per Week,2,1, ,Apartment / Unit / Flat
"3211E/888 Collins Street, 
DOCKLANDS VIC 3008",$750,2,2,1,Apartment / Unit / Flat
"5/312 Pascoe Vale Road, 
ESSENDON VIC 3040",$720,3,3,2,Townhouse
