Address,Prices,Bedroom,Bathroom,Parking,Type
"6006/160 Victoria Street, 
CARLTON VIC 3053",$1250/week,3,2,1,Apartment / Unit / Flat
"102/28-44 Bouverie Street, 
CARLTON VIC 3053",$1250 per week,3,3,1,Apartment / Unit / Flat
"469 Nicholson Street, 
CARLTON NORTH VIC 3054",$1250pw/ $5432pcm,4,2, ,Terrace
"8 Tennis Grove, 
CAULFIELD NORTH VIC 3161","$1,250 weekly",4,2,1,House
"23/125 Oxford Street, 
COLLINGWOOD VIC 3066","$1,250",3,1,1,Apartment / Unit / Flat
"8 Olive Road, 
DEVON MEADOWS VIC 3977",$1250 per week,6,2,3,House
"6 Farey Avenue, 
DROMANA VIC 3936",$1250 per week,4,2,2,House
"30/183 Kerr Street, 
FITZROY VIC 3065",$1250pw / $5432pm,3,2,1,Apartment / Unit / Flat
"6005/500 Elizabeth Street, 
MELBOURNE VIC 3000",$1250 per week,3,2, ,Apartment / Unit / Flat
"4A Adrienne Crescent, 
MOUNT WAVERLEY VIC 3149","$1,250",4,3,2,House
"55 Chapman Street, 
NORTH MELBOURNE VIC 3051",$1250pw,5,2,2,House
"4 Murray Drive, 
POINT LEO VIC 3916",$1500 Per Week,5,2, ,House
"41/8 Graham Street, 
PORT MELBOURNE VIC 3207","$1,250 per week",2,2,2,Apartment / Unit / Flat
"22 Highett Street, 
RICHMOND VIC 3121",$1250 per week,3,2,2,House
"18 Moore Street, 
RICHMOND VIC 3121","$1,250.00",3,1,1,House
"6 Sandilands Street, 
SOUTH MELBOURNE VIC 3205","$1,250.00",4,2,2,House
"2303/661 Chapel St, 
SOUTH YARRA VIC 3141","$1,250 weekly",2,2,1,Apartment / Unit / Flat
"16 Balmoral Place, 
SOUTH YARRA VIC 3141","$1,250.00",3,2,2,House
"2803/63 Haig Street, 
SOUTHBANK VIC 3006","$1,250 per week",2,1,1,Apartment / Unit / Flat
"4601/7 Riverside Quay, 
SOUTHBANK VIC 3006","$1,250.00",2,2,1,Apartment / Unit / Flat
