Address,Prices,Bedroom,Bathroom,Parking,Type
"13 Doongarra Avenue, 
ST LEONARDS VIC 3223","$1000 pw High, $650 pw Low, $160 pn",3,1, ,House
"9 Narvik Avenue, 
ST LEONARDS VIC 3223","$1200 pw High, $800 pw Low, $180 pn",3,1,1,House
"3/435 Flemington Road, 
NORTH MELBOURNE VIC 3051",Under Application,2,1, ,Apartment / Unit / Flat
"11/12 Cedar Grove, 
HIGHTON VIC 3216",UNDER APPLICATION,2,1,1,Apartment / Unit / Flat
"38 Vermont Parade, 
GREENSBOROUGH VIC 3088",$400pw,2,1,2,House
"6 Beachurst Avenue, 
DROMANA VIC 3936",$400 pw,3,1,2,House
"3 Frederick Street, 
PRAHRAN VIC 3181",$400 per week,1,1, ,House
"2/947 Ballarat Road, 
DEER PARK VIC 3023",400,3,1,1,Apartment / Unit / Flat
"1 Lancelot Court, 
KINGS PARK VIC 3021",$400,3,1,1,House
"217/32 Bray Street, 
SOUTH YARRA VIC 3141",$420 per week,1,1, ,Studio
"25 Nattarak Avenue, 
WERRIBEE VIC 3030",$400 per week,3,2,1,House
"6/3 Coles Court, 
BEAUMARIS VIC 3193",$400,1,1, ,Apartment / Unit / Flat
"25 Buffalo Avenue, 
CORIO VIC 3214",LEASED,3,1,2,House
"6 Mokhtar Drive, 
HOPPERS CROSSING VIC 3029",$400,4,2,1,House
"7/8 Clyde Street, 
MARIBYRNONG VIC 3032",$400 per week,2,1,1,Apartment / Unit / Flat
"1/18 McDonald Street, 
WERRIBEE VIC 3030",$400,2,1,1,Apartment / Unit / Flat
"48 Ellimatta Road, 
MAMBOURIN VIC 3024",$410,4,2,2,House
"2/11 St Kinnord Street, 
ABERFELDIE VIC 3040",UNDER APPLICATION,2,1,1,Apartment / Unit / Flat
"23A Balaclava Avenue, 
ALTONA MEADOWS VIC 3028",$400,3,1,1,Apartment / Unit / Flat
"6/8-12 Epsom Road, 
ASCOT VALE VIC 3032",$400pw/$1738pcm,2,1,2,Villa
