Address,Prices,Bedroom,Bathroom,Parking,Type
"47A Sherbourne Road, 
MONTMORENCY VIC 3094",$450 per week,2,1,1,House
"148 Sherbourne Road, 
MONTMORENCY VIC 3094",$450,3,1,2,House
"1208/51 Homer Street, 
MOONEE PONDS VIC 3039",$450 Per Week,1,1, ,Apartment / Unit / Flat
"21/21 Moore St, 
MOONEE PONDS VIC 3039",$450 weekly,1,1,1,Apartment / Unit / Flat
"1005/341 Ascot Vale Road, 
MOONEE PONDS VIC 3039",$450 per week,2,1,1,Apartment / Unit / Flat
"4/84B Maribyrnong Road, 
MOONEE PONDS VIC 3039",$450pw/$1955pcm,2,1,1,Apartment / Unit / Flat
"1/20 Wilsons Road, 
MORNINGTON VIC 3931",$450 Per Week,2,1,2,Apartment / Unit / Flat
"1/163 Mount Eliza Way, 
MOUNT ELIZA VIC 3930",$450 pw,2,1,1,Apartment / Unit / Flat
"1/55 Barlyn Road, 
MOUNT WAVERLEY VIC 3149",$450.00,1,1,1,Apartment / Unit / Flat
"2/55 Jolimont Avenue, 
MULGRAVE VIC 3170",$450.00,3,1,1,Apartment / Unit / Flat
"15 Wilma Avenue, 
MULGRAVE VIC 3170",$450,3,1,1,House
"1 Johnston Avenue, 
NEWCOMB VIC 3219",$450 pw,3,1,2,House
"G03/6 Paine Street, 
NEWPORT VIC 3015",$450 per week,1,1,1,Apartment / Unit / Flat
"2 Blaby Street, 
NOBLE PARK VIC 3174",$450 per week,3,1,1,House
"2/4 Maxine Court, 
NOBLE PARK VIC 3174",$450 per week,2,1,1,Apartment / Unit / Flat
"4/2 Roberts Street, 
NOBLE PARK VIC 3174",$450,2,1,1,Townhouse
"73A Heyington Crescent, 
NOBLE PARK NORTH VIC 3174",$450 PW/ $1955 PM,2,1,1,Apartment / Unit / Flat
"2 Adriatic Court, 
NORLANE VIC 3214",$450 pw,3,1,2,House
"91 Giddings Street, 
NORTH GEELONG VIC 3215",$450 pw,3,1,7,House
"GF/424 Victoria Street, 
NORTH MELBOURNE VIC 3051",$450 pw,2,1, ,Apartment / Unit / Flat
