Address,Prices,Bedroom,Bathroom,Parking,Type
"10/388 Nepean Highway, 
FRANKSTON VIC 3199",$400 per week,2,1, ,Apartment / Unit / Flat
"3/8 Gardenia Road, 
GARDENVALE VIC 3185",$400.00,1,1,1,Apartment / Unit / Flat
"1 John Place, 
GEELONG VIC 3220",$400.00,3,1, ,House
"8 Avon Street, 
GEELONG WEST VIC 3218",$400 per week,2,1, ,House
"15 French Street, 
GEELONG WEST VIC 3218",$400,2,1,1,House
"1/183 Burns Road, 
GLENBURN VIC 3717",$400 pw,3,2, ,Apartment / Unit / Flat
"4/48 Stanley Street, 
GLENROY VIC 3046",$400,2,1,1,Apartment / Unit / Flat
"4/905 Pascoe Vale Rd., 
GLENROY VIC 3046",$400,2,2,2,Townhouse
"4/905 Pascoe Vale Road, 
GLENROY VIC 3046",$400,2,2,1,Townhouse
"51/3 Church Street, 
GROVEDALE VIC 3216",Seniors Rental Community,3,2,1,Retirement Living
"203B/19 South Street, 
HADFIELD VIC 3046",$400 Per Week,2,1,1,Apartment / Unit / Flat
"311/2 Willis Lane, 
HAMPTON VIC 3188",$400.00,1,1,1,Apartment / Unit / Flat
"3 Bateman Drive, 
HARKNESS VIC 3337",$400 per week / $1738 per month,3,2,2,House
"2/9 King Street, 
HASTINGS VIC 3915",$400,2,1,1,House
"305/1 Eden Street, 
HEIDELBERG HEIGHTS VIC 3081",$400.00,1,1,1,Apartment / Unit / Flat
"39 Bethany road, 
HOPPERS CROSSING VIC 3029",$400,3,2,1,House
"4 Clearview Court, 
HOPPERS CROSSING VIC 3029",$400 per week,3,1,3,House
"17 Branton Road, 
HOPPERS CROSSING VIC 3029",$420 PER WEEK,3,1, ,House
"32 Wildflower Crescent, 
HOPPERS CROSSING VIC 3029",$400,3,2,1,House
"43 Virgilia Drive, 
HOPPERS CROSSING VIC 3029",$400 pw,3,1,1,House
