Address,Prices,Bedroom,Bathroom,Parking,Type
"2.04/156 Burgundy Street, 
HEIDELBERG VIC 3084",$550.00,2,2,1,Apartment / Unit / Flat
"Level 3, 3/9 Martin Street, 
HEIDELBERG VIC 3084",$550 Per Week,2,2,1,Apartment / Unit / Flat
"1/19 Law Street, 
HEIDELBERG HEIGHTS VIC 3081",$550 Per Week,3,1,2,Apartment / Unit / Flat
"30 Elliott Avenue, 
HIGHTON VIC 3216",$550,3,1,3,House
"133 Warrigal Road, 
HUGHESDALE VIC 3166",$550,3,2,2,House
"G16/1-5 Westley Avenue, 
IVANHOE VIC 3079",$550 pw,2,1,1,Apartment / Unit / Flat
"114/264 Waterdale Road, 
IVANHOE VIC 3079",$550.00,2,2,1,Apartment / Unit / Flat
"112/1031 Heidelberg Road, 
IVANHOE VIC 3079",$550 per week,2,2,1,Apartment / Unit / Flat
"10/23-25 Wilfred Road, 
IVANHOE EAST VIC 3079",$550.00,2,1,1,Apartment / Unit / Flat
"22 Laurina Street, 
KALKALLO VIC 3064",$550 Per Week,4,2,2,House
"4/1 Woorite Place, 
KEILOR EAST VIC 3033",$550 weekly,3,2,1,Townhouse
"94A Rosehill Road, 
KEILOR EAST VIC 3033",$550pw / $2390pcm,2,1,1,Townhouse
"4/377 Geelong Road, 
KINGSVILLE VIC 3012",$550 per week,2,2,1,Townhouse
"54 Pinetree Crescent, 
LALOR VIC 3075",$550 per week,3,2,2,House
"4 Waitara Court, 
LALOR VIC 3075",$550.00 pw,3,1,2,House
"19 Koolah Drive, 
LARA VIC 3212",$550 pw,4,2,2,House
"13 Foxglove Way, 
LARA VIC 3212",$550 weekly,4,2,2,House
"10 Blackwood Road, 
LARA VIC 3212",$550 Per Week,4,2,2,House
"30 Yeoman Crescent, 
LEOPOLD VIC 3224",APPLICATION APPROVED,3,2, ,House
"41 Opal Drive, 
LEOPOLD VIC 3224",$550.00,4,2,2,House
