Address,Prices,Bedroom,Bathroom,Parking,Type
"4/9 Glyndon Avenue, 
BRIGHTON VIC 3186",Contact Agent,3,3,2,Apartment / Unit / Flat
"3605/439 Collins Street, 
MELBOURNE VIC 3000","$4,500 Per Week",4,3,2,Apartment / Unit / Flat
"14A Ethel Street, 
MALVERN VIC 3144",Fully furn-$5000 per week based on 3 month rental,4,4, ,House
"4807/27 Therry Street, 
MELBOURNE VIC 3000",$5000 Per Week,3,3,1,Apartment / Unit / Flat
"8701/7 Riverside Quay, 
SOUTHBANK VIC 3006","$5,000.00",3,3,4,Apartment / Unit / Flat
