Address,Prices,Bedroom,Bathroom,Parking,Type
"114A/399 Burwood Highway, 
BURWOOD VIC 3125",$550 weekly,2,2,1,Apartment / Unit / Flat
"27 Pawleena Circuit, 
CAIRNLEA VIC 3023",ON HOLD!!,4,2,2,House
"2 Greenhood Crescent, 
CAPEL SOUND VIC 3940",$550 per week,4,1,3,House
"6 Park Avenue, 
CAPEL SOUND VIC 3940",$550 per week,3,2,1,House
"1763 Point Nepean Road, 
CAPEL SOUND VIC 3940",$550 Per Week,3,1, ,House
"3308/488 Swanston St, 
CARLTON VIC 3053",$550,2,1, ,Apartment / Unit / Flat
"10 Grattan Place, 
CARLTON VIC 3053",$550.00 per week,2,1, ,House
"1502/151 Berkeley Street, 
CARLTON VIC 3053",$550.00 per week,1,1, ,Apartment / Unit / Flat
"819/160 Victoria Street, 
CARLTON VIC 3053",$550,1,1, ,Apartment / Unit / Flat
"1/427 Nicholson Street, 
CARLTON NORTH VIC 3054",$550,2,1,1,Apartment / Unit / Flat
"17a Woornack Road, 
CARNEGIE VIC 3163",$550,2,2,1,House
"5/45 Coorigil Road, 
CARNEGIE VIC 3163",$545.00,2,1,1,Apartment / Unit / Flat
"4 Kai Close, 
CAROLINE SPRINGS VIC 3023",$550 Per Week,2,1,1,Townhouse
"44 Wyperfeld Circuit, 
CAROLINE SPRINGS VIC 3023",$550 Per Week,3,2,2,House
"8A Westley Street, 
CARRUM VIC 3197",$550 Per Week,3,2,2,Apartment / Unit / Flat
"2/627 Nepean Highway, 
CARRUM VIC 3197",$550 per week,2,2,1,Apartment / Unit / Flat
"2/48 Church Road, 
CARRUM VIC 3197",$550 per week,2,1,1,Apartment / Unit / Flat
"225 Ballarto Rd, 
CARRUM DOWNS VIC 3201",$550,3,2,4,House
"8 Sunflower Circuit, 
CARRUM DOWNS VIC 3201",$550.00 pw,3,2,2,Apartment / Unit / Flat
"214/58 Kambrook Street, 
CAULFIELD VIC 3162",$550,2,1,1,Apartment / Unit / Flat
