Address,Prices,Bedroom,Bathroom,Parking,Type
"2B Latrobe Street, 
MOONEE PONDS VIC 3039",$850.00,3,2,1,Townhouse
"29 Dactyl Road, 
MOORABBIN VIC 3189",Under Application,4,2,2,House
"19A Genoa Street, 
MOORABBIN VIC 3189",$850.00,4,3,2,Townhouse
"1 Stream Way, 
MOUNT DUNEED VIC 3217",$850 per week,4,2,2,House
"1/8 Catherine Avenue, 
MOUNT WAVERLEY VIC 3149",$850,4,2,2,House
"5/80 Chapman Street, 
NORTH MELBOURNE VIC 3051",$850 per week,3,2,1,Townhouse
"189 Melrose Street, 
NORTH MELBOURNE VIC 3051",$850.00,3,1,1,House
"101/1 Courtney St, 
NORTH MELBOURNE VIC 3051",$850 weekly,2,2,1,Apartment / Unit / Flat
"20/243 Flemington Road, 
NORTH MELBOURNE VIC 3051",$850 per week,3,2,1,Apartment / Unit / Flat
"3/44 Nonna Street, 
OAKLEIGH EAST VIC 3166",$850,4,3,2,Townhouse
"75/10 Alvina St, 
OAKLEIGH SOUTH VIC 3167",$845,4,3,2,Townhouse
"25 Seascape Drive, 
OCEAN GROVE VIC 3226",$850 per week,4,3,5,House
"170A Wheatley Road, 
ORMOND VIC 3204",$850 per week,3,2,1,Townhouse
"12 Camdon Street, 
PASCOE VALE VIC 3044",$850 PER WEEK,4,3,2,House
"3 Bellevue Terrace, 
PASCOE VALE VIC 3044",$850 Per Week,4,2,3,House
"163 Albert Street, 
PORT MELBOURNE VIC 3207",$850,3,2, ,House
"218 Ross Street, 
PORT MELBOURNE VIC 3207",$850 pw,2,2, ,Townhouse
"1 Athol St, 
PRAHRAN VIC 3181",$850.00 per week,3,2,1,Townhouse
"68 BAYVIEW STREET, 
PRAHRAN VIC 3181",$850 per week,2,1, ,House
"14 Nottingham Street, 
PRAHRAN VIC 3181",$850.00,2,1,2,House
