Address,Prices,Bedroom,Bathroom,Parking,Type
SOUTH YARRA VIC 3141,Contact for Price,1,1,1,Townhouse
"915/32 Bray Street, 
SOUTH YARRA VIC 3141",$650 pw,2,1,1,Apartment / Unit / Flat
"1/109 Park Street, 
SOUTH YARRA VIC 3141",UNDER APPLICATION,2,1,1,Apartment / Unit / Flat
"3/16A MacFarlan Lane, 
SOUTH YARRA VIC 3141",$650 per week,2,1,1,Townhouse
"3/275 Domain Road, 
SOUTH YARRA VIC 3141",$650 per week,2,2,1,Apartment / Unit / Flat
"16 Osborne Street, 
SOUTH YARRA VIC 3141",$650 per week,2,1, ,House
"804/33 Claremont St, 
SOUTH YARRA VIC 3141",$650,2,2,1,Apartment / Unit / Flat
"81 Osborne Street, 
SOUTH YARRA VIC 3141",$650 Per Week,2,1, ,House
"1003/12 Yarra Street, 
SOUTH YARRA VIC 3141",$650,2,2,1,Apartment / Unit / Flat
"11 Moore Street, 
SOUTH YARRA VIC 3141",$650 per week,2,1,1,Townhouse
"18 Hoff Boulevard, 
SOUTHBANK VIC 3006",From $650 per week,2,2, ,Apartment / Unit / Flat
"211/60 Kavanagh Street, 
SOUTHBANK VIC 3006",$650.00,2,2, ,Apartment / Unit / Flat
"41/1 Riverside Quay, 
SOUTHBANK VIC 3006",$650 pw,2,1,1,Apartment / Unit / Flat
"2703/283 City Road, 
SOUTHBANK VIC 3006",$649 per week - $669 per week,2,1, ,Apartment / Unit / Flat
"2505/60 Kavanagh Street, 
SOUTHBANK VIC 3006",$650.00,2,1, ,Apartment / Unit / Flat
"66/285 City Road, 
SOUTHBANK VIC 3006",$650/w,2,1,1,Apartment / Unit / Flat
"1008/22 Dorcas Street, 
SOUTHBANK VIC 3006",$650 per week,2,2,1,Apartment / Unit / Flat
"1509/1 Freshwater Place, 
SOUTHBANK VIC 3006",$650,2,1,1,Apartment / Unit / Flat
"3708/31-49 Queensbridge Street, 
SOUTHBANK VIC 3006",$650,2,2, ,Apartment / Unit / Flat
"1104/151 City Road, 
SOUTHBANK VIC 3006",$650.00,2,1,1,Apartment / Unit / Flat
