Address,Prices,Bedroom,Bathroom,Parking,Type
"3/55 Seston Street, 
RESERVOIR VIC 3073",$500 to $550,2,2,1,Townhouse
"209/366 Church Street, 
RICHMOND VIC 3121",$500 per week,1,1,1,Apartment / Unit / Flat
"303/136 Burnley Street, 
RICHMOND VIC 3121",$500 per week,2,1, ,Apartment / Unit / Flat
"108/136 Burnley Street, 
RICHMOND VIC 3121",$500pw / $2173pcm,2,1, ,Apartment / Unit / Flat
"17/162 Brighton Road, 
RIPPONLEA VIC 3185",$500.00,2,1,1,Apartment / Unit / Flat
"17 Tesla Road, 
ROCKBANK VIC 3335",$500.00 per week,4,2,2,House
"4a Stokes Street, 
ROSANNA VIC 3084",$500.00,2,1, ,Apartment / Unit / Flat
"4 Fenton Avenue, 
ROSEBUD VIC 3939",LEASED FOR $500 per week,3,1,2,House
"5 Kennington Road, 
ROSEBUD VIC 3939",$500 per week,3,1,3,House
"21 Gordon Street, 
RYE VIC 3941",$500,3,1,4,House
"76 Dunham Street, 
RYE VIC 3941",Under Application,3,1,2,House
"1/194 Dromana Parade, 
SAFETY BEACH VIC 3936",$500 Per Week,3,1,1,Townhouse
"32 The Esplanade, 
SANCTUARY LAKES VIC 3030",$500.00 per week,4,2,2,House
"7 Kempton Court, 
SEABROOK VIC 3028",$500 Per Week,4,2,3,House
"7/77 Victoria Street, 
SEDDON VIC 3011",$500 per week,2,1,1,Apartment / Unit / Flat
"17/63 Dorcas Street, 
SOUTH MELBOURNE VIC 3205",$500.00,1,1,1,Apartment / Unit / Flat
"308/148 Wells Street, 
SOUTH MELBOURNE VIC 3205",$500.00,1,1,1,Apartment / Unit / Flat
"802/38 Albert Road, 
SOUTH MELBOURNE VIC 3205",$500,1,1, ,Apartment / Unit / Flat
"16 Ellendale Way, 
SOUTH MORANG VIC 3752",$500 Per Week,3,2,2,House
"224 The Lakes Boulevard, 
SOUTH MORANG VIC 3752",$500 PER WEEK pw,3,2,2,House
