Address,Prices,Bedroom,Bathroom,Parking,Type
"12 Fernberg Place, 
MELTON WEST VIC 3337",$470,4,2,3,House
"19 Haig Street, 
MERNDA VIC 3754",$470 Per Week / $2042 Per Calendar Month,3,2,1,House
"3/107 Albert Street, 
MORDIALLOC VIC 3195",$470 weekly,2,1,1,House
"3/107 Albert Street, 
MORDIALLOC VIC 3195",$470 weekly,2,1,1,House
"4/17 Lucerne Avenue, 
MORNINGTON VIC 3931",$470 per week,2,1,1,Apartment / Unit / Flat
"63 Volitans Avenue, 
MOUNT ELIZA VIC 3930",$470 PER WEEK,2,1, ,House
"11/27 Dominion Road, 
MOUNT MARTHA VIC 3934",$470 per week,2,1, ,Apartment / Unit / Flat
"395 Blackburn Road, 
MOUNT WAVERLEY VIC 3149",$470 pw,3,1,1,House
"1 & 2/10 Hinchliff Crescent, 
NEWCOMB VIC 3219",$470 per week,3,2,2,Apartment / Unit / Flat
"70 Watson Road, 
NEWCOMB VIC 3219",$470.00,3,1,2,House
"3/11 Skene Street, 
NEWTOWN VIC 3220",$470 per week,2,1,1,Apartment / Unit / Flat
"9 Norris Street, 
NOBLE PARK VIC 3174",$470 Per week,3,2,1,House
"9/68-70 Chandler Road, 
NOBLE PARK VIC 3174",$470 per week,2,1,1,Townhouse
"13 Bowmore Road, 
NOBLE PARK VIC 3174",$470 per week,3,1,2,House
"73 Walsgott Street, 
NORTH GEELONG VIC 3215",$470,3,2,4,House
"G11/380 Queensberry Street, 
NORTH MELBOURNE VIC 3051",unfurnished$470 per week,1,1,1,Apartment / Unit / Flat
"7/5 Simpson Street, 
NORTHCOTE VIC 3070",$470,2,1,1,Apartment / Unit / Flat
"2/7 Winifred St, 
OAK PARK VIC 3046",$470pw / $2042pcm,2,2,1,Townhouse
"9 Garden Street, 
OCEAN GROVE VIC 3226",APPLICATION APPROVED,3,2,1,House
"6 Thacker Street, 
OCEAN GROVE VIC 3226",$470.00 per week,3,2,2,House
