Address,Prices,Bedroom,Bathroom,Parking,Type
"34/140 Queens Parade, 
FITZROY NORTH VIC 3068",$625.00,2,1,1,Apartment / Unit / Flat
"1 8 Manna/Court Manna Court, 
FRANKSTON NORTH VIC 3200",$625,3,2,2,House
"7 Katrina Drive, 
GLADSTONE PARK VIC 3043",$625 pw,5,2,1,House
"3 Gerrard Court, 
GLEN WAVERLEY VIC 3150",$625,3,2,1,House
"54 King Arthur Drive, 
GLEN WAVERLEY VIC 3150",$625,3,2,2,House
"6 Pentland Court, 
GLEN WAVERLEY VIC 3150",$625,3,2,2,House
"5/1 Thomas Street, 
HAMPTON VIC 3188",$625.00,2,1,1,Apartment / Unit / Flat
"14 Sheffield Way, 
KEYSBOROUGH VIC 3173",$625 / wk,5,2,2,House
"35 Petunia Drive, 
KEYSBOROUGH VIC 3173",$625.00 per week,3,2,2,House
"206/36 Shaftesbury Avenue, 
MALVERN VIC 3144",$625 PER WEEK,2,1,1,Apartment / Unit / Flat
"504/1A Finch Street, 
MALVERN EAST VIC 3145","$625pw/$2,716pcm",2,2,1,Apartment / Unit / Flat
"501/263 Franklin Street, 
MELBOURNE VIC 3000",$625 weekly,2,1, ,Apartment / Unit / Flat
"1402/339 Swanston Street, 
MELBOURNE VIC 3000",$625,2,1, ,Apartment / Unit / Flat
"2812/500 Elizabeth Street, 
MELBOURNE VIC 3000",$625 per week,2,1, ,Apartment / Unit / Flat
"1801/243 Franklin Street, 
MELBOURNE VIC 3000",$625.00,2,1, ,Apartment / Unit / Flat
"1802/8 Sutherland Street, 
MELBOURNE VIC 3000",$625 pw,2,2, ,Apartment / Unit / Flat
"902/199 William St, 
MELBOURNE VIC 3000",$625/Week *Fully Furnished*,2,1, ,Apartment / Unit / Flat
"727/555 St Kilda Road, 
MELBOURNE VIC 3004",$625,2,1,1,Apartment / Unit / Flat
"224 Betula Avenue, 
MILL PARK VIC 3082",$625 PER WEEK,4,2,2,House
"301 Dunns Road, 
MORNINGTON VIC 3931",$625 per week,3,2,2,House
