Address,Prices,Bedroom,Bathroom,Parking,Type
"65 Endeavour Drive, 
OCEAN GROVE VIC 3226",$470 per week,3,1,2,House
"2/11 Foam Street, 
PARKDALE VIC 3195",$470.00,2,1,1,Apartment / Unit / Flat
"14 Airfield Grove, 
POINT COOK VIC 3030",$470,3,2,1,House
"47 The Strand, 
POINT COOK VIC 3030",$470.00 per week,3,2,1,House
"56 Ambassador Crescent, 
POINT COOK VIC 3030",$470,3,2,2,House
"2 Maslin Walk, 
POINT COOK VIC 3030",$470 Per Week,4,2,2,House
"22 Lindsay Gardens, 
POINT COOK VIC 3030",$470,3,2,2,House
"5 Bluestone Court, 
POINT COOK VIC 3030",$470 Per Week,3,2,1,House
"21 Zeta Crescent, 
POINT COOK VIC 3030",$470 PER WEEK,3,2,2,Townhouse
"46 Spring Street, 
PRAHRAN VIC 3181",$470 Per Week,1,1, ,Apartment / Unit / Flat
"4/87 Thackeray Road, 
RESERVOIR VIC 3073",$470 Per Week,2,1,1,Apartment / Unit / Flat
"1/39 Byfield Street, 
RESERVOIR VIC 3073",$470 per week,3,1,2,Apartment / Unit / Flat
"2/26 Acheron Avenue, 
RESERVOIR VIC 3073",$470,2,2,1,Townhouse
"15 Elisdon Drive, 
SEAFORD VIC 3198",$470.00 pw,3,1,2,House
"4/47 Vernon Street, 
SOUTH KINGSVILLE VIC 3015",$470,2,1,1,Apartment / Unit / Flat
"3/70 Hawksburn Road, 
SOUTH YARRA VIC 3141",$470 per week,2,1,1,Apartment / Unit / Flat
"9/47 Marne Street, 
SOUTH YARRA VIC 3141",Contact Agent,1,1, ,Apartment / Unit / Flat
"159 William Street, 
ST ALBANS VIC 3021",$470 per week,3,2,2,House
"G02/76 Barkly Street, 
ST KILDA VIC 3182",$470 pw,1,1,1,Apartment / Unit / Flat
"3/25 Mayfield Street, 
ST KILDA EAST VIC 3183",$470.00,2,1,1,Townhouse
