Address,Prices,Bedroom,Bathroom,Parking,Type
"4204/568 Collins Street, 
MELBOURNE VIC 3000",UNDER APPLICATION,2,2,1,Apartment / Unit / Flat
"92 Grant Road, 
SOMERVILLE VIC 3912",$820 per week,4,3,2,House
"320 Plummer Street, 
PORT MELBOURNE VIC 3207",Price On Application,3,2,1,Apartment / Unit / Flat
"10 Blackwood Close, 
COBURG VIC 3058",$800,4,2,2,Townhouse
"1B Nola Street, 
COBURG NORTH VIC 3058",$800,3,2,3,House
"1609s/889 Collins Street, 
DOCKLANDS VIC 3008",$800,1,1, ,Apartment / Unit / Flat
"6304D/648 Lonsdale Street, 
MELBOURNE VIC 3000",$800,2,2, ,Apartment / Unit / Flat
"11 Kemp Avenue, 
MOUNT WAVERLEY VIC 3149",$800,4,2,2,House
"41 Cameron Street, 
RESERVOIR VIC 3073",$800.00 pw,3,2,2,House
"1A & 1B/101-103 Main Road West, 
ST ALBANS VIC 3021",From $786 - $1572 per week,1,1,19,Studio
"1/7 Newlyn Street, 
CAULFIELD VIC 3162",$850,3,2,2,House
"7 Waterstone Cove, 
SANCTUARY LAKES VIC 3030",$850,5,2,2,House
"220/11 Lithgow St, 
ABBOTSFORD VIC 3067",$820 weekly,2,2,2,Apartment / Unit / Flat
"617/627 Victoria Street, 
ABBOTSFORD VIC 3067",$820,3,2,1,Apartment / Unit / Flat
"3 Sparks Avenue, 
BURWOOD VIC 3125",$820 pw,3,2,1,Townhouse
"2/22 Greenwood Street, 
BURWOOD VIC 3125",$820,3,2,2,Townhouse
"11 Jodi Street, 
CHELTENHAM VIC 3192",$820,4,2,3,House
"1603N/883 Collins Street, 
DOCKLANDS VIC 3008",$820 per week,2,2,1,Apartment / Unit / Flat
"292 St Georges Road, 
FITZROY NORTH VIC 3068",$820pw / $3563pcm,3,1,2,House
"30A Panorama Avenue, 
HIGHETT VIC 3190",$820 per week,3,2,2,Townhouse
