Address,Prices,Bedroom,Bathroom,Parking,Type
"2A Nimmo Street, 
MIDDLE PARK VIC 3206",$950 per week,3,2, ,House
"12 Samuel Way, 
MORNINGTON VIC 3931",$950 per week,4,2,2,House
"49 Eliza Drive, 
MOUNT ELIZA VIC 3930",$950 per week,4,2,2,House
"2 Pleasant View Court, 
MOUNT MARTHA VIC 3934",$950.00,5,3,4,House
"9B Jeffrey Street, 
MOUNT WAVERLEY VIC 3149",$950,4,3,1,House
"3/431 Stephensons Rd, 
MOUNT WAVERLEY VIC 3149",$950 weekly,4,3,2,Townhouse
"84a Graham Street, 
NEWPORT VIC 3015",$950 per week,4,2,2,Townhouse
"19/16 Courtney Street, 
NORTH MELBOURNE VIC 3051",$950.00,4,2,2,Apartment / Unit / Flat
"24/412 High Street, 
NORTHCOTE VIC 3070",$950.00,3,2,2,Apartment / Unit / Flat
"5 Lawrance Grove, 
PORTSEA VIC 3944",$950 Per Week,2,2,2,House
"501/14-16 Porter Street, 
PRAHRAN VIC 3181",$950.00,3,2,2,Apartment / Unit / Flat
"32A Foch Street, 
RESERVOIR VIC 3073",$950.00,4,3,2,House
"1/4 The Vaucluse, 
RICHMOND VIC 3121",$950 weekly,3,1,1,House
"20 Rymer Avenue, 
SAFETY BEACH VIC 3936",$950,4,3,2,Townhouse
"B/11 Portland Parade, 
SEAFORD VIC 3198",$950 / wk,4,3,3,House
"220 Ocean Beach Road, 
SORRENTO VIC 3943",$950 Per Week Fully Furnished,3,2,2,House
"1/58-62 Marne Street, 
SOUTH YARRA VIC 3141",$950 per week,3,2, ,Apartment / Unit / Flat
"7 Medley St, 
SOUTH YARRA VIC 3141",$950.00,3,2, ,House
"201/40 Chapel Mews, 
SOUTH YARRA VIC 3141",$950 Per Week,2,2,1,Apartment / Unit / Flat
"1701/7 Riverside Quay, 
SOUTHBANK VIC 3006",$950pw - Stay 1 mth+,2,2,1,Apartment / Unit / Flat
