Address,Prices,Bedroom,Bathroom,Parking,Type
"540 Victoria Parade, 
EAST MELBOURNE VIC 3002",$830 pw,3,1,1,House
"58A The Crossway, 
KEILOR EAST VIC 3033",$830 pw/ $3607 pcm,4,3,2,Townhouse
"3203/318 Russell Street, 
MELBOURNE VIC 3000",$830 per week,2,2, ,Apartment / Unit / Flat
"112 Johnston Street, 
NEWPORT VIC 3015",$830 per week,3,2, ,House
"10 David Street, 
RICHMOND VIC 3121",$830 per week,2,2,2,Townhouse
"1404/665 Chapel Street, 
SOUTH YARRA VIC 3141",$830/week,2,2,1,Apartment / Unit / Flat
"1803/7 Claremont Street, 
SOUTH YARRA VIC 3141",$830,2,2,1,House
"5312/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",$830.00,2,2,1,Apartment / Unit / Flat
"5312/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",$830.00,2,2,1,Apartment / Unit / Flat
"35 Menzies Close, 
FRANKSTON SOUTH VIC 3199",$835 per week,4,3,2,House
"5 Grant Street, 
BRIGHTON EAST VIC 3187",$840.00,3,2,1,House
"397 Barkly Street, 
BRUNSWICK VIC 3056",$840,3,1,1,House
"10 North Street, 
BRUNSWICK VIC 3056",$840pw / $3650pcm,3,2,1,House
"2409/318 Russell Street, 
MELBOURNE VIC 3000",$840 per week,2,2, ,Apartment / Unit / Flat
"915/38 Bank Street, 
SOUTH MELBOURNE VIC 3205",$840.00,2,2,1,Apartment / Unit / Flat
"4/89 Caroline Street, 
SOUTH YARRA VIC 3141",$840.00,3,2,1,Apartment / Unit / Flat
"1108/8 Kavanagh Street, 
SOUTHBANK VIC 3006",$840.00,2,1,1,Apartment / Unit / Flat
"39/1A St Kilda Road, 
ST KILDA VIC 3182",Please contact us,1,1,1,Apartment / Unit / Flat
"172 Ogilvie Street, 
ESSENDON VIC 3040",$845 per week,5,2,4,House
"5 Amara Circuit, 
OAKLEIGH SOUTH VIC 3167",$845 per week,4,3,2,Townhouse
