Address,Prices,Bedroom,Bathroom,Parking,Type
"14 Boyd Avenue, 
OAKLEIGH EAST VIC 3166",$595.00,4,2,1,Townhouse
"20 Ward Avenue, 
OAKLEIGH SOUTH VIC 3167",$600.00,3,1,1,House
"2/66 Thacker St, 
OCEAN GROVE VIC 3226",$600 weekly,3,2,1,House
"1/106 Asbury Street East, 
OCEAN GROVE VIC 3226",$600 Per Week,3,2,1,House
"22 Montague Street, 
OCEAN GROVE VIC 3226",$600.00,4,2,2,House
"100 Oakdean Blvd, 
OCEAN GROVE VIC 3226",$600 weekly,4,2,2,House
"9/39 Parkers Road, 
PARKDALE VIC 3195",$595 per week,2,1,1,Apartment / Unit / Flat
"508/67 Galada Avenue, 
PARKVILLE VIC 3052",$600 weekly,3,1,1,Apartment / Unit / Flat
"416/91 Galada Avenue, 
PARKVILLE VIC 3052",$600/w,2,2,1,Apartment / Unit / Flat
"2A West Street, 
PASCOE VALE VIC 3044",$595 Per Week,3,3,2,House
"2A Dorset Road, 
PASCOE VALE VIC 3044","$600 PW / $2,607 PCM",2,1,2,Townhouse
"25 Caringa Street, 
PASCOE VALE VIC 3044",$600 PER WEEK,3,2,1,Townhouse
"4/349 Gaffney Street, 
PASCOE VALE VIC 3044",$595.00,2,1,1,Townhouse
"14B Vaux Street, 
PASCOE VALE SOUTH VIC 3044",$595.00,3,2,2,House
"9 Gilmore Grove, 
POINT COOK VIC 3030",LEASED,4,2,2,House
"16 Wattle Tree Drive, 
POINT COOK VIC 3030",$600 Per Week,4,2,2,House
"26 Devoe Road, 
POINT COOK VIC 3030",$600.00,4,2,2,House
"62 Lennon Boulevard, 
POINT COOK VIC 3030",$600 per week,4,3,2,House
"11 Goolwa Road, 
POINT COOK VIC 3030",$ 600,4,3,2,House
"15 Trapani Avenue, 
POINT COOK VIC 3030",$600 Per Week,4,2,4,House
