Address,Prices,Bedroom,Bathroom,Parking,Type
"314/429 Spencer Street, 
WEST MELBOURNE VIC 3003",$475 per week,1,1, ,Apartment / Unit / Flat
"12/2 Thompson Street, 
WILLIAMSTOWN VIC 3016",$475,2,2,1,Apartment / Unit / Flat
"3/32 The Avenue, 
WINDSOR VIC 3181",$475 pw,2,1,1,Apartment / Unit / Flat
"104/92 Hornby Street, 
WINDSOR VIC 3181",$475 Per Week,1,1,1,Apartment / Unit / Flat
"28 Fahey Crescent, 
YALLAMBIE VIC 3085",$475 per week,3,1,1,House
"20 Birchwood Street, 
FAWKNER VIC 3060",$500 Weekly,3,1, ,House
"50 La Trobe Street, 
MELBOURNE VIC 3000",$479, ,1, ,Studio
"16 Tulipwood Avenue, 
AINTREE VIC 3336",$480 per week,4,2,2,House
"1/14 Chesley Street, 
ARDEER VIC 3022",$480.00,3,2,2,Townhouse
"1/42 Adelaide Street, 
ARMADALE VIC 3143",$480,2,1,2,Apartment / Unit / Flat
"8 Watt Way, 
ARMSTRONG CREEK VIC 3217",$480 weekly,3,2,2,House
"6 Kookaburra Dr, 
ARMSTRONG CREEK VIC 3217",$480,4,2,2,House
"26 Shearwater Drive, 
ARMSTRONG CREEK VIC 3217",$500.00 per week,4,2,2,House
"21 Corella Road, 
ARMSTRONG CREEK VIC 3217",$500.00 per week,4,2, ,House
"8 Spoonbill Drive, 
ARMSTRONG CREEK VIC 3217",$480 per week,4,2,2,House
"15 Sampford Street, 
ARMSTRONG CREEK VIC 3217",UNDER APPLICATION,4,2,2,House
"12 Amiable Parade, 
ARMSTRONG CREEK VIC 3217",$500.00 per week,4,2,2,House
"94 Naturaliste Way, 
ARMSTRONG CREEK VIC 3217",$500.00 per week,4,2,2,House
"28 Mulberry Street, 
ARMSTRONG CREEK VIC 3217",$500.00 per week,4,3,2,Townhouse
"17 Cootamundra Drive, 
ARMSTRONG CREEK VIC 3217",$480pw,4,2,2,House
