Address,Prices,Bedroom,Bathroom,Parking,Type
"(Leased) 3 Yarra Street, 
SOUTH YARRA VIC 3141",$460,1,1,1,Apartment / Unit / Flat
"18/73 Alexandra Avenue, 
SOUTH YARRA VIC 3141",$460 per week,1,1, ,Apartment / Unit / Flat
"1020/65 Coventry Street, 
SOUTHBANK VIC 3006",$460.00 per week,1,1, ,Apartment / Unit / Flat
"16/69 Charlotte Street, 
SPRINGVALE SOUTH VIC 3172",$460 pw/ $1999 pcm,2,1,1,Apartment / Unit / Flat
"3/49 Ivanhoe Avenue, 
ST ALBANS VIC 3021",$460 per week,3,2,2,Apartment / Unit / Flat
"10/1 Crimea Street, 
ST KILDA VIC 3182",$460 per week pw,1,1,1,Apartment / Unit / Flat
"9/45-47 Hotham Street, 
ST KILDA EAST VIC 3183",$460 per week,2,1,1,Apartment / Unit / Flat
"19 King George Street, 
ST LEONARDS VIC 3223",$460 pw,4,2,2,House
"3 Kathleen Court, 
SUNSHINE VIC 3020",REVIEWING APPLICATIONS,3,2, ,House
"24 Vernon Crescent, 
SUNSHINE WEST VIC 3020",$460,3,1,1,House
"1 Huntsman Cl, 
TARNEIT VIC 3029",$460 Per Week,3,2,2,House
"2 Alderney Street, 
TARNEIT VIC 3029",$460 per week,3,2,2,Townhouse
"6 Hepburn Court, 
TAYLORS HILL VIC 3037",UNDER APPLICATION @ $460 per week,3,2,1,House
"24 Kangaroo Paw Court, 
TAYLORS LAKES VIC 3038",$460 pw,2,1,1,Townhouse
"187A Carr Street, 
THOMSON VIC 3219",$460 per week,3,2,1,Apartment / Unit / Flat
"3 Fargo Street, 
THORNHILL PARK VIC 3335",$460.00 Per Week,4,2,2,House
"9 Morningside Drive, 
THORNHILL PARK VIC 3335",$460 per week,4,2,2,House
"5/4 Lambert Road, 
TOORAK VIC 3142",$460 per week,2,1, ,Apartment / Unit / Flat
"6 Icarus Crt, 
TOOTGAROOK VIC 3941",$460p/week,3,1,2,House
"24 Elsham Grove, 
TRUGANINA VIC 3029",$460,3,2,2,House
