Address,Prices,Bedroom,Bathroom,Parking,Type
"5402/127-141 A'beckett Street, 
MELBOURNE VIC 3000",$740 pw,2,1,1,Apartment / Unit / Flat
"1411/601 Little Lonsdale Street, 
MELBOURNE VIC 3000",$740.00,2,2,1,Apartment / Unit / Flat
"908/480 St Kilda Road, 
MELBOURNE VIC 3004",$740.00,2,2,1,Apartment / Unit / Flat
"1606/8 Bowen Crescent, 
MELBOURNE VIC 3004",$740 Per Week,2,2,1,Apartment / Unit / Flat
"26 Samantha Drive, 
MORNINGTON VIC 3931",$740 per week,4,2,2,House
"3/109 Clayton Road, 
OAKLEIGH EAST VIC 3166",$740 p.w,3,3,2,Townhouse
"7 Devoy Street, 
OAKLEIGH SOUTH VIC 3167",$740,4,1,4,House
"11 TARCOOLA WAY, 
SANDHURST VIC 3977",$740,4,2,3,House
"1606/151 City Road, 
SOUTHBANK VIC 3006",$740.00,2,2,1,Apartment / Unit / Flat
"2/27 Wallace Avenue, 
FRANKSTON VIC 3199",$745 per week,4,3,2,House
"3/27 Wallace Avenue, 
FRANKSTON VIC 3199",$745 per week,4,3,2,House
"1/422-426 Glenferrie Road, 
KOOYONG VIC 3144",$745 per week,3,2,2,Apartment / Unit / Flat
"1510A/260 Spencer Street, 
MELBOURNE VIC 3000",$745,2,2, ,Apartment / Unit / Flat
"590 Warrigal Road, 
OAKLEIGH SOUTH VIC 3167",Under Application,4,2,2,House
"2/5 Murray Anderson Road, 
ROSEBUD VIC 3939",$745 per week,5,3,2,House
"25 James St, 
ABBOTSFORD VIC 3067",$750 weekly,2,1, ,House
"57 Nicholson Street, 
ABBOTSFORD VIC 3067",$750.00,2,1, ,House
"B107/631 Victoria Street, 
ABBOTSFORD VIC 3067",$750 per week pw,2,2,1,Apartment / Unit / Flat
"604/627 Victoria Street, 
ABBOTSFORD VIC 3067",$750 per week,2,2,1,Apartment / Unit / Flat
"205/627 Victoria Street, 
ABBOTSFORD VIC 3067",$745 per week,2,2,1,Apartment / Unit / Flat
