Address,Prices,Bedroom,Bathroom,Parking,Type
"19 Elmslie Drive, 
CRANBOURNE EAST VIC 3977",$490,3,2,1,Apartment / Unit / Flat
"10 Diplomat Crescent, 
CRANBOURNE SOUTH VIC 3977",$470 per week,4,2,1,House
"2/38 Riggall Street, 
DALLAS VIC 3047",$490 pw,3,1,1,Townhouse
"1/1 Marcella Avenue, 
DANDENONG NORTH VIC 3175","$490 p/w, $2,129 PCM",3,1,2,House
"25 Isaacs Street, 
DEANSIDE VIC 3336",$490 per week,3,2,2,House
"843A Ballarat Road, 
DEER PARK VIC 3023",$490 per week/Under Application approved,3,2,2,Townhouse
"22 Festival St, 
DIGGERS REST VIC 3427",$490 weekly,4,2,2,House
"602/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",$490 Per Week,1,1, ,House
"1004/100 Harbour Esplanade, 
DOCKLANDS VIC 3008",$490.00,1,1,1,Apartment / Unit / Flat
"812/8 Mccrae Street, 
DOCKLANDS VIC 3008",$490.00 per week,1,1, ,Apartment / Unit / Flat
"206E/888 Collins Street, 
DOCKLANDS VIC 3008",$490,1,1, ,Apartment / Unit / Flat
"20 Hutch Avenue, 
DONNYBROOK VIC 3064",$490 per week,3,2,2,House
"4 Leigh Court, 
DOVETON VIC 3177",$490,3,1,1,House
"35 Dahlia Street, 
DROMANA VIC 3936",UNDER APPLICATION,3,1,2,House
"4 Rainier Avenue, 
DROMANA VIC 3936",$490 per week,3,1,2,House
"19 Orchard Street, 
EAST GEELONG VIC 3219",$490.00,3,1, ,House
"2/19 McNeill Avenue, 
EAST GEELONG VIC 3219",$490,3,2,2,House
"4 Mann Street, 
EAST GEELONG VIC 3219",$490 - per week - 6 month initial lease,3,2,1,House
"8/8 Pine Avenue, 
ELWOOD VIC 3184",$490 pw,1,1,1,Apartment / Unit / Flat
"5/3 Tennyson Street, 
ELWOOD VIC 3184",$490 pw,2,1,1,Apartment / Unit / Flat
