Address,Prices,Bedroom,Bathroom,Parking,Type
"132/55 Victoria Harbour Promenade, 
DOCKLANDS VIC 3008",$950.00,2,2,2,Apartment / Unit / Flat
"601/15 Caravel, 
DOCKLANDS VIC 3008",$950,3,2,2,Apartment / Unit / Flat
"84 Allison Road, 
ELSTERNWICK VIC 3185",$950,4,2,1,House
"23 Palm Street, 
FAIRFIELD VIC 3078",$950.00,3,2,2,House
"503/12-18 Napier Street, 
FOOTSCRAY VIC 3011",$950,3,2,2,Apartment / Unit / Flat
"2/36 Ralton Avenue, 
GLEN WAVERLEY VIC 3150",$950,4,2,2,Townhouse
"2/707 Waverley Road, 
GLEN WAVERLEY VIC 3150",$950 pw,4,2,2,Townhouse
"51 Kwinana Street, 
GLEN WAVERLEY VIC 3150",$945 weekly,4,2,2,House
"1/880 Pascoe Vale Rd, 
GLENROY VIC 3046",$950 per week,2,2,1,Townhouse
"182 Ludstone Street, 
HAMPTON VIC 3188",$950 Per Week,3,1,2,House
"45 King Road, 
HARKAWAY VIC 3806",$950 Per Week,4,2,2,House
"7 Ledge Walk, 
KEILOR EAST VIC 3033",$950 per week,4,3,4,House
"32 Barnett Street, 
KENSINGTON VIC 3031",$1000 per week,4,2, ,House
"1405/72 Wests Rd, 
MARIBYRNONG VIC 3032",$950 Per week,3,3,2,Apartment / Unit / Flat
"1203/63 La Trobe Street, 
MELBOURNE VIC 3000",$950,2,2, ,Apartment / Unit / Flat
"6803/228 La Trobe Street, 
MELBOURNE VIC 3000",$950,2,2,1,Apartment / Unit / Flat
"3402/63 La Trobe Street, 
MELBOURNE VIC 3000",$950,2,2, ,Apartment / Unit / Flat
"2301/618 Lonsdale Street, 
MELBOURNE VIC 3000",$950.00,3,2,1,Apartment / Unit / Flat
"4301/618 Lonsdale Street, 
MELBOURNE VIC 3000",$950 PER WEEK,3,2,1,Apartment / Unit / Flat
"Level 14, 1405/265 Exhibition Street, 
MELBOURNE VIC 3000",$950 per week,3,2,2,Apartment / Unit / Flat
