Address,Prices,Bedroom,Bathroom,Parking,Type
"10/2 Scott Street, 
ESSENDON VIC 3040",$680pw/$2955pcm,3,2,2,Townhouse
"3 Finsbury Street, 
FLEMINGTON VIC 3031",$680,2,1, ,House
"3/4 Huntly Street, 
FOOTSCRAY VIC 3011",$680pw,3,1,1,Townhouse
"2/2 Screen street, 
FRANKSTON VIC 3199",$680,4,3,2,Townhouse
"39 Brentwood Drive, 
GLEN WAVERLEY VIC 3150",$680 weekly,4,2,3,House
"1/10 Park Street, 
GLEN WAVERLEY VIC 3150",$680.00,3,2,2,Apartment / Unit / Flat
"8 Disney Street, 
HEIDELBERG HEIGHTS VIC 3081",$680 Per Week,3,3,2,House
"1/4 Viola Crescent, 
HIGHETT VIC 3190",$680.00,3,1,2,Apartment / Unit / Flat
"30 King Drive, 
HILLSIDE VIC 3037",$680 per week,4,2,2,House
"2/28 Shafton Street, 
HUNTINGDALE VIC 3166",$680.00 Per week,3,2,2,Townhouse
"12 Edwin Street, 
IVANHOE VIC 3079",$680pw/$2955pcm,3,2,1,House
"1/11 Edgar Street, 
KINGSVILLE VIC 3012",$680pw,3,2,1,House
"3 IRVING COURT, 
MAIDSTONE VIC 3012",$680 per week,5,1,6,House
"L44/81 A'beckett Street, 
MELBOURNE VIC 3000",$680 per week,2,1, ,Apartment / Unit / Flat
"2302/80 A'beckett Street, 
MELBOURNE VIC 3000",$680 per week,2,1, ,Apartment / Unit / Flat
"3606/633 Little Lonsdale, 
MELBOURNE VIC 3000",$680,1,1, ,Apartment / Unit / Flat
"409/668 Bourke Street, 
MELBOURNE VIC 3000",$680.00,2,1,1,Apartment / Unit / Flat
"1210/228 Latrobe Street, 
MELBOURNE VIC 3000",$680 per week,2,1, ,Apartment / Unit / Flat
"625/555 St Kilda Road, 
MELBOURNE VIC 3000",$680 per week pw,2,1,1,Apartment / Unit / Flat
"315/299 Spring Street, 
MELBOURNE VIC 3000",$680.00,2,2,1,Apartment / Unit / Flat
