Address,Prices,Bedroom,Bathroom,Parking,Type
"301/35 Arden Street, 
NORTH MELBOURNE VIC 3051",$620 per week,2,1,1,Apartment / Unit / Flat
"1504/33 Blackwood Street, 
NORTH MELBOURNE VIC 3051",$620 per week,2,1,1,Apartment / Unit / Flat
"118/275 Abbotsford Street, 
NORTH MELBOURNE VIC 3051",$620.00,2,2,1,Apartment / Unit / Flat
"338B Separation Street, 
NORTHCOTE VIC 3070",$620,2,1,1,Townhouse
"33 Heath Avenue, 
OAKLEIGH VIC 3166",$620,3,2,1,House
"42 Willoughby Street, 
RESERVOIR VIC 3073",$620 per week,3,1,2,House
"125/8 Garfield Street, 
RICHMOND VIC 3121",$620.00,2,1,1,Apartment / Unit / Flat
"11-13 Walker Street, 
RIPPLESIDE VIC 3215",$620 pw,3,2,1,House
"45 Ellesmere Parade, 
ROSANNA VIC 3084",$620.00,3,1,2,House
"2 Burdoo Street, 
RYE VIC 3941",$620 NEWLY RENOVATED,3,2,2,House
"5 William Street, 
SEDDON VIC 3011",$620 Per Week,3,1,1,House
"70 Saltley Street, 
SOUTH KINGSVILLE VIC 3015",$620.00,3,2,2,Townhouse
"203/51 Thistlethwaite Street, 
SOUTH MELBOURNE VIC 3205",$620.00 Per Week,2,2, ,Apartment / Unit / Flat
"1102/229 Toorak Road, 
SOUTH YARRA VIC 3141",$620 pw,1,1,1,Apartment / Unit / Flat
"2/7 Rockley Road, 
SOUTH YARRA VIC 3141",$620.00,2,1,1,Apartment / Unit / Flat
"708/118 Kavanagh Street, 
SOUTHBANK VIC 3006",$620.00,2,2, ,Apartment / Unit / Flat
"5615/70 Southbank Boulevard, 
SOUTHBANK VIC 3006",$620,2,1, ,Apartment / Unit / Flat
"1109/7 Riverside Quay, 
SOUTHBANK VIC 3006",$620 per week,1,1,1,Apartment / Unit / Flat
"2203/50 Haig Street, 
SOUTHBANK VIC 3006",$620,2,1,1,Apartment / Unit / Flat
"612/80 Clarendon Street, 
SOUTHBANK VIC 3006",$620,1,1,1,Apartment / Unit / Flat
