Address,Prices,Bedroom,Bathroom,Parking,Type
"1103/14 Queens Road, 
MELBOURNE VIC 3004",$780 per week,1,1,1,Apartment / Unit / Flat
"5207/138 Spencer Street, 
MELBOURNE VIC 3000",$780 per week,2,2, ,Apartment / Unit / Flat
"3709/462 Elizabeth Street, 
MELBOURNE VIC 3000",Furnished $780,2,1, ,Apartment / Unit / Flat
"807/120 A'Beckett Street, 
MELBOURNE VIC 3000",$780/week,2,2,1,Apartment / Unit / Flat
"3810/318 Russell Street, 
MELBOURNE VIC 3000",$780 per week,2,2, ,Apartment / Unit / Flat
"2403/220 Spencer Street, 
MELBOURNE VIC 3000",$780 per week,2,2,1,Apartment / Unit / Flat
"2 Marina Road, 
MENTONE VIC 3194",$780 pw,4,2,2,House
"26 Railway Crescent, 
MOONEE PONDS VIC 3039",$780 per week,3,1,1,House
"19 Roland Street, 
MOUNT WAVERLEY VIC 3149",$780.00,3,2,2,Townhouse
"7C Mccutcheon Street, 
NORTHCOTE VIC 3070","$780.00 PW / $3,389.00 PCM",3,2,1,Townhouse
"589 North Road, 
ORMOND VIC 3204",$780 Per Week,3,2,2,House
"37 Ulupna Road, 
ORMOND VIC 3204",$780 per week,3,2,2,House
"42 Hazel Grove, 
PASCOE VALE VIC 3044",$780 per week,3,2,2,Townhouse
"19 Rainer Street, 
PASCOE VALE SOUTH VIC 3044",$780 weekly,4,3,2,House
"12 Tasman Court, 
PATTERSON LAKES VIC 3197",Under Application,4,2,2,House
"503/105 High St, 
PRAHRAN VIC 3181",$780,1,1,1,Apartment / Unit / Flat
"9/14 Macquarie Street, 
PRAHRAN VIC 3181",THE DEAL- $780 PER WEEK,2,2,1,Apartment / Unit / Flat
"1D Bischoff Street, 
PRESTON VIC 3072",$780 Per Week,3,2,1,Townhouse
"41 Cameron Street, 
RESERVOIR VIC 3073",$800.00 pw,3,2,2,House
"17 Morning Close, 
SANCTUARY LAKES VIC 3030",$780 per week,4,2,2,House
