Address,Prices,Bedroom,Bathroom,Parking,Type
"504/7 Aspen Street, 
MOONEE PONDS VIC 3039",$480 weekly,1,1,1,Apartment / Unit / Flat
"5/67 Eglinton Street, 
MOONEE PONDS VIC 3039",$480pw/$2086pcm,2,1,1,Apartment / Unit / Flat
"4/81 Barkly Street, 
MORDIALLOC VIC 3195",$480.00,2,1,1,Apartment / Unit / Flat
"146 Whites Road, 
MOUNT DUNEED VIC 3217",$500,3,2,2,House
"211 Ormond Road, 
NARRE WARREN SOUTH VIC 3805",$480 per week,3,1, ,House
"2a Brayshay Road, 
NEWCOMB VIC 3219",$480 per Week,3,2,2,House
"38 Dunblane Road, 
NOBLE PARK VIC 3174",$480 per week,3,1,2,House
"1/5 Ellt Crescent, 
NOBLE PARK VIC 3174",$480 per week,2,1,1,Apartment / Unit / Flat
"1/81 Callander Road, 
NOBLE PARK VIC 3174",$480,4,1,1,Apartment / Unit / Flat
"204/33 Racecourse Road, 
NORTH MELBOURNE VIC 3051",$500,2,1,1,Apartment / Unit / Flat
"107/33-35 Arden Street, 
NORTH MELBOURNE VIC 3051",$480.00,1,1,1,Apartment / Unit / Flat
"14/116 Arthurton Road, 
NORTHCOTE VIC 3070",$480,2,1, ,Apartment / Unit / Flat
"1123 Centre Road, 
OAKLEIGH EAST VIC 3166",$480.00,2,1,1,House
"66 Omega Dr, 
OCEAN GROVE VIC 3226",$480 weekly,3,2,2,House
"14/35-39 Wiltons Road, 
OCEAN GROVE VIC 3226",$500 Per Week Furnished,2,1,1,Apartment / Unit / Flat
"13 Sheraton Ct, 
OCEAN GROVE VIC 3226",$480 weekly,3,1,1,House
"7 Mermaid Ave, 
OCEAN GROVE VIC 3226",$480 weekly,3,1,1,House
"2/50 Fraser Crescent, 
OCEAN GROVE VIC 3226",UNDER APPLICATION,2,2,1,Townhouse
"8/26 Lillimur Road, 
ORMOND VIC 3204",$480,2,1,1,Apartment / Unit / Flat
"221 109 Manningham St, 
PARKVILLE VIC 3052",$480,1,1,1,Apartment / Unit / Flat
